submission_period,fiscal_year,fiscal_period,month_date,cumulative_outlay
FY2020P09,2020,9,2020-06-01,44495904.190000005
FY2020P10,2020,10,2020-07-01,48287215.9
FY2020P11,2020,11,2020-08-01,55516235.88
FY2020P12,2020,12,2020-09-01,59920793.730000004
FY2021P02,2021,2,2020-11-01,10388320.17
FY2021P03,2021,3,2020-12-01,14840265.79
FY2021P04,2021,4,2021-01-01,19792790.380000003
FY2021P05,2021,5,2021-02-01,24108449.35
FY2021P06,2021,6,2021-03-01,28105412.519999996
FY2021P07,2021,7,2021-04-01,33280297.45
FY2021P08,2021,8,2021-05-01,39388939.86
FY2021P09,2021,9,2021-06-01,44388843.78
FY2021P10,2021,10,2021-07-01,49757977.3
FY2021P11,2021,11,2021-08-01,53976085.17
FY2021P12,2021,12,2021-09-01,59856920.629999995
FY2022P02,2022,2,2021-11-01,9730572.46
FY2022P03,2022,3,2021-12-01,14186513.479999999
FY2022P04,2022,4,2022-01-01,19234622.98
FY2022P05,2022,5,2022-02-01,22744086.3
FY2022P06,2022,6,2022-03-01,28080537.179999996
FY2022P07,2022,7,2022-04-01,32640621.339999996
FY2022P08,2022,8,2022-05-01,36543555.099999994
FY2022P09,2022,9,2022-06-01,41826338.35
FY2022P10,2022,10,2022-07-01,46750008.629999995
FY2022P11,2022,11,2022-08-01,50042779.089999996
FY2022P12,2022,12,2022-09-01,57376268.65
FY2023P02,2023,2,2022-11-01,10468178.15
FY2023P03,2023,3,2022-12-01,14109074.209999999
FY2023P04,2023,4,2023-01-01,19693968.6
FY2023P05,2023,5,2023-02-01,22799723.57
FY2023P06,2023,6,2023-03-01,27372479.69
FY2023P07,2023,7,2023-04-01,33262307.959999997
FY2023P08,2023,8,2023-05-01,38338416.190000005
FY2023P09,2023,9,2023-06-01,44193711.96
FY2023P10,2023,10,2023-07-01,49282749.870000005
FY2023P11,2023,11,2023-08-01,54129057.49
FY2023P12,2023,12,2023-09-01,59117155.96000001
FY2024P02,2024,2,2023-11-01,10085326.59
FY2024P03,2024,3,2023-12-01,15314783.47
FY2024P04,2024,4,2024-01-01,20006452.669999998
FY2024P05,2024,5,2024-02-01,23082914.31
FY2024P06,2024,6,2024-03-01,29404499.450000003
FY2024P07,2024,7,2024-04-01,33786968.39
FY2024P08,2024,8,2024-05-01,38052714.99
FY2024P09,2024,9,2024-06-01,45034918.47
FY2024P10,2024,10,2024-07-01,50406620.669999994
FY2024P11,2024,11,2024-08-01,55088197.410000004
FY2024P12,2024,12,2024-09-01,59592931.449999996
FY2025P02,2025,2,2024-11-01,10331046.35
FY2025P03,2025,3,2024-12-01,14855034.11
FY2025P04,2025,4,2025-01-01,18612500.03
FY2025P05,2025,5,2025-02-01,24009059.01
FY2025P06,2025,6,2025-03-01,27845475.66
FY2025P07,2025,7,2025-04-01,34828560.230000004
FY2025P08,2025,8,2025-05-01,34846480.660000004
FY2025P09,2025,9,2025-06-01,45416376.02
FY2025P10,2025,10,2025-07-01,49102942.1
FY2025P11,2025,11,2025-08-01,55235773.59
FY2025P12,2025,12,2025-09-01,58969999.440000005
