fiscal_year,fiscal_period,fiscal_period_abbr,monthly_outlay,cumulative_outlay
2025,2,Oct/Nov,37461.25,37461.25
2025,3,Dec,20759.11,58220.36
2025,4,Jan,14856.83,73077.19
2025,5,Feb,17349.52,90426.71
2025,6,Mar,19753.24,110179.95
2025,7,Apr,23441.19,133621.14
2025,8,May,-45718.46,87902.68
2025,9,Jun,76726.46,164629.14
2025,10,Jul,12147.72,176776.86
2024,2,Oct/Nov,31423.53,31423.53
2024,3,Dec,21404.03,52827.56
2024,4,Jan,15791.75,68619.31
2024,5,Feb,17063.51,85682.82
2024,6,Mar,15323.62,101006.44
2024,7,Apr,18434.15,119440.59
2024,8,May,-10344.47,109096.12
2024,9,Jun,43438.49,152534.61
2024,10,Jul,18318.58,170853.19
2024,11,Aug,-61757.07,109096.12
2024,12,Sep,92097.32,201193.44
2023,2,Oct/Nov,30437.71,30437.71
2023,3,Dec,15763.97,46201.68
2023,4,Jan,12035.14,58236.82
2023,5,Feb,11328.05,69564.87
2023,6,Mar,14330.48,83895.35
2023,7,Apr,16875.21,100770.56
2023,8,May,18179.57,118950.13
2023,9,Jun,17646.8,136596.93
2023,10,Jul,8891.02,145487.95
2023,11,Aug,13659.08,159147.03
2023,12,Sep,12431.42,171578.45
2022,2,Oct/Nov,0.0,0.0
2022,3,Dec,0.0,0.0
2022,4,Jan,43839.06,43839.06
2022,5,Feb,12698.57,56537.63
2022,6,Mar,14957.93,71495.56
2022,7,Apr,13519.82,85015.38
2022,8,May,11907.88,96923.26
2022,9,Jun,13643.76,110567.02
2022,10,Jul,11466.74,122033.76
2022,11,Aug,13766.63,135800.39
2022,12,Sep,10661.04,146461.43
2021,2,Oct/Nov,23149.75,23149.75
2021,3,Dec,10683.67,33833.42
2021,4,Jan,12011.52,45844.94
2021,5,Feb,12119.93,57964.87
2021,6,Mar,16730.17,74695.04
2021,7,Apr,12832.6,87527.64
2021,8,May,12325.65,99853.29
2021,9,Jun,11372.21,111225.5
2021,10,Jul,12909.36,124134.86
2021,11,Aug,19525.53,143660.39
2021,12,Sep,9967.72,153628.11
2020,9,Jun,112066.14,112066.14
2020,10,Jul,11057.07,123123.21
2020,11,Aug,12988.06,136111.27
2020,12,Sep,16542.72,152653.99
