reporting_fiscal_year,reporting_fiscal_month,fiscal_month_abbr,transaction_obligated_amount,cumulative_obligations
2025,2,Oct/Nov,30854000.0,30854000.0
2025,3,Dec,4200.0,30858200.0
2025,4,Jan,11788000.0,42646200.0
2025,5,Feb,0.0,42646200.0
2025,6,Mar,221000.0,42867200.0
2025,7,Apr,49776.0,42916976.0
2025,8,May,0.0,42916976.0
2025,9,Jun,4316590.0,47233566.0
2025,10,Jul,0.0,47233566.0
2024,2,Oct/Nov,211000.0,211000.0
2024,3,Dec,0.0,211000.0
2024,4,Jan,5088030.0,5299030.0
2024,5,Feb,0.0,5299030.0
2024,6,Mar,0.0,5299030.0
2024,7,Apr,0.0,5299030.0
2024,8,May,0.0,5299030.0
2024,9,Jun,0.0,5299030.0
2024,10,Jul,326330.0,5625360.0
2024,11,Aug,7242700.0,12868060.0
2024,12,Sep,54776.0,12922836.0
2023,2,Oct/Nov,60606.0,60606.0
2023,3,Dec,5481105.0,5541711.0
2023,4,Jan,0.0,5541711.0
2023,5,Feb,17532545.0,23074256.0
2023,6,Mar,0.0,23074256.0
2023,7,Apr,175394.0,23249650.0
2023,8,May,0.0,23249650.0
2023,9,Jun,0.0,23249650.0
2023,10,Jul,0.0,23249650.0
2023,11,Aug,0.0,23249650.0
2023,12,Sep,130223.0,23379873.0
2022,2,Oct/Nov,1439097.0,1439097.0
2022,3,Dec,177298.0,1616395.0
2022,4,Jan,0.0,1616395.0
2022,5,Feb,0.0,1616395.0
2022,6,Mar,0.0,1616395.0
2022,7,Apr,4277815.0,5894210.0
2022,8,May,0.0,5894210.0
2022,9,Jun,2988998.0,8883208.0
2022,10,Jul,0.0,8883208.0
2022,11,Aug,89104.0,8972312.0
2022,12,Sep,10211280.0,19183592.0
2021,6,Mar,1514654.0,1514654.0
2021,11,Aug,283974.0,1798628.0
2021,12,Sep,200000.0,1998628.0
