submission_period,fiscal_year,fiscal_period,month_date,cumulative_outlay
FY2021P12,2021,12,2021-09-01,195087.34
FY2022P03,2022,3,2021-12-01,5313.46
FY2022P04,2022,4,2022-01-01,16976.46
FY2022P05,2022,5,2022-02-01,27494.23
FY2022P06,2022,6,2022-03-01,54711.4
FY2022P07,2022,7,2022-04-01,65347.47
FY2022P08,2022,8,2022-05-01,921498.08
FY2022P09,2022,9,2022-06-01,1960051.67
FY2022P10,2022,10,2022-07-01,1961353.81
FY2022P11,2022,11,2022-08-01,2000822.51
FY2022P12,2022,12,2022-09-01,2838570.63
FY2023P02,2023,2,2022-11-01,9979.64
FY2023P03,2023,3,2022-12-01,512076.3
FY2023P04,2023,4,2023-01-01,950517.7999999999
FY2023P05,2023,5,2023-02-01,1218749.97
FY2023P06,2023,6,2023-03-01,1778633.36
FY2023P07,2023,7,2023-04-01,2274352.48
FY2023P08,2023,8,2023-05-01,3028656.39
FY2023P09,2023,9,2023-06-01,4939523.720000001
FY2023P10,2023,10,2023-07-01,5013022.25
FY2023P11,2023,11,2023-08-01,6381014.49
FY2023P12,2023,12,2023-09-01,6439957.29
FY2024P02,2024,2,2023-11-01,1298183.05
FY2024P03,2024,3,2023-12-01,2422109.84
FY2024P04,2024,4,2024-01-01,4573710.92
FY2024P05,2024,5,2024-02-01,5939763.100000001
FY2024P06,2024,6,2024-03-01,7827487.91
FY2024P07,2024,7,2024-04-01,9575927.08
FY2024P08,2024,8,2024-05-01,11911787.459999999
FY2024P09,2024,9,2024-06-01,15535020.33
FY2024P10,2024,10,2024-07-01,17412633.37
FY2024P11,2024,11,2024-08-01,17471944.09
FY2024P12,2024,12,2024-09-01,21985027.92
FY2025P02,2025,2,2024-11-01,4290992.54
FY2025P03,2025,3,2024-12-01,4359286.4799999995
FY2025P04,2025,4,2025-01-01,14367976.88
FY2025P05,2025,5,2025-02-01,14432030.96
FY2025P06,2025,6,2025-03-01,19146412.78
FY2025P07,2025,7,2025-04-01,23581505.85
FY2025P08,2025,8,2025-05-01,30383296.53
FY2025P09,2025,9,2025-06-01,30424158.62
FY2025P10,2025,10,2025-07-01,33115660.44
FY2025P11,2025,11,2025-08-01,33135861.1
FY2025P12,2025,12,2025-09-01,43352129.1
FY2026P02,2026,2,2025-11-01,5369380.9799999995
FY2026P03,2026,3,2025-12-01,11528593.09
FY2026P04,2026,4,2026-01-01,13718294.200000001
FY2026P05,2026,5,2026-02-01,18863839.01
FY2026P06,2026,6,2026-03-01,22621888.569999997
FY2026P07,2026,7,2026-04-01,26242755.96
FY2026P08,2026,8,2026-05-01,29556719.68
