fiscal_year,fiscal_period,fiscal_period_abbr,cumulative_outlay
2025,2,Oct/Nov,4290992.54
2025,3,Dec,4359286.48
2025,4,Jan,14367976.88
2025,5,Feb,14432030.96
2025,6,Mar,19146412.78
2025,7,Apr,23581505.85
2025,8,May,30383296.53
2025,9,Jun,30424158.62
2025,10,Jul,33115660.44
2025,11,Aug,33135861.1
2025,12,Sep,43352129.1
2024,2,Oct/Nov,1298183.05
2024,3,Dec,2422109.84
2024,4,Jan,4573710.92
2024,5,Feb,5939763.1
2024,6,Mar,7827487.91
2024,7,Apr,9575927.08
2024,8,May,11911787.46
2024,9,Jun,15535020.33
2024,10,Jul,17412633.37
2024,11,Aug,17471944.09
2024,12,Sep,21985027.92
2023,2,Oct/Nov,9979.64
2023,3,Dec,512076.3
2023,4,Jan,950517.8
2023,5,Feb,1218749.97
2023,6,Mar,1778633.36
2023,7,Apr,2274352.48
2023,8,May,3028656.39
2023,9,Jun,4939523.72
2023,10,Jul,5013022.25
2023,11,Aug,6381014.49
2023,12,Sep,6439957.29
2022,3,Dec,5313.46
2022,4,Jan,16976.46
2022,5,Feb,27494.23
2022,6,Mar,54711.4
2022,7,Apr,65347.47
2022,8,May,921498.08
2022,9,Jun,1960051.67
2022,10,Jul,1961353.81
2022,11,Aug,2000822.51
2022,12,Sep,2838570.63
2021,12,Sep,195087.34
