submission_period,fiscal_year,fiscal_period,month_date,cumulative_outlay
FY2020P12,2020,12,2020-09-01,13591.69
FY2021P05,2021,5,2021-02-01,75603.5
FY2021P06,2021,6,2021-03-01,210349.3
FY2021P07,2021,7,2021-04-01,282155.33
FY2021P08,2021,8,2021-05-01,674084.89
FY2021P09,2021,9,2021-06-01,674084.89
FY2021P10,2021,10,2021-07-01,748115.74
FY2021P11,2021,11,2021-08-01,773848.71
FY2021P12,2021,12,2021-09-01,799487.19
FY2022P02,2022,2,2021-11-01,91286.44
FY2022P03,2022,3,2021-12-01,159902.62
FY2022P04,2022,4,2022-01-01,333561.23
FY2022P05,2022,5,2022-02-01,404233.98
FY2022P06,2022,6,2022-03-01,495490.94
FY2022P07,2022,7,2022-04-01,636274.71
FY2022P08,2022,8,2022-05-01,844654.24
FY2022P09,2022,9,2022-06-01,1096935.94
FY2022P10,2022,10,2022-07-01,1252986.1400000001
FY2022P11,2022,11,2022-08-01,1505086.6
FY2022P12,2022,12,2022-09-01,1683621.34
FY2023P02,2023,2,2022-11-01,395674.31
FY2023P03,2023,3,2022-12-01,624198.24
FY2023P04,2023,4,2023-01-01,797177.81
FY2023P05,2023,5,2023-02-01,990672.58
FY2023P06,2023,6,2023-03-01,1577784.89
FY2023P07,2023,7,2023-04-01,1860035.58
FY2023P08,2023,8,2023-05-01,2414561.9
FY2023P09,2023,9,2023-06-01,3536392.08
FY2023P10,2023,10,2023-07-01,3796850.61
FY2023P11,2023,11,2023-08-01,4156544.9299999997
FY2023P12,2023,12,2023-09-01,4437410.03
FY2024P02,2024,2,2023-11-01,1479476.1199999999
FY2024P03,2024,3,2023-12-01,1781751.5799999998
FY2024P04,2024,4,2024-01-01,2185000.61
FY2024P05,2024,5,2024-02-01,2568164.5100000002
FY2024P06,2024,6,2024-03-01,2938239.37
FY2024P07,2024,7,2024-04-01,3195417.94
FY2024P08,2024,8,2024-05-01,3390905.35
FY2024P09,2024,9,2024-06-01,3633598.34
FY2024P10,2024,10,2024-07-01,3883937.86
FY2024P11,2024,11,2024-08-01,4271140.71
FY2024P12,2024,12,2024-09-01,4729572.47
FY2025P02,2025,2,2024-11-01,1317339.21
FY2025P03,2025,3,2024-12-01,1764477.6800000002
FY2025P04,2025,4,2025-01-01,2952820.27
FY2025P05,2025,5,2025-02-01,3422206.5100000002
FY2025P06,2025,6,2025-03-01,4115733.58
FY2025P07,2025,7,2025-04-01,4900270.97
FY2025P08,2025,8,2025-05-01,5465040.149999999
FY2025P09,2025,9,2025-06-01,6170094.7299999995
FY2025P10,2025,10,2025-07-01,6510477.52
FY2025P11,2025,11,2025-08-01,7516589.53
FY2025P12,2025,12,2025-09-01,8405655.04
FY2026P02,2026,2,2025-11-01,1144551.01
FY2026P03,2026,3,2025-12-01,1733967.37
FY2026P04,2026,4,2026-01-01,2156111.2199999997
FY2026P05,2026,5,2026-02-01,2809476.44
