fiscal_year,fiscal_period,fiscal_period_abbr,cumulative_outlay
2026,2,Oct/Nov,2303897.01
2026,3,Dec,3280506.37
2026,4,Jan,4089843.22
2026,5,Feb,7154630.44
2026,6,Mar,9085264.16
2026,7,Apr,11619817.14
2026,8,May,14304399.21
2025,2,Oct/Nov,1493136.46
2025,3,Dec,2519945.93
2025,4,Jan,4287959.52
2025,5,Feb,5916687.76
2025,6,Mar,8041429.83
2025,7,Apr,8825967.22
2025,8,May,9970407.4
2025,9,Jun,11255132.98
2025,10,Jul,12175186.77
2025,11,Aug,13760969.78
2025,12,Sep,15229706.29
2024,2,Oct/Nov,2634652.12
2024,3,Dec,3670367.33
2024,4,Jan,4807056.11
2024,5,Feb,5923659.76
2024,6,Mar,6469531.87
2024,7,Apr,6902507.69
2024,8,May,7273792.35
2024,9,Jun,7692282.59
2024,10,Jul,8118419.36
2024,11,Aug,8681419.46
2024,12,Sep,9315648.47
2023,2,Oct/Nov,1147051.31
2023,3,Dec,1758979.49
2023,4,Jan,2315363.31
2023,5,Feb,2892262.33
2023,6,Mar,3862778.89
2023,7,Apr,4528433.83
2023,8,May,5466364.4
2023,9,Jun,6971598.83
2023,10,Jul,7232057.36
2023,11,Aug,8435224.18
2023,12,Sep,9137825.53
2022,2,Oct/Nov,91286.44
2022,3,Dec,1038391.12
2022,4,Jan,1212049.73
2022,5,Feb,2018667.98
2022,6,Mar,2109924.94
2022,7,Apr,2618681.46
2022,8,May,3195033.74
2022,9,Jun,3815288.19
2022,10,Jul,4707283.89
2022,11,Aug,4959384.35
2022,12,Sep,5873864.59
2021,2,Oct/Nov,253302.12
2021,3,Dec,168868.08
2021,4,Jan,253302.12
2021,5,Feb,413339.66
2021,6,Mar,548085.46
2021,7,Apr,727352.96
2021,8,May,1119282.52
2021,9,Jun,1119282.52
2021,10,Jul,1300774.84
2021,11,Aug,1326507.81
2021,12,Sep,1352146.29
2020,10,Jul,161192.25
2020,11,Aug,245626.29
2020,12,Sep,535547.56
