submission_period,fiscal_year,fiscal_period,month_date,cumulative_outlay
FY2020P10,2020,10,2020-07-01,3980520.84
FY2020P11,2020,11,2020-08-01,4545275.83
FY2020P12,2020,12,2020-09-01,4730067.800000001
FY2021P02,2021,2,2020-11-01,1268436.4500000002
FY2021P03,2021,3,2020-12-01,1327624.73
FY2021P04,2021,4,2021-01-01,1770401.64
FY2021P05,2021,5,2021-02-01,2119876.34
FY2021P06,2021,6,2021-03-01,3125082.91
FY2021P07,2021,7,2021-04-01,3125082.91
FY2021P08,2021,8,2021-05-01,3525497.29
FY2021P09,2021,9,2021-06-01,3910041.88
FY2021P10,2021,10,2021-07-01,4168762.79
FY2021P11,2021,11,2021-08-01,4744068.35
FY2021P12,2021,12,2021-09-01,4870415.78
FY2022P02,2022,2,2021-11-01,550244.28
FY2022P03,2022,3,2021-12-01,624698.22
FY2022P04,2022,4,2022-01-01,1451086.58
FY2022P05,2022,5,2022-02-01,2028869.0999999999
FY2022P06,2022,6,2022-03-01,2396975.3899999997
FY2022P07,2022,7,2022-04-01,2759582.3200000003
FY2022P08,2022,8,2022-05-01,2759582.3200000003
FY2022P09,2022,9,2022-06-01,3441783.0
FY2022P10,2022,10,2022-07-01,3441783.0
FY2022P11,2022,11,2022-08-01,3441783.0
FY2022P12,2022,12,2022-09-01,3441783.0
FY2023P08,2023,8,2023-05-01,4170244.66
FY2023P09,2023,9,2023-06-01,4643138.6
FY2023P10,2023,10,2023-07-01,5016882.18
FY2023P11,2023,11,2023-08-01,5659823.08
FY2023P12,2023,12,2023-09-01,5659823.08
FY2024P02,2024,2,2023-11-01,1331087.79
FY2024P03,2024,3,2023-12-01,1712708.08
FY2024P04,2024,4,2024-01-01,2117176.2600000002
FY2024P05,2024,5,2024-02-01,2525295.39
FY2024P06,2024,6,2024-03-01,2975029.33
FY2024P07,2024,7,2024-04-01,2975029.33
FY2024P08,2024,8,2024-05-01,3825209.32
FY2024P09,2024,9,2024-06-01,3825209.32
FY2024P10,2024,10,2024-07-01,4163279.65
FY2024P11,2024,11,2024-08-01,4163279.65
FY2024P12,2024,12,2024-09-01,4935609.97
FY2025P03,2025,3,2024-12-01,1444256.18
FY2025P04,2025,4,2025-01-01,1705374.88
FY2025P05,2025,5,2025-02-01,2059799.24
FY2025P06,2025,6,2025-03-01,2548036.96
FY2025P07,2025,7,2025-04-01,2548036.96
FY2025P08,2025,8,2025-05-01,2961009.27
FY2025P09,2025,9,2025-06-01,3357659.73
FY2025P10,2025,10,2025-07-01,3681566.9800000004
FY2025P11,2025,11,2025-08-01,3681566.9800000004
FY2025P12,2025,12,2025-09-01,3681566.9800000004
FY2026P02,2026,2,2025-11-01,1114312.52
FY2026P03,2026,3,2025-12-01,1436128.96
FY2026P04,2026,4,2026-01-01,1765401.44
FY2026P05,2026,5,2026-02-01,1765401.44
FY2026P06,2026,6,2026-03-01,2144578.02
