fiscal_year,fiscal_period,fiscal_period_abbr,cumulative_outlay
2025,3,Dec,1444256.18
2025,4,Jan,1705374.88
2025,5,Feb,2059799.24
2025,6,Mar,2548036.96
2025,7,Apr,2548036.96
2025,8,May,2961009.27
2025,9,Jun,3357659.73
2025,10,Jul,3681566.98
2025,11,Aug,3681566.98
2025,12,Sep,3681566.98
2024,2,Oct/Nov,1331087.79
2024,3,Dec,1712708.08
2024,4,Jan,2117176.26
2024,5,Feb,2525295.39
2024,6,Mar,2975029.33
2024,7,Apr,2975029.33
2024,8,May,3825209.32
2024,9,Jun,3825209.32
2024,10,Jul,4163279.65
2024,11,Aug,4163279.65
2024,12,Sep,4935609.97
2023,8,May,4170244.66
2023,9,Jun,4643138.6
2023,10,Jul,5016882.18
2023,11,Aug,5659823.08
2023,12,Sep,5659823.08
2022,2,Oct/Nov,550244.28
2022,3,Dec,624698.22
2022,4,Jan,1451086.58
2022,5,Feb,2028869.1
2022,6,Mar,2396975.39
2022,7,Apr,2759582.32
2022,8,May,2759582.32
2022,9,Jun,3441783.0
2022,10,Jul,3441783.0
2022,11,Aug,3441783.0
2022,12,Sep,3441783.0
2021,2,Oct/Nov,1268436.45
2021,3,Dec,1327624.73
2021,4,Jan,1770401.64
2021,5,Feb,2119876.34
2021,6,Mar,3125082.91
2021,7,Apr,3125082.91
2021,8,May,3525497.29
2021,9,Jun,3910041.88
2021,10,Jul,4168762.79
2021,11,Aug,4744068.35
2021,12,Sep,4870415.78
2020,10,Jul,3980520.84
2020,11,Aug,4545275.83
2020,12,Sep,4730067.8
