submission_period,fiscal_year,fiscal_period,month_date,cumulative_outlay
FY2020P10,2020,10,2020-07-01,800938.0800000001
FY2020P11,2020,11,2020-08-01,939858.45
FY2020P12,2020,12,2020-09-01,972279.11
FY2021P06,2021,6,2021-03-01,659473.42
FY2021P07,2021,7,2021-04-01,853531.4
FY2021P08,2021,8,2021-05-01,868469.46
FY2021P09,2021,9,2021-06-01,874452.34
FY2021P10,2021,10,2021-07-01,1076940.11
FY2021P11,2021,11,2021-08-01,1189845.16
FY2021P12,2021,12,2021-09-01,1329271.05
FY2022P02,2022,2,2021-11-01,222628.7
FY2022P03,2022,3,2021-12-01,310178.97
FY2022P04,2022,4,2022-01-01,310178.97
FY2022P05,2022,5,2022-02-01,408036.16000000003
FY2022P06,2022,6,2022-03-01,546040.9
FY2022P07,2022,7,2022-04-01,546040.9
FY2022P08,2022,8,2022-05-01,616172.89
FY2022P09,2022,9,2022-06-01,616201.19
FY2022P10,2022,10,2022-07-01,707645.94
FY2022P11,2022,11,2022-08-01,932545.5
FY2022P12,2022,12,2022-09-01,1050876.58
FY2023P08,2023,8,2023-05-01,1044312.06
FY2023P09,2023,9,2023-06-01,1128201.59
FY2023P10,2023,10,2023-07-01,1156958.75
FY2023P11,2023,11,2023-08-01,1374615.0799999998
FY2023P12,2023,12,2023-09-01,1376404.8699999999
FY2024P02,2024,2,2023-11-01,376297.11
FY2024P03,2024,3,2023-12-01,466610.47
FY2024P04,2024,4,2024-01-01,491460.67
FY2024P05,2024,5,2024-02-01,659698.44
FY2024P06,2024,6,2024-03-01,843929.9099999999
FY2024P07,2024,7,2024-04-01,865211.89
FY2024P08,2024,8,2024-05-01,948720.76
FY2024P09,2024,9,2024-06-01,1255337.69
FY2024P10,2024,10,2024-07-01,1309204.16
FY2024P11,2024,11,2024-08-01,1409547.01
FY2024P12,2024,12,2024-09-01,1507014.12
FY2025P02,2025,2,2024-11-01,177341.2
FY2025P03,2025,3,2024-12-01,370506.34
FY2025P04,2025,4,2025-01-01,375970.1
FY2025P05,2025,5,2025-02-01,480277.57
FY2025P06,2025,6,2025-03-01,643142.65
FY2025P07,2025,7,2025-04-01,643614.79
FY2025P08,2025,8,2025-05-01,643614.79
FY2025P09,2025,9,2025-06-01,991629.8700000001
FY2025P10,2025,10,2025-07-01,1273303.75
FY2025P11,2025,11,2025-08-01,1400670.75
FY2025P12,2025,12,2025-09-01,1400670.75
FY2026P02,2026,2,2025-11-01,40120.39
FY2026P03,2026,3,2025-12-01,233829.65
FY2026P04,2026,4,2026-01-01,433512.83999999997
FY2026P05,2026,5,2026-02-01,536634.59
FY2026P06,2026,6,2026-03-01,536634.59
FY2026P07,2026,7,2026-04-01,590211.76
