reporting_fiscal_year,reporting_fiscal_month,fiscal_month_abbr,transaction_obligated_amount,cumulative_obligations
2026,2,Oct/Nov,0.0,0.0
2026,3,Dec,0.0,0.0
2026,4,Jan,530494.0,530494.0
2025,2,Oct/Nov,4255000.0,4255000.0
2025,3,Dec,0.0,4255000.0
2025,4,Jan,5910000.0,10165000.0
2025,5,Feb,1153704.04,11318704.04
2025,6,Mar,0.0,11318704.04
2025,7,Apr,2200000.0,13518704.04
2025,8,May,0.0,13518704.04
2025,9,Jun,0.0,13518704.04
2025,10,Jul,4500000.0,18018704.04
2025,11,Aug,500401.0,18519105.04
2025,12,Sep,9400683.96,27919789.0
2024,2,Oct/Nov,3257290.0,3257290.0
2024,3,Dec,7000000.0,10257290.0
2024,4,Jan,0.0,10257290.0
2024,5,Feb,3500000.0,13757290.0
2024,6,Mar,1700000.0,15457290.0
2024,7,Apr,11703467.0,27160757.0
2024,8,May,0.0,27160757.0
2024,9,Jun,0.0,27160757.0
2024,10,Jul,28000.0,27188757.0
2024,11,Aug,0.0,27188757.0
2024,12,Sep,0.0,27188757.0
2023,2,Oct/Nov,8477592.0,8477592.0
2023,3,Dec,0.0,8477592.0
2023,4,Jan,0.0,8477592.0
2023,5,Feb,5000000.0,13477592.0
2023,6,Mar,0.0,13477592.0
2023,7,Apr,0.0,13477592.0
2023,8,May,13000000.0,26477592.0
2023,9,Jun,0.0,26477592.0
2023,10,Jul,5907820.0,32385412.0
2023,11,Aug,0.0,32385412.0
2023,12,Sep,3267277.0,35652689.0
2022,2,Oct/Nov,0.0,0.0
2022,3,Dec,0.0,0.0
2022,4,Jan,1379678.0,1379678.0
2022,5,Feb,808009.0,2187687.0
2022,6,Mar,1300000.0,3487687.0
2022,7,Apr,5000000.0,8487687.0
2022,8,May,15140021.0,23627708.0
2022,9,Jun,0.0,23627708.0
2022,10,Jul,0.0,23627708.0
2022,11,Aug,0.0,23627708.0
2022,12,Sep,229177.09,23856885.09
2021,2,Oct/Nov,2779500.0,2779500.0
2021,3,Dec,2367500.0,5147000.0
2021,4,Jan,0.0,5147000.0
2021,5,Feb,24101832.0,29248832.0
2021,6,Mar,0.0,29248832.0
2021,7,Apr,0.0,29248832.0
2021,8,May,0.0,29248832.0
2021,9,Jun,0.0,29248832.0
2021,10,Jul,0.0,29248832.0
2021,11,Aug,0.0,29248832.0
2021,12,Sep,4075000.0,33323832.0
2020,3,Dec,5994010.0,5994010.0
2020,6,Mar,26295800.0,32289810.0
2019,3,Dec,9149427.12,9149427.12
2019,6,Mar,12893000.0,22042427.12
2019,9,Jun,-1901150.56,20141276.56
2018,6,Mar,570000.0,570000.0
2018,12,Sep,17102478.81,17672478.81
2017,6,Mar,3053000.0,3053000.0
2017,9,Jun,14075445.0,17128445.0
