submission_period,fiscal_year,fiscal_period,month_date,cumulative_outlay
FY2021P02,2021,2,2020-11-01,7078787.26
FY2021P03,2021,3,2020-12-01,8222059.46
FY2021P04,2021,4,2021-01-01,10620694.620000001
FY2021P05,2021,5,2021-02-01,12509828.61
FY2021P06,2021,6,2021-03-01,15024122.530000001
FY2021P07,2021,7,2021-04-01,17159615.37
FY2021P08,2021,8,2021-05-01,19312349.560000002
FY2021P09,2021,9,2021-06-01,21592730.82
FY2021P10,2021,10,2021-07-01,23825747.810000002
FY2021P11,2021,11,2021-08-01,26728408.13
FY2021P12,2021,12,2021-09-01,28771939.22
FY2022P02,2022,2,2021-11-01,4533387.109999999
FY2022P03,2022,3,2021-12-01,5917169.76
FY2022P04,2022,4,2022-01-01,8719372.85
FY2022P05,2022,5,2022-02-01,9915640.48
FY2022P06,2022,6,2022-03-01,12911389.46
FY2022P07,2022,7,2022-04-01,14388544.150000002
FY2022P08,2022,8,2022-05-01,16767897.629999999
FY2022P09,2022,9,2022-06-01,18432215.23
FY2022P10,2022,10,2022-07-01,21013248.68
FY2022P11,2022,11,2022-08-01,23823478.380000003
FY2022P12,2022,12,2022-09-01,25433591.22
FY2023P02,2023,2,2022-11-01,1650255.62
FY2023P03,2023,3,2022-12-01,4912335.11
FY2023P04,2023,4,2023-01-01,4912335.11
FY2023P05,2023,5,2023-02-01,13033946.78
FY2023P06,2023,6,2023-03-01,15119847.190000001
FY2023P07,2023,7,2023-04-01,17008074.48
FY2023P08,2023,8,2023-05-01,19416013.62
FY2023P09,2023,9,2023-06-01,22960069.11
FY2023P10,2023,10,2023-07-01,24765556.490000002
FY2023P11,2023,11,2023-08-01,27122851.580000002
FY2023P12,2023,12,2023-09-01,29287429.29
FY2024P02,2024,2,2023-11-01,5801573.9
FY2024P03,2024,3,2023-12-01,8539002.649999999
FY2024P04,2024,4,2024-01-01,10633196.16
FY2024P05,2024,5,2024-02-01,12975239.6
FY2024P06,2024,6,2024-03-01,14939768.27
FY2024P07,2024,7,2024-04-01,18364108.28
FY2024P08,2024,8,2024-05-01,20636909.700000003
FY2024P09,2024,9,2024-06-01,22163137.07
FY2024P10,2024,10,2024-07-01,24792765.580000002
FY2024P11,2024,11,2024-08-01,27954182.259999998
FY2024P12,2024,12,2024-09-01,28715123.04
FY2025P02,2025,2,2024-11-01,5809470.5
FY2025P03,2025,3,2024-12-01,8713638.11
FY2025P04,2025,4,2025-01-01,11188373.69
FY2025P05,2025,5,2025-02-01,13648239.91
FY2025P06,2025,6,2025-03-01,16570008.55
FY2025P07,2025,7,2025-04-01,18187911.439999998
FY2025P08,2025,8,2025-05-01,21623086.21
FY2025P09,2025,9,2025-06-01,23277744.14
FY2025P10,2025,10,2025-07-01,24604685.65
FY2025P11,2025,11,2025-08-01,28079602.249999996
FY2025P12,2025,12,2025-09-01,31445119.93
FY2026P02,2026,2,2025-11-01,3079901.14
FY2026P03,2026,3,2025-12-01,5139854.220000001
FY2026P04,2026,4,2026-01-01,7265831.52
