fiscal_year,fiscal_period,fiscal_period_abbr,monthly_outlay,cumulative_outlay
2025,2,Oct/Nov,5837470.5,5837470.5
2025,3,Dec,2876167.61,8713638.11
2025,4,Jan,2474735.58,11188373.69
2025,5,Feb,2459866.22,13648239.91
2025,6,Mar,2921768.64,16570008.55
2025,7,Apr,1617902.89,18187911.44
2025,8,May,3435174.77,21623086.21
2025,9,Jun,1654657.93,23277744.14
2025,10,Jul,-4281568.25,18996175.89
2025,11,Aug,1180646.91,20176822.8
2025,12,Sep,-377902.07,19798920.73
2024,2,Oct/Nov,5801573.9,5801573.9
2024,3,Dec,2737428.75,8539002.65
2024,4,Jan,2094193.51,10633196.16
2024,5,Feb,2342043.44,12975239.6
2024,6,Mar,1964528.67,14939768.27
2024,7,Apr,3424340.01,18364108.28
2024,8,May,2272801.42,20636909.7
2024,9,Jun,-6698259.28,13938650.42
2024,10,Jul,-1561067.08,12377583.34
2024,11,Aug,15576598.92,27954182.26
2024,12,Sep,760940.78,28715123.04
2023,2,Oct/Nov,0.0,0.0
2023,3,Dec,4912335.11,4912335.11
2023,4,Jan,0.0,4912335.11
2023,5,Feb,8121611.67,13033946.78
2023,6,Mar,2085900.41,15119847.19
2023,7,Apr,1888227.29,17008074.48
2023,8,May,2261060.9,19269135.38
2023,9,Jun,3690933.73,22960069.11
2023,10,Jul,-1699696.06,21260373.05
2023,11,Aug,5862478.53,27122851.58
2023,12,Sep,2164577.71,29287429.29
2022,2,Oct/Nov,4533387.11,4533387.11
2022,3,Dec,1383782.65,5917169.76
2022,4,Jan,2802203.09,8719372.85
2022,5,Feb,1196267.63,9915640.48
2022,6,Mar,2995748.98,12911389.46
2022,7,Apr,1348318.73,14259708.19
2022,8,May,694790.66,14954498.85
2022,9,Jun,3477716.38,18432215.23
2022,10,Jul,2581033.45,21013248.68
2022,11,Aug,2810229.7,23823478.38
2022,12,Sep,1610112.84,25433591.22
2021,2,Oct/Nov,5415302.56,5415302.56
2021,3,Dec,2806756.9,8222059.46
2021,4,Jan,2398635.16,10620694.62
2021,5,Feb,1889133.99,12509828.61
2021,6,Mar,2514293.92,15024122.53
2021,7,Apr,2135492.84,17159615.37
2021,8,May,2152734.19,19312349.56
2021,9,Jun,2280381.26,21592730.82
2021,10,Jul,2233016.99,23825747.81
2021,11,Aug,2902660.32,26728408.13
2021,12,Sep,-14715567.72,12012840.41
