submission_period,fiscal_year,fiscal_period,month_date,cumulative_outlay
FY2020P07,2020,7,2020-04-01,175514929.98000002
FY2020P08,2020,8,2020-05-01,197983584.03999996
FY2020P09,2020,9,2020-06-01,222406447.2
FY2020P10,2020,10,2020-07-01,262318065.39999998
FY2020P11,2020,11,2020-08-01,287722288.93
FY2020P12,2020,12,2020-09-01,322656704.34000003
FY2021P02,2021,2,2020-11-01,5242414.58
FY2021P03,2021,3,2020-12-01,75147551.44
FY2021P04,2021,4,2021-01-01,81902616.53
FY2021P05,2021,5,2021-02-01,104821343.17000002
FY2021P06,2021,6,2021-03-01,130161441.03999999
FY2021P07,2021,7,2021-04-01,161683932.33
FY2021P08,2021,8,2021-05-01,180953377.0
FY2021P09,2021,9,2021-06-01,199904942.64000002
FY2021P10,2021,10,2021-07-01,224216848.91
FY2021P11,2021,11,2021-08-01,259729244.06
FY2021P12,2021,12,2021-09-01,287394995.14
FY2022P02,2022,2,2021-11-01,44574841.9
FY2022P03,2022,3,2021-12-01,65784348.51
FY2022P04,2022,4,2022-01-01,81000674.2
FY2022P05,2022,5,2022-02-01,97099006.59
FY2022P06,2022,6,2022-03-01,120654550.91
FY2022P07,2022,7,2022-04-01,134084545.45
FY2022P08,2022,8,2022-05-01,155891188.05
FY2022P09,2022,9,2022-06-01,166127224.28
FY2022P10,2022,10,2022-07-01,177642944.99
FY2022P11,2022,11,2022-08-01,189957303.58
FY2022P12,2022,12,2022-09-01,211673772.28
FY2023P02,2023,2,2022-11-01,26305378.01
FY2023P03,2023,3,2022-12-01,40062645.879999995
FY2023P04,2023,4,2023-01-01,41269081.25
FY2023P05,2023,5,2023-02-01,52348034.489999995
FY2023P06,2023,6,2023-03-01,66588326.989999995
FY2023P07,2023,7,2023-04-01,76021133.96000001
FY2023P08,2023,8,2023-05-01,106594164.99
FY2023P09,2023,9,2023-06-01,108169684.1
FY2023P10,2023,10,2023-07-01,117265890.24
FY2023P11,2023,11,2023-08-01,128898609.04
FY2023P12,2023,12,2023-09-01,164209137.4
FY2024P02,2024,2,2023-11-01,14419465.74
FY2024P03,2024,3,2023-12-01,28045041.46
FY2024P04,2024,4,2024-01-01,38523868.54
FY2024P05,2024,5,2024-02-01,43839297.95
FY2024P06,2024,6,2024-03-01,69824985.27
FY2024P07,2024,7,2024-04-01,68995240.66
FY2024P08,2024,8,2024-05-01,81777624.39
FY2024P09,2024,9,2024-06-01,92179890.85
FY2024P10,2024,10,2024-07-01,106788995.93
FY2024P11,2024,11,2024-08-01,117154331.06000002
FY2024P12,2024,12,2024-09-01,133103042.63
FY2025P02,2025,2,2024-11-01,31264706.189999998
FY2025P03,2025,3,2024-12-01,57199164.46
FY2025P04,2025,4,2025-01-01,53962989.67
FY2025P05,2025,5,2025-02-01,64487186.39
FY2025P06,2025,6,2025-03-01,82369948.97
FY2025P07,2025,7,2025-04-01,100043538.7
FY2025P08,2025,8,2025-05-01,105321981.42
FY2025P09,2025,9,2025-06-01,125100118.02
FY2025P10,2025,10,2025-07-01,139130684.15
FY2025P11,2025,11,2025-08-01,153588611.74999997
FY2025P12,2025,12,2025-09-01,168444078.74999997
FY2026P02,2026,2,2025-11-01,28359333.529999997
FY2026P03,2026,3,2025-12-01,39843056.77
FY2026P04,2026,4,2026-01-01,54510637.519999996
FY2026P05,2026,5,2026-02-01,67125955.7
FY2026P06,2026,6,2026-03-01,79538492.08
FY2026P07,2026,7,2026-04-01,91719022.92999999
FY2026P08,2026,8,2026-05-01,106608975.95
FY2026P09,2026,9,2026-06-01,120557494.74000001
