fiscal_year,fiscal_period,fiscal_period_abbr,cumulative_outlay
2026,2,Oct/Nov,28085244.67
2026,3,Dec,39446867.66
2026,4,Jan,54025297.96
2026,5,Feb,66507562.65
2026,6,Mar,78815869.34
2026,7,Apr,90819895.82
2026,8,May,105555669.65
2026,9,Jun,119399685.41
2026,10,Jul,138081011.86
2025,2,Oct/Nov,31058366.68
2025,3,Dec,56899476.22
2025,4,Jan,53569697.14
2025,5,Feb,63938279.88
2025,6,Mar,81694042.71
2025,7,Apr,99203525.98
2025,8,May,104365406.75
2025,9,Jun,124041253.13
2025,10,Jul,138016656.45
2025,11,Aug,152314470.79
2025,12,Sep,167090460.94
2024,2,Oct/Nov,14336776.72
2024,3,Dec,27875326.14
2024,4,Jan,38282705.38
2024,5,Feb,43550894.8
2024,6,Mar,69473881.66
2024,7,Apr,68555864.0
2024,8,May,81260428.03
2024,9,Jun,91564619.28
2024,10,Jul,106071741.7
2024,11,Aug,116328827.87
2024,12,Sep,132175488.75
2023,2,Oct/Nov,26296039.57
2023,3,Dec,40046225.63
2023,4,Jan,41250170.47
2023,5,Feb,52295388.94
2023,6,Mar,66496377.2
2023,7,Apr,75897262.59
2023,8,May,106430517.2
2023,9,Jun,107953998.59
2023,10,Jul,116993637.46
2023,11,Aug,128545392.12
2023,12,Sep,163807033.04
2022,2,Oct/Nov,44574841.9
2022,3,Dec,65784348.51
2022,4,Jan,81000674.2
2022,5,Feb,97099006.59
2022,6,Mar,120654550.91
2022,7,Apr,134084545.45
2022,8,May,155890133.97
2022,9,Jun,166126242.88
2022,10,Jul,177641949.09
2022,11,Aug,189951494.1
2022,12,Sep,211667250.04
2021,2,Oct/Nov,5242414.58
2021,3,Dec,75147551.44
2021,4,Jan,81902616.53
2021,5,Feb,104821343.17
2021,6,Mar,130161441.04
2021,7,Apr,161683932.33
2021,8,May,180953377.0
2021,9,Jun,199904942.64
2021,10,Jul,224216848.91
2021,11,Aug,259729244.06
2021,12,Sep,287394995.14
2020,7,Apr,175514929.98
2020,8,May,197983584.04
2020,9,Jun,222406447.2
2020,10,Jul,262318065.4
2020,11,Aug,287722288.93
2020,12,Sep,322656704.34
