submission_period,fiscal_year,fiscal_period,month_date,cumulative_outlay
FY2020P07,2020,7,2020-04-01,194525111.76999998
FY2020P08,2020,8,2020-05-01,214292645.09
FY2020P09,2020,9,2020-06-01,232801403.27999997
FY2020P10,2020,10,2020-07-01,250792971.96
FY2020P11,2020,11,2020-08-01,279238798.28999996
FY2020P12,2020,12,2020-09-01,297240148.2
FY2021P02,2021,2,2020-11-01,57252605.37
FY2021P03,2021,3,2020-12-01,49037496.230000004
FY2021P04,2021,4,2021-01-01,64170663.48
FY2021P05,2021,5,2021-02-01,77489483.1
FY2021P06,2021,6,2021-03-01,99244590.33
FY2021P07,2021,7,2021-04-01,110188731.83999999
FY2021P08,2021,8,2021-05-01,120360991.29
FY2021P09,2021,9,2021-06-01,131352888.56
FY2021P10,2021,10,2021-07-01,139593262.62000003
FY2021P11,2021,11,2021-08-01,160014277.39999998
FY2021P12,2021,12,2021-09-01,168639387.1
FY2022P02,2022,2,2021-11-01,20962110.1
FY2022P03,2022,3,2021-12-01,31288261.07
FY2022P04,2022,4,2022-01-01,37915916.86
FY2022P05,2022,5,2022-02-01,43614365.419999994
FY2022P06,2022,6,2022-03-01,55160507.54
FY2022P07,2022,7,2022-04-01,64148074.76
FY2022P08,2022,8,2022-05-01,73647740.39000002
FY2022P09,2022,9,2022-06-01,79423963.84
FY2022P10,2022,10,2022-07-01,89813206.58
FY2022P11,2022,11,2022-08-01,102615182.16999999
FY2022P12,2022,12,2022-09-01,110603617.27000001
FY2023P02,2023,2,2022-11-01,19009295.58
FY2023P03,2023,3,2022-12-01,24266087.63
FY2023P04,2023,4,2023-01-01,38536121.419999994
FY2023P05,2023,5,2023-02-01,45712128.650000006
FY2023P06,2023,6,2023-03-01,52894103.10999999
FY2023P07,2023,7,2023-04-01,59231591.78
FY2023P08,2023,8,2023-05-01,68979851.80999999
FY2023P09,2023,9,2023-06-01,82116631.63999999
FY2023P10,2023,10,2023-07-01,81688179.56
FY2023P11,2023,11,2023-08-01,89422114.72999999
FY2023P12,2023,12,2023-09-01,97739601.05999999
FY2024P02,2024,2,2023-11-01,17513525.650000002
FY2024P03,2024,3,2023-12-01,17672110.700000003
FY2024P04,2024,4,2024-01-01,17956162.159999996
FY2024P05,2024,5,2024-02-01,18183909.43
FY2024P06,2024,6,2024-03-01,45344296.79000001
FY2024P07,2024,7,2024-04-01,54826212.690000005
FY2024P08,2024,8,2024-05-01,60776429.17
FY2024P09,2024,9,2024-06-01,66259355.03000001
FY2024P10,2024,10,2024-07-01,77614612.42000002
FY2024P11,2024,11,2024-08-01,83037824.92999999
FY2024P12,2024,12,2024-09-01,89719124.25
FY2025P02,2025,2,2024-11-01,16331047.47
FY2025P03,2025,3,2024-12-01,26779277.12
FY2025P04,2025,4,2025-01-01,34716321.43
FY2025P05,2025,5,2025-02-01,42944192.18
FY2025P06,2025,6,2025-03-01,49096942.76
FY2025P07,2025,7,2025-04-01,53202727.44
FY2025P08,2025,8,2025-05-01,63980133.85999999
FY2025P09,2025,9,2025-06-01,71444656.37
FY2025P10,2025,10,2025-07-01,71488140.94999999
FY2025P11,2025,11,2025-08-01,86554114.03
FY2025P12,2025,12,2025-09-01,95561052.11999999
FY2026P02,2026,2,2025-11-01,11687692.28
FY2026P03,2026,3,2025-12-01,19190495.0
FY2026P04,2026,4,2026-01-01,25832730.87
FY2026P05,2026,5,2026-02-01,31994285.49
FY2026P06,2026,6,2026-03-01,37175182.07
