submission_period,fiscal_year,fiscal_period,month_date,cumulative_outlay
FY2020P07,2020,7,2020-04-01,4193522.05
FY2020P08,2020,8,2020-05-01,10376242.57
FY2020P09,2020,9,2020-06-01,11968954.350000001
FY2020P10,2020,10,2020-07-01,13211825.84
FY2020P11,2020,11,2020-08-01,15145664.030000001
FY2020P12,2020,12,2020-09-01,15861690.479999999
FY2021P02,2021,2,2020-11-01,1772874.09
FY2021P03,2021,3,2020-12-01,3398590.61
FY2021P04,2021,4,2021-01-01,4066185.0100000002
FY2021P05,2021,5,2021-02-01,5326330.02
FY2021P06,2021,6,2021-03-01,6693678.27
FY2021P07,2021,7,2021-04-01,8055818.43
FY2021P08,2021,8,2021-05-01,9538993.74
FY2021P09,2021,9,2021-06-01,10277661.37
FY2021P10,2021,10,2021-07-01,11999651.78
FY2021P11,2021,11,2021-08-01,14766220.940000001
FY2021P12,2021,12,2021-09-01,15615632.639999999
FY2022P02,2022,2,2021-11-01,2581625.34
FY2022P03,2022,3,2021-12-01,3931121.36
FY2022P04,2022,4,2022-01-01,5218975.13
FY2022P05,2022,5,2022-02-01,5633132.13
FY2022P06,2022,6,2022-03-01,7868078.99
FY2022P07,2022,7,2022-04-01,9112547.19
FY2022P08,2022,8,2022-05-01,9930253.85
FY2022P09,2022,9,2022-06-01,11950636.1
FY2022P10,2022,10,2022-07-01,13410198.639999999
FY2022P11,2022,11,2022-08-01,15447282.57
FY2022P12,2022,12,2022-09-01,16473964.069999998
FY2023P02,2023,2,2022-11-01,1361890.95
FY2023P03,2023,3,2022-12-01,4356607.47
FY2023P04,2023,4,2023-01-01,5877438.75
FY2023P05,2023,5,2023-02-01,7093123.69
FY2023P06,2023,6,2023-03-01,8160404.66
FY2023P07,2023,7,2023-04-01,9938084.63
FY2023P08,2023,8,2023-05-01,11283174.07
FY2023P09,2023,9,2023-06-01,11900784.55
FY2023P10,2023,10,2023-07-01,14031345.26
FY2023P11,2023,11,2023-08-01,14892387.03
FY2023P12,2023,12,2023-09-01,17204595.229999997
FY2024P02,2024,2,2023-11-01,2799717.16
FY2024P03,2024,3,2023-12-01,4474342.3100000005
FY2024P04,2024,4,2024-01-01,5694166.680000001
FY2024P05,2024,5,2024-02-01,7570186.34
FY2024P06,2024,6,2024-03-01,8543242.23
FY2024P07,2024,7,2024-04-01,10229664.55
FY2024P08,2024,8,2024-05-01,12309651.59
FY2024P09,2024,9,2024-06-01,13384038.73
FY2024P10,2024,10,2024-07-01,14678988.020000001
FY2024P11,2024,11,2024-08-01,16811857.7
FY2024P12,2024,12,2024-09-01,18529812.5
FY2025P02,2025,2,2024-11-01,3052168.24
FY2025P03,2025,3,2024-12-01,4447954.99
FY2025P04,2025,4,2025-01-01,5670038.22
FY2025P05,2025,5,2025-02-01,6680099.48
FY2025P06,2025,6,2025-03-01,8439475.55
FY2025P07,2025,7,2025-04-01,11074690.31
FY2025P08,2025,8,2025-05-01,12245490.74
FY2025P09,2025,9,2025-06-01,14116976.06
FY2025P10,2025,10,2025-07-01,15607760.84
FY2025P11,2025,11,2025-08-01,16676173.870000001
FY2025P12,2025,12,2025-09-01,19144028.93
FY2026P02,2026,2,2025-11-01,3065676.56
FY2026P03,2026,3,2025-12-01,4950200.66
FY2026P04,2026,4,2026-01-01,6268267.66
FY2026P05,2026,5,2026-02-01,7818867.21
FY2026P06,2026,6,2026-03-01,9195526.299999999
FY2026P07,2026,7,2026-04-01,10542771.8
