fiscal_year,fiscal_period,fiscal_period_abbr,cumulative_outlay
2026,2,Oct/Nov,3065676.56
2026,3,Dec,4950200.66
2026,4,Jan,6268267.66
2026,5,Feb,7818867.21
2026,6,Mar,9195526.3
2026,7,Apr,10542771.8
2026,8,May,11693774.94
2026,9,Jun,12731779.68
2025,2,Oct/Nov,3052168.24
2025,3,Dec,4447954.99
2025,4,Jan,5670038.22
2025,5,Feb,6680099.48
2025,6,Mar,8439475.55
2025,7,Apr,11074690.31
2025,8,May,12245490.74
2025,9,Jun,14116976.06
2025,10,Jul,15607760.84
2025,11,Aug,16676173.87
2025,12,Sep,19144028.93
2024,2,Oct/Nov,2799717.16
2024,3,Dec,4474342.31
2024,4,Jan,5694166.68
2024,5,Feb,7570186.34
2024,6,Mar,8543242.23
2024,7,Apr,10229664.55
2024,8,May,12309651.59
2024,9,Jun,13384038.73
2024,10,Jul,14678988.02
2024,11,Aug,16811857.7
2024,12,Sep,18529812.5
2023,2,Oct/Nov,1361890.95
2023,3,Dec,4356607.47
2023,4,Jan,5877438.75
2023,5,Feb,7093123.69
2023,6,Mar,8160404.66
2023,7,Apr,9938084.63
2023,8,May,11283174.07
2023,9,Jun,11900784.55
2023,10,Jul,14031345.26
2023,11,Aug,14892387.03
2023,12,Sep,17204595.23
2022,2,Oct/Nov,2581625.34
2022,3,Dec,3931121.36
2022,4,Jan,5218975.13
2022,5,Feb,5633132.13
2022,6,Mar,7868078.99
2022,7,Apr,9112547.19
2022,8,May,9930253.85
2022,9,Jun,11950636.1
2022,10,Jul,13410198.64
2022,11,Aug,15447282.57
2022,12,Sep,16473964.07
2021,2,Oct/Nov,1772874.09
2021,3,Dec,3398590.61
2021,4,Jan,4066185.01
2021,5,Feb,5326330.02
2021,6,Mar,6693678.27
2021,7,Apr,8055818.43
2021,8,May,9538993.74
2021,9,Jun,10277661.37
2021,10,Jul,11999651.78
2021,11,Aug,14766220.94
2021,12,Sep,15615632.64
2020,7,Apr,4193522.05
2020,8,May,10376242.57
2020,9,Jun,11968954.35
2020,10,Jul,13211825.84
2020,11,Aug,15145664.03
2020,12,Sep,15861690.48
