submission_period,fiscal_year,fiscal_period,month_date,cumulative_outlay
FY2020P09,2020,9,2020-06-01,8577972.29
FY2020P10,2020,10,2020-07-01,11106657.05
FY2020P11,2020,11,2020-08-01,11106657.05
FY2020P12,2020,12,2020-09-01,11949192.29
FY2021P04,2021,4,2021-01-01,3044071.53
FY2021P05,2021,5,2021-02-01,4367883.22
FY2021P06,2021,6,2021-03-01,5570573.01
FY2021P07,2021,7,2021-04-01,6296579.01
FY2021P08,2021,8,2021-05-01,7225680.68
FY2021P09,2021,9,2021-06-01,8721875.76
FY2021P10,2021,10,2021-07-01,9285705.73
FY2021P11,2021,11,2021-08-01,11290439.66
FY2021P12,2021,12,2021-09-01,11290439.66
FY2022P02,2022,2,2021-11-01,3171800.4299999997
FY2022P03,2022,3,2021-12-01,3171800.4299999997
FY2022P04,2022,4,2022-01-01,3662966.15
FY2022P05,2022,5,2022-02-01,5315767.78
FY2022P06,2022,6,2022-03-01,5785964.49
FY2022P07,2022,7,2022-04-01,6477542.609999999
FY2022P08,2022,8,2022-05-01,8236842.74
FY2022P09,2022,9,2022-06-01,8651341.629999999
FY2022P10,2022,10,2022-07-01,9905864.719999999
FY2022P11,2022,11,2022-08-01,10220416.73
FY2022P12,2022,12,2022-09-01,12208064.07
FY2023P03,2023,3,2022-12-01,2152035.62
FY2023P04,2023,4,2023-01-01,2632451.0900000003
FY2023P05,2023,5,2023-02-01,3685729.43
FY2023P06,2023,6,2023-03-01,4361452.1
FY2023P07,2023,7,2023-04-01,6050914.8
FY2023P08,2023,8,2023-05-01,7235108.84
FY2023P09,2023,9,2023-06-01,8523075.41
FY2023P10,2023,10,2023-07-01,10133141.489999998
FY2023P11,2023,11,2023-08-01,11136248.48
FY2023P12,2023,12,2023-09-01,12579595.8
FY2024P02,2024,2,2023-11-01,2421281.6999999997
FY2024P03,2024,3,2023-12-01,3481404.0
FY2024P04,2024,4,2024-01-01,4285769.75
FY2024P05,2024,5,2024-02-01,5179464.1
FY2024P06,2024,6,2024-03-01,6892831.95
FY2024P07,2024,7,2024-04-01,7506808.75
FY2024P08,2024,8,2024-05-01,8826019.34
FY2024P09,2024,9,2024-06-01,10005620.23
FY2024P10,2024,10,2024-07-01,11215576.13
FY2024P11,2024,11,2024-08-01,12734926.99
FY2024P12,2024,12,2024-09-01,13475439.1
FY2025P02,2025,2,2024-11-01,3253556.2399999998
FY2025P03,2025,3,2024-12-01,4059594.84
FY2025P04,2025,4,2025-01-01,5052640.59
FY2025P05,2025,5,2025-02-01,6672280.15
FY2025P06,2025,6,2025-03-01,7917728.86
FY2025P07,2025,7,2025-04-01,8564276.86
FY2025P08,2025,8,2025-05-01,9966909.41
FY2025P09,2025,9,2025-06-01,11235375.92
FY2025P10,2025,10,2025-07-01,11978132.12
FY2025P11,2025,11,2025-08-01,14113743.52
FY2025P12,2025,12,2025-09-01,15069414.14
FY2026P02,2026,2,2025-11-01,2458375.66
FY2026P03,2026,3,2025-12-01,3094858.45
FY2026P04,2026,4,2026-01-01,3933645.24
FY2026P05,2026,5,2026-02-01,4727279.92
FY2026P06,2026,6,2026-03-01,5542639.609999999
FY2026P07,2026,7,2026-04-01,6276377.1899999995
