reporting_fiscal_year,reporting_fiscal_month,fiscal_month_abbr,transaction_obligated_amount,cumulative_obligations
2026,2,Oct/Nov,8373000.0,8373000.0
2026,3,Dec,0.0,8373000.0
2026,4,Jan,0.0,8373000.0
2026,5,Feb,600000.0,8973000.0
2025,2,Oct/Nov,5460489.0,5460489.0
2025,3,Dec,0.0,5460489.0
2025,4,Jan,7351512.0,12812001.0
2025,5,Feb,500000.0,13312001.0
2025,6,Mar,0.0,13312001.0
2025,7,Apr,4242334.0,17554335.0
2025,8,May,3243878.0,20798213.0
2025,9,Jun,0.0,20798213.0
2025,10,Jul,4722056.0,25520269.0
2025,11,Aug,0.0,25520269.0
2025,12,Sep,2500000.0,28020269.0
2024,2,Oct/Nov,7992000.0,7992000.0
2024,3,Dec,0.0,7992000.0
2024,4,Jan,0.0,7992000.0
2024,5,Feb,4845232.0,12837232.0
2024,6,Mar,0.0,12837232.0
2024,7,Apr,7200000.0,20037232.0
2024,8,May,0.0,20037232.0
2024,9,Jun,0.0,20037232.0
2024,10,Jul,4467355.61,24504587.61
2024,11,Aug,0.0,24504587.61
2024,12,Sep,0.0,24504587.61
2023,2,Oct/Nov,6932000.0,6932000.0
2023,3,Dec,0.0,6932000.0
2023,4,Jan,4227000.0,11159000.0
2023,5,Feb,0.0,11159000.0
2023,6,Mar,10686000.0,21845000.0
2023,7,Apr,0.0,21845000.0
2023,8,May,0.0,21845000.0
2023,9,Jun,3005885.0,24850885.0
2023,10,Jul,0.0,24850885.0
2023,11,Aug,0.0,24850885.0
2023,12,Sep,0.0,24850885.0
2022,2,Oct/Nov,3500000.0,3500000.0
2022,3,Dec,0.0,3500000.0
2022,4,Jan,6481209.0,9981209.0
2022,5,Feb,0.0,9981209.0
2022,6,Mar,0.0,9981209.0
2022,7,Apr,6939000.0,16920209.0
2022,8,May,0.0,16920209.0
2022,9,Jun,6882913.0,23803122.0
2022,10,Jul,0.0,23803122.0
2022,11,Aug,0.0,23803122.0
2022,12,Sep,0.0,23803122.0
2021,2,Oct/Nov,5080503.0,5080503.0
2021,3,Dec,850000.0,5930503.0
2021,4,Jan,2920000.0,8850503.0
2021,5,Feb,8800000.0,17650503.0
2021,6,Mar,0.0,17650503.0
2021,7,Apr,0.0,17650503.0
2021,8,May,0.0,17650503.0
2021,9,Jun,8271751.0,25922254.0
2021,10,Jul,0.0,25922254.0
2021,11,Aug,0.0,25922254.0
2021,12,Sep,1500000.0,27422254.0
2020,3,Dec,7034304.0,7034304.0
2020,6,Mar,13780000.0,20814304.0
2020,10,Jul,3000000.0,23814304.0
2020,11,Aug,2294938.0,26109242.0
2020,12,Sep,0.0,26109242.0
2019,3,Dec,10979280.06,10979280.06
2019,6,Mar,4850000.0,15829280.06
2019,9,Jun,12946874.0,28776154.06
2019,12,Sep,154999.0,28931153.06
2018,3,Dec,6260000.0,6260000.0
2018,6,Mar,6960000.0,13220000.0
2018,9,Jun,11822953.0,25042953.0
2018,12,Sep,0.0,25042953.0
2017,9,Jun,11651920.0,11651920.0
2017,12,Sep,104034.0,11755954.0
