submission_period,fiscal_year,fiscal_period,month_date,cumulative_outlay
FY2020P10,2020,10,2020-07-01,20527643.87
FY2020P11,2020,11,2020-08-01,23556055.11
FY2020P12,2020,12,2020-09-01,25965045.72
FY2021P02,2021,2,2020-11-01,6498876.02
FY2021P03,2021,3,2020-12-01,6397775.62
FY2021P04,2021,4,2021-01-01,8432043.49
FY2021P05,2021,5,2021-02-01,9583131.95
FY2021P06,2021,6,2021-03-01,12570490.39
FY2021P07,2021,7,2021-04-01,14014108.93
FY2021P08,2021,8,2021-05-01,16244720.61
FY2021P09,2021,9,2021-06-01,18629362.740000002
FY2021P10,2021,10,2021-07-01,20315764.189999998
FY2021P11,2021,11,2021-08-01,23200513.93
FY2021P12,2021,12,2021-09-01,25333853.259999998
FY2022P02,2022,2,2021-11-01,4652503.22
FY2022P03,2022,3,2021-12-01,6556259.41
FY2022P04,2022,4,2022-01-01,8427356.38
FY2022P05,2022,5,2022-02-01,9520751.83
FY2022P06,2022,6,2022-03-01,12239438.52
FY2022P07,2022,7,2022-04-01,13601872.61
FY2022P08,2022,8,2022-05-01,15669424.83
FY2022P09,2022,9,2022-06-01,17368299.28
FY2022P10,2022,10,2022-07-01,19808850.53
FY2022P11,2022,11,2022-08-01,22397437.59
FY2022P12,2022,12,2022-09-01,25319257.310000002
FY2023P02,2023,2,2022-11-01,3279429.8
FY2023P03,2023,3,2022-12-01,5416689.84
FY2023P04,2023,4,2023-01-01,8252158.6
FY2023P05,2023,5,2023-02-01,10278550.89
FY2023P06,2023,6,2023-03-01,12086374.8
FY2023P07,2023,7,2023-04-01,13956404.53
FY2023P08,2023,8,2023-05-01,16905475.88
FY2023P09,2023,9,2023-06-01,19633156.91
FY2023P10,2023,10,2023-07-01,20132829.97
FY2023P11,2023,11,2023-08-01,22904099.58
FY2023P12,2023,12,2023-09-01,24715435.75
FY2024P02,2024,2,2023-11-01,3358718.28
FY2024P03,2024,3,2023-12-01,4422907.42
FY2024P04,2024,4,2024-01-01,7351124.15
FY2024P05,2024,5,2024-02-01,10258716.3
FY2024P06,2024,6,2024-03-01,11448985.42
FY2024P07,2024,7,2024-04-01,13457636.79
FY2024P08,2024,8,2024-05-01,15427852.93
FY2024P09,2024,9,2024-06-01,17244926.84
FY2024P10,2024,10,2024-07-01,19665272.98
FY2024P11,2024,11,2024-08-01,22883874.16
FY2024P12,2024,12,2024-09-01,25021779.14
FY2025P02,2025,2,2024-11-01,3587070.13
FY2025P03,2025,3,2024-12-01,6154442.73
FY2025P04,2025,4,2025-01-01,8651325.54
FY2025P05,2025,5,2025-02-01,10602312.29
FY2025P06,2025,6,2025-03-01,12567876.82
FY2025P07,2025,7,2025-04-01,14454764.75
FY2025P08,2025,8,2025-05-01,16981368.27
FY2025P09,2025,9,2025-06-01,19282580.92
FY2025P10,2025,10,2025-07-01,20328233.75
FY2025P11,2025,11,2025-08-01,24116694.96
FY2025P12,2025,12,2025-09-01,27197525.21
FY2026P02,2026,2,2025-11-01,3287591.08
FY2026P03,2026,3,2025-12-01,5984733.38
FY2026P04,2026,4,2026-01-01,7305917.92
FY2026P05,2026,5,2026-02-01,9657469.52
FY2026P06,2026,6,2026-03-01,11676891.93
