reporting_fiscal_year,reporting_fiscal_month,fiscal_month_abbr,transaction_obligated_amount,cumulative_obligations
2026,2,Oct/Nov,0.0,0.0
2026,3,Dec,330650.0,330650.0
2026,4,Jan,540300.0,870950.0
2026,5,Feb,626700.0,1497650.0
2026,6,Mar,5100000.0,6597650.0
2026,7,Apr,1233475.0,7831125.0
2026,8,May,75000.0,7906125.0
2026,9,Jun,0.0,7906125.0
2025,2,Oct/Nov,578020.0,578020.0
2025,3,Dec,282000.0,860020.0
2025,4,Jan,619100.0,1479120.0
2025,5,Feb,2784900.0,4264020.0
2025,6,Mar,850000.0,5114020.0
2025,7,Apr,327000.0,5441020.0
2025,8,May,1887265.0,7328285.0
2025,9,Jun,650000.0,7978285.0
2025,10,Jul,833222.0,8811507.0
2025,11,Aug,0.0,8811507.0
2025,12,Sep,816878.0,9628385.0
2024,2,Oct/Nov,0.0,0.0
2024,3,Dec,0.0,0.0
2024,4,Jan,0.0,0.0
2024,5,Feb,575000.0,575000.0
2024,6,Mar,0.0,575000.0
2024,7,Apr,575000.0,1150000.0
2024,8,May,1515112.0,2665112.0
2024,9,Jun,0.0,2665112.0
2024,10,Jul,0.0,2665112.0
2024,11,Aug,1097941.0,3763053.0
2024,12,Sep,0.0,3763053.0
2023,2,Oct/Nov,74563.0,74563.0
2023,3,Dec,0.0,74563.0
2023,4,Jan,0.0,74563.0
2023,5,Feb,2855819.0,2930382.0
2023,6,Mar,0.0,2930382.0
2023,7,Apr,-111000.0,2819382.0
2023,8,May,369891.0,3189273.0
2023,9,Jun,0.0,3189273.0
2023,10,Jul,0.0,3189273.0
2023,11,Aug,209409.0,3398682.0
2023,12,Sep,0.0,3398682.0
2022,2,Oct/Nov,115017.0,115017.0
2022,3,Dec,0.0,115017.0
2022,4,Jan,1742515.0,1857532.0
2022,5,Feb,0.0,1857532.0
2022,6,Mar,0.0,1857532.0
2022,7,Apr,0.0,1857532.0
2022,8,May,362557.0,2220089.0
2022,9,Jun,1862684.0,4082773.0
2022,10,Jul,0.0,4082773.0
2022,11,Aug,0.0,4082773.0
2022,12,Sep,0.0,4082773.0
2021,2,Oct/Nov,2390000.0,2390000.0
2021,3,Dec,0.0,2390000.0
2021,4,Jan,0.0,2390000.0
2021,5,Feb,4391908.0,6781908.0
2021,6,Mar,0.0,6781908.0
2021,7,Apr,0.0,6781908.0
2021,8,May,0.0,6781908.0
2021,9,Jun,-102342.0,6679566.0
2021,10,Jul,0.0,6679566.0
2021,11,Aug,0.0,6679566.0
2021,12,Sep,0.0,6679566.0
2020,3,Dec,1331973.0,1331973.0
2020,6,Mar,5750386.0,7082359.0
2019,3,Dec,3096485.18,3096485.18
2019,6,Mar,1778172.0,4874657.18
2019,9,Jun,1819550.0,6694207.18
2019,12,Sep,250000.0,6944207.18
2018,6,Mar,510000.0,510000.0
2018,9,Jun,3865561.0,4375561.0
2018,12,Sep,167070.88,4542631.88
2017,6,Mar,4561064.0,4561064.0
2017,9,Jun,5417679.0,9978743.0
2017,12,Sep,794524.0,10773267.0
