submission_period,fiscal_year,fiscal_period,month_date,cumulative_outlay
FY2021P02,2021,2,2020-11-01,3311117.76
FY2021P03,2021,3,2020-12-01,1968809.9
FY2021P04,2021,4,2021-01-01,2326834.53
FY2021P05,2021,5,2021-02-01,3018234.48
FY2021P06,2021,6,2021-03-01,3505076.6300000004
FY2021P07,2021,7,2021-04-01,3857157.38
FY2021P08,2021,8,2021-05-01,4291586.6
FY2021P09,2021,9,2021-06-01,4701976.01
FY2021P10,2021,10,2021-07-01,4731990.33
FY2021P11,2021,11,2021-08-01,5623452.5200000005
FY2021P12,2021,12,2021-09-01,6086988.35
FY2022P02,2022,2,2021-11-01,44742.6
FY2022P03,2022,3,2021-12-01,75620.29
FY2022P04,2022,4,2022-01-01,1767001.4
FY2022P05,2022,5,2022-02-01,2067581.52
FY2022P06,2022,6,2022-03-01,2786597.86
FY2022P07,2022,7,2022-04-01,3147578.08
FY2022P08,2022,8,2022-05-01,3165037.7199999997
FY2022P09,2022,9,2022-06-01,3815695.87
FY2022P10,2022,10,2022-07-01,4169270.07
FY2022P11,2022,11,2022-08-01,4451389.319999999
FY2022P12,2022,12,2022-09-01,4878227.470000001
FY2023P02,2023,2,2022-11-01,34314.04
FY2023P03,2023,3,2022-12-01,1475644.59
FY2023P04,2023,4,2023-01-01,1505576.29
FY2023P05,2023,5,2023-02-01,1845255.4700000002
FY2023P06,2023,6,2023-03-01,2599216.3700000006
FY2023P07,2023,7,2023-04-01,2990788.0200000005
FY2023P08,2023,8,2023-05-01,3362458.4699999997
FY2023P09,2023,9,2023-06-01,3782147.18
FY2023P10,2023,10,2023-07-01,4167041.0100000002
FY2023P11,2023,11,2023-08-01,4526310.33
FY2023P12,2023,12,2023-09-01,4576545.84
FY2024P02,2024,2,2023-11-01,1497875.51
FY2024P03,2024,3,2023-12-01,1705359.23
FY2024P04,2024,4,2024-01-01,1741727.32
FY2024P05,2024,5,2024-02-01,2048091.37
FY2024P06,2024,6,2024-03-01,2344913.4
FY2024P07,2024,7,2024-04-01,2807225.0
FY2024P08,2024,8,2024-05-01,3458547.7
FY2024P09,2024,9,2024-06-01,3842020.17
FY2024P10,2024,10,2024-07-01,3869890.92
FY2024P11,2024,11,2024-08-01,4748071.2
FY2024P12,2024,12,2024-09-01,5489666.77
FY2025P02,2025,2,2024-11-01,413826.75
FY2025P03,2025,3,2024-12-01,708680.0800000001
FY2025P04,2025,4,2025-01-01,1172800.86
FY2025P05,2025,5,2025-02-01,1779327.14
FY2025P06,2025,6,2025-03-01,2869353.29
FY2025P07,2025,7,2025-04-01,3735290.57
FY2025P08,2025,8,2025-05-01,4625895.78
FY2025P09,2025,9,2025-06-01,6389721.18
FY2025P10,2025,10,2025-07-01,6378903.73
FY2025P11,2025,11,2025-08-01,7571153.33
FY2025P12,2025,12,2025-09-01,8432165.1
FY2026P02,2026,2,2025-11-01,1463161.82
FY2026P03,2026,3,2025-12-01,1949708.53
FY2026P04,2026,4,2026-01-01,2608209.0500000003
FY2026P05,2026,5,2026-02-01,3116984.5
