fiscal_year,fiscal_period,fiscal_period_abbr,cumulative_outlay
2026,2,Oct/Nov,1463161.82
2026,3,Dec,1949708.53
2025,2,Oct/Nov,413826.75
2025,3,Dec,708680.08
2025,4,Jan,1172800.86
2025,5,Feb,1779327.14
2025,6,Mar,2869353.29
2025,7,Apr,3735290.57
2025,8,May,4625895.78
2025,9,Jun,6389721.18
2025,10,Jul,6378903.73
2025,11,Aug,7571153.33
2025,12,Sep,8432165.1
2024,2,Oct/Nov,1497875.51
2024,3,Dec,1705359.23
2024,4,Jan,1741727.32
2024,5,Feb,2048091.37
2024,6,Mar,2344913.4
2024,7,Apr,2807225.0
2024,8,May,3458547.7
2024,9,Jun,3842020.17
2024,10,Jul,3869890.92
2024,11,Aug,4748071.2
2024,12,Sep,5489666.77
2023,2,Oct/Nov,34314.04
2023,3,Dec,1475644.59
2023,4,Jan,1505576.29
2023,5,Feb,1845255.47
2023,6,Mar,2599216.37
2023,7,Apr,2990788.02
2023,8,May,3362458.47
2023,9,Jun,3782147.18
2023,10,Jul,4167041.01
2023,11,Aug,4526310.33
2023,12,Sep,4576545.84
2022,2,Oct/Nov,44742.6
2022,3,Dec,75620.29
2022,4,Jan,1767001.4
2022,5,Feb,2067581.52
2022,6,Mar,2786597.86
2022,7,Apr,3147578.08
2022,8,May,3165037.72
2022,9,Jun,3815695.87
2022,10,Jul,4169270.07
2022,11,Aug,4451389.32
2022,12,Sep,4878227.47
2021,2,Oct/Nov,3311117.76
2021,3,Dec,1968809.9
2021,4,Jan,2326834.53
2021,5,Feb,3018234.48
2021,6,Mar,3505076.63
2021,7,Apr,3857157.38
2021,8,May,4291586.6
2021,9,Jun,4701976.01
2021,10,Jul,4731990.33
2021,11,Aug,5623452.52
2021,12,Sep,6086988.35
