submission_period,fiscal_year,fiscal_period,month_date,cumulative_outlay
FY2021P02,2021,2,2020-11-01,1926387.27
FY2021P03,2021,3,2020-12-01,2035104.22
FY2021P04,2021,4,2021-01-01,2494025.78
FY2021P05,2021,5,2021-02-01,3023751.82
FY2021P06,2021,6,2021-03-01,3724017.34
FY2021P07,2021,7,2021-04-01,4315766.04
FY2021P08,2021,8,2021-05-01,4964483.6
FY2021P09,2021,9,2021-06-01,5731115.66
FY2021P10,2021,10,2021-07-01,6708117.01
FY2021P11,2021,11,2021-08-01,8087620.58
FY2021P12,2021,12,2021-09-01,9184613.43
FY2022P02,2022,2,2021-11-01,1612464.52
FY2022P03,2022,3,2021-12-01,2540642.29
FY2022P04,2022,4,2022-01-01,3342131.35
FY2022P05,2022,5,2022-02-01,4149621.81
FY2022P06,2022,6,2022-03-01,5352176.59
FY2022P07,2022,7,2022-04-01,6355201.01
FY2022P08,2022,8,2022-05-01,7021378.55
FY2022P09,2022,9,2022-06-01,7818071.3
FY2022P10,2022,10,2022-07-01,8778676.39
FY2022P11,2022,11,2022-08-01,10058081.67
FY2022P12,2022,12,2022-09-01,11004558.280000001
FY2023P02,2023,2,2022-11-01,1541549.31
FY2023P03,2023,3,2022-12-01,2135012.5
FY2023P04,2023,4,2023-01-01,3533128.71
FY2023P05,2023,5,2023-02-01,4141959.86
FY2023P06,2023,6,2023-03-01,5068407.83
FY2023P07,2023,7,2023-04-01,5664786.859999999
FY2023P08,2023,8,2023-05-01,6325041.039999999
FY2023P09,2023,9,2023-06-01,7502439.89
FY2023P10,2023,10,2023-07-01,8166206.56
FY2023P11,2023,11,2023-08-01,8833793.77
FY2023P12,2023,12,2023-09-01,10296532.28
FY2024P02,2024,2,2023-11-01,1805292.9
FY2024P03,2024,3,2023-12-01,2347816.74
FY2024P04,2024,4,2024-01-01,3154256.23
FY2024P05,2024,5,2024-02-01,3805441.9499999997
FY2024P06,2024,6,2024-03-01,4589571.06
FY2024P07,2024,7,2024-04-01,5541026.25
FY2024P08,2024,8,2024-05-01,6235307.6899999995
FY2024P09,2024,9,2024-06-01,6911731.21
FY2024P10,2024,10,2024-07-01,7882425.14
FY2024P11,2024,11,2024-08-01,8546187.21
FY2024P12,2024,12,2024-09-01,9271018.57
FY2025P02,2025,2,2024-11-01,1328568.44
FY2025P03,2025,3,2024-12-01,2403084.24
FY2025P04,2025,4,2025-01-01,3254265.0
FY2025P05,2025,5,2025-02-01,4011873.5199999996
FY2025P06,2025,6,2025-03-01,4740043.7299999995
FY2025P07,2025,7,2025-04-01,5501715.529999999
FY2025P08,2025,8,2025-05-01,6518579.71
FY2025P09,2025,9,2025-06-01,7265141.82
FY2025P10,2025,10,2025-07-01,7551088.5
FY2025P11,2025,11,2025-08-01,8825991.8
FY2025P12,2025,12,2025-09-01,9535958.98
FY2026P02,2026,2,2025-11-01,1586980.5
FY2026P03,2026,3,2025-12-01,2340761.79
FY2026P04,2026,4,2026-01-01,3012275.37
FY2026P05,2026,5,2026-02-01,3725825.69
FY2026P06,2026,6,2026-03-01,4361763.4399999995
FY2026P07,2026,7,2026-04-01,4694933.15
FY2026P08,2026,8,2026-05-01,4694933.15
FY2026P09,2026,9,2026-06-01,4694933.15
