fiscal_year,fiscal_period,fiscal_period_abbr,cumulative_outlay
2026,2,Oct/Nov,1586980.5
2026,3,Dec,2340761.79
2026,4,Jan,3012275.37
2026,5,Feb,3725825.69
2026,6,Mar,4361763.44
2026,7,Apr,4694933.15
2025,2,Oct/Nov,1328568.44
2025,3,Dec,2403084.24
2025,4,Jan,3254265.0
2025,5,Feb,4011873.52
2025,6,Mar,4740043.73
2025,7,Apr,5501715.53
2025,8,May,6518579.71
2025,9,Jun,7265141.82
2025,10,Jul,7551088.5
2025,11,Aug,8825991.8
2025,12,Sep,9535958.98
2024,2,Oct/Nov,1805292.9
2024,3,Dec,2347816.74
2024,4,Jan,3154256.23
2024,5,Feb,3805441.95
2024,6,Mar,4589571.06
2024,7,Apr,5541026.25
2024,8,May,6235307.69
2024,9,Jun,6911731.21
2024,10,Jul,7882425.14
2024,11,Aug,8546187.21
2024,12,Sep,9271018.57
2023,2,Oct/Nov,1541549.31
2023,3,Dec,2135012.5
2023,4,Jan,3533128.71
2023,5,Feb,4141959.86
2023,6,Mar,5068407.83
2023,7,Apr,5664786.86
2023,8,May,6325041.04
2023,9,Jun,7502439.89
2023,10,Jul,8166206.56
2023,11,Aug,8833793.77
2023,12,Sep,10296532.28
2022,2,Oct/Nov,1612464.52
2022,3,Dec,2540642.29
2022,4,Jan,3342131.35
2022,5,Feb,4149621.81
2022,6,Mar,5352176.59
2022,7,Apr,6355201.01
2022,8,May,7021378.55
2022,9,Jun,7818071.3
2022,10,Jul,8778676.39
2022,11,Aug,10058081.67
2022,12,Sep,11004558.28
2021,2,Oct/Nov,1926387.27
2021,3,Dec,2035104.22
2021,4,Jan,2494025.78
2021,5,Feb,3023751.82
2021,6,Mar,3724017.34
2021,7,Apr,4315766.04
2021,8,May,4964483.6
2021,9,Jun,5731115.66
2021,10,Jul,6708117.01
2021,11,Aug,8087620.58
2021,12,Sep,9184613.43
