submission_period,fiscal_year,fiscal_period,month_date,cumulative_outlay
FY2020P11,2020,11,2020-08-01,10169077.59
FY2020P12,2020,12,2020-09-01,11053019.24
FY2021P02,2021,2,2020-11-01,3129348.81
FY2021P03,2021,3,2020-12-01,2944142.4
FY2021P04,2021,4,2021-01-01,3927538.48
FY2021P05,2021,5,2021-02-01,4606386.69
FY2021P06,2021,6,2021-03-01,5690302.85
FY2021P07,2021,7,2021-04-01,6484019.49
FY2021P08,2021,8,2021-05-01,7370732.29
FY2021P09,2021,9,2021-06-01,8172562.17
FY2021P10,2021,10,2021-07-01,8998478.82
FY2021P11,2021,11,2021-08-01,10344147.870000001
FY2021P12,2021,12,2021-09-01,11121026.45
FY2022P02,2022,2,2021-11-01,1860469.83
FY2022P03,2022,3,2021-12-01,2601534.98
FY2022P04,2022,4,2022-01-01,4056304.29
FY2022P05,2022,5,2022-02-01,4514994.11
FY2022P06,2022,6,2022-03-01,5559284.88
FY2022P07,2022,7,2022-04-01,6072567.18
FY2022P08,2022,8,2022-05-01,7237002.75
FY2022P09,2022,9,2022-06-01,7672606.3
FY2022P10,2022,10,2022-07-01,8899118.58
FY2022P11,2022,11,2022-08-01,9873643.82
FY2022P12,2022,12,2022-09-01,11034420.09
FY2023P02,2023,2,2022-11-01,1301787.28
FY2023P03,2023,3,2022-12-01,2174963.99
FY2023P04,2023,4,2023-01-01,3439951.68
FY2023P05,2023,5,2023-02-01,4437933.31
FY2023P06,2023,6,2023-03-01,5172210.08
FY2023P07,2023,7,2023-04-01,5975626.74
FY2023P08,2023,8,2023-05-01,7135189.05
FY2023P09,2023,9,2023-06-01,8720145.43
FY2023P10,2023,10,2023-07-01,8735624.43
FY2023P11,2023,11,2023-08-01,10219381.68
FY2023P12,2023,12,2023-09-01,11025163.2
FY2024P02,2024,2,2023-11-01,1415882.59
FY2024P03,2024,3,2023-12-01,2157261.01
FY2024P04,2024,4,2024-01-01,3368313.86
FY2024P05,2024,5,2024-02-01,4509941.52
FY2024P06,2024,6,2024-03-01,5036043.27
FY2024P07,2024,7,2024-04-01,5820162.36
FY2024P08,2024,8,2024-05-01,6692298.6
FY2024P09,2024,9,2024-06-01,7522311.74
FY2024P10,2024,10,2024-07-01,8512448.66
FY2024P11,2024,11,2024-08-01,9940404.01
FY2024P12,2024,12,2024-09-01,10692731.65
FY2025P02,2025,2,2024-11-01,1634050.68
FY2025P03,2025,3,2024-12-01,2683828.46
FY2025P04,2025,4,2025-01-01,3783739.6900000004
FY2025P05,2025,5,2025-02-01,4674126.79
FY2025P06,2025,6,2025-03-01,5580718.54
FY2025P07,2025,7,2025-04-01,6410440.220000001
FY2025P08,2025,8,2025-05-01,7643020.61
FY2025P09,2025,9,2025-06-01,8367040.2
FY2025P10,2025,10,2025-07-01,8846827.8
FY2025P11,2025,11,2025-08-01,10139988.23
FY2025P12,2025,12,2025-09-01,11657552.99
