submission_period,fiscal_year,fiscal_period,month_date,cumulative_outlay
FY2020P09,2020,9,2020-06-01,2447259.0
FY2020P10,2020,10,2020-07-01,14352887.94
FY2020P11,2020,11,2020-08-01,15984864.3
FY2020P12,2020,12,2020-09-01,17946991.380000003
FY2021P02,2021,2,2020-11-01,4587063.4
FY2021P03,2021,3,2020-12-01,4783291.74
FY2021P04,2021,4,2021-01-01,5280766.13
FY2021P05,2021,5,2021-02-01,5558967.29
FY2021P06,2021,6,2021-03-01,7219791.55
FY2021P07,2021,7,2021-04-01,8090314.75
FY2021P08,2021,8,2021-05-01,8942739.31
FY2021P09,2021,9,2021-06-01,9608517.57
FY2021P10,2021,10,2021-07-01,10270849.41
FY2021P11,2021,11,2021-08-01,10986046.19
FY2021P12,2021,12,2021-09-01,11507191.31
FY2022P02,2022,2,2021-11-01,1244333.77
FY2022P03,2022,3,2021-12-01,1801887.33
FY2022P04,2022,4,2022-01-01,2411468.31
FY2022P05,2022,5,2022-02-01,2835283.92
FY2022P06,2022,6,2022-03-01,3799862.1
FY2022P07,2022,7,2022-04-01,4317227.640000001
FY2022P08,2022,8,2022-05-01,4696365.26
FY2022P09,2022,9,2022-06-01,5859213.32
FY2022P10,2022,10,2022-07-01,6471519.03
FY2022P11,2022,11,2022-08-01,7180353.0200000005
FY2022P12,2022,12,2022-09-01,8188228.51
FY2023P02,2023,2,2022-11-01,1823673.37
FY2023P03,2023,3,2022-12-01,2596983.0700000003
FY2023P04,2023,4,2023-01-01,3086354.02
FY2023P05,2023,5,2023-02-01,4153095.04
FY2023P06,2023,6,2023-03-01,5530695.5
FY2023P07,2023,7,2023-04-01,6234771.91
FY2023P08,2023,8,2023-05-01,8227293.22
FY2023P09,2023,9,2023-06-01,9690101.15
FY2023P10,2023,10,2023-07-01,11081396.08
FY2023P11,2023,11,2023-08-01,12299296.57
FY2023P12,2023,12,2023-09-01,14278467.89
FY2024P02,2024,2,2023-11-01,3076142.03
FY2024P03,2024,3,2023-12-01,3793218.14
FY2024P04,2024,4,2024-01-01,4308831.859999999
FY2024P05,2024,5,2024-02-01,4928417.15
FY2024P06,2024,6,2024-03-01,7447686.39
FY2024P07,2024,7,2024-04-01,8898158.22
FY2024P08,2024,8,2024-05-01,9495402.629999999
FY2024P09,2024,9,2024-06-01,10449902.04
FY2024P10,2024,10,2024-07-01,11099805.3
FY2024P11,2024,11,2024-08-01,12022628.1
FY2024P12,2024,12,2024-09-01,12689354.31
FY2025P02,2025,2,2024-11-01,838315.4
FY2025P03,2025,3,2024-12-01,1640177.0399999998
FY2025P04,2025,4,2025-01-01,2072199.92
FY2025P05,2025,5,2025-02-01,3054598.92
FY2025P06,2025,6,2025-03-01,3542486.04
FY2025P07,2025,7,2025-04-01,4300066.34
FY2025P08,2025,8,2025-05-01,5072222.2700000005
FY2025P09,2025,9,2025-06-01,5602494.73
FY2025P10,2025,10,2025-07-01,6331103.84
FY2025P11,2025,11,2025-08-01,7340758.09
FY2025P12,2025,12,2025-09-01,8297144.49
FY2026P02,2026,2,2025-11-01,1412254.66
FY2026P03,2026,3,2025-12-01,2668500.2800000003
FY2026P04,2026,4,2026-01-01,3032580.36
FY2026P05,2026,5,2026-02-01,3919953.25
FY2026P06,2026,6,2026-03-01,4838180.65
