submission_period,fiscal_year,fiscal_period,month_date,cumulative_outlay
FY2020P07,2020,7,2020-04-01,108656412.58999999
FY2020P08,2020,8,2020-05-01,158743095.96999997
FY2020P09,2020,9,2020-06-01,147287589.87
FY2020P10,2020,10,2020-07-01,178321256.84
FY2020P11,2020,11,2020-08-01,195704938.23000002
FY2020P12,2020,12,2020-09-01,220813650.08999997
FY2021P02,2021,2,2020-11-01,47226721.76
FY2021P03,2021,3,2020-12-01,45053623.15
FY2021P04,2021,4,2021-01-01,56308340.2
FY2021P05,2021,5,2021-02-01,104328894.7
FY2021P06,2021,6,2021-03-01,131614647.42999999
FY2021P07,2021,7,2021-04-01,148516040.5
FY2021P08,2021,8,2021-05-01,170361123.5
FY2021P09,2021,9,2021-06-01,190433413.82
FY2021P10,2021,10,2021-07-01,214619146.25
FY2021P11,2021,11,2021-08-01,239924606.55
FY2021P12,2021,12,2021-09-01,264291874.86
FY2022P02,2022,2,2021-11-01,47905204.39
FY2022P03,2022,3,2021-12-01,65515655.300000004
FY2022P04,2022,4,2022-01-01,79219944.78
FY2022P05,2022,5,2022-02-01,106653620.89
FY2022P06,2022,6,2022-03-01,130577928.60000001
FY2022P07,2022,7,2022-04-01,149982700.65
FY2022P08,2022,8,2022-05-01,174855068.8
FY2022P09,2022,9,2022-06-01,200555561.4
FY2022P10,2022,10,2022-07-01,221576831.46
FY2022P11,2022,11,2022-08-01,244387371.23
FY2022P12,2022,12,2022-09-01,263288679.29999998
FY2023P02,2023,2,2022-11-01,15135993.64
FY2023P03,2023,3,2022-12-01,36066426.379999995
FY2023P04,2023,4,2023-01-01,47822806.89
FY2023P05,2023,5,2023-02-01,81894619.09
FY2023P06,2023,6,2023-03-01,98849933.6
FY2023P07,2023,7,2023-04-01,111967740.11
FY2023P08,2023,8,2023-05-01,135709791.35999998
FY2023P09,2023,9,2023-06-01,150072894.26
FY2023P10,2023,10,2023-07-01,162650601.16
FY2023P11,2023,11,2023-08-01,180372208.91
FY2023P12,2023,12,2023-09-01,193705999.67
FY2024P02,2024,2,2023-11-01,27469547.98
FY2024P03,2024,3,2023-12-01,40763222.91
FY2024P04,2024,4,2024-01-01,54368310.5
FY2024P05,2024,5,2024-02-01,68465582.5
FY2024P06,2024,6,2024-03-01,85228165.12
FY2024P07,2024,7,2024-04-01,101731692.9
FY2024P08,2024,8,2024-05-01,116164016.94999999
FY2024P09,2024,9,2024-06-01,133924536.98
FY2024P10,2024,10,2024-07-01,143065576.70000002
FY2024P11,2024,11,2024-08-01,157298665.29
FY2024P12,2024,12,2024-09-01,168826967.57
FY2025P02,2025,2,2024-11-01,16124248.72
FY2025P03,2025,3,2024-12-01,26933650.2
FY2025P04,2025,4,2025-01-01,30172481.669999998
FY2025P05,2025,5,2025-02-01,36992605.36
FY2025P06,2025,6,2025-03-01,42355934.39
FY2025P07,2025,7,2025-04-01,48151830.93
FY2025P08,2025,8,2025-05-01,52916368.55
FY2025P09,2025,9,2025-06-01,59807462.83
FY2025P10,2025,10,2025-07-01,62445400.77
FY2025P11,2025,11,2025-08-01,72985030.27
FY2025P12,2025,12,2025-09-01,79389712.85
