fiscal_year,fiscal_period,fiscal_period_abbr,monthly_outlay,cumulative_outlay
2025,2,Oct/Nov,12057601.81,12057601.81
2025,3,Dec,8701899.56,20759501.37
2025,4,Jan,4506656.15,25266157.52
2025,5,Feb,4815014.55,30081172.07
2025,6,Mar,12274762.32,42355934.39
2025,7,Apr,5795896.54,48151830.93
2025,8,May,-27391340.6,20760490.33
2025,9,Jun,24989845.46,45750335.79
2025,10,Jul,16695064.98,62445400.77
2025,11,Aug,-10908320.59,51537080.18
2024,2,Oct/Nov,9936806.16,9936806.16
2024,3,Dec,15716769.67,25653575.83
2024,4,Jan,14438667.86,40092243.69
2024,5,Feb,28188140.87,68280384.56
2024,6,Mar,9761417.68,78041802.24
2024,7,Apr,13913515.12,91955317.36
2024,8,May,5598578.64,97553896.0
2024,9,Jun,11285536.09,108839432.09
2024,10,Jul,26037860.28,134877292.37
2024,11,Aug,-2597638.35,132279654.02
2024,12,Sep,12965492.6,145245146.62
2023,2,Oct/Nov,15135993.64,15135993.64
2023,3,Dec,20930432.74,36066426.38
2023,4,Jan,-6654238.43,29412187.95
2023,5,Feb,52482431.14,81894619.09
2023,6,Mar,11471138.25,93365757.34
2023,7,Apr,9718257.0,103084014.34
2023,8,May,-22806001.85,80278012.49
2023,9,Jun,61339630.23,141617642.72
2023,10,Jul,-31106307.28,110511335.44
2023,11,Aug,65122697.8,175634033.24
2023,12,Sep,-28117272.65,147516760.59
2022,2,Oct/Nov,47905204.39,47905204.39
2022,3,Dec,17610450.91,65515655.3
2022,4,Jan,11945371.69,77461026.99
2022,5,Feb,-4168415.4,73292611.59
2022,6,Mar,39097618.66,112390230.25
2022,7,Apr,-16532120.74,95858109.51
2022,8,May,41474171.3,137332280.81
2022,9,Jun,14302535.58,151634816.39
2022,10,Jul,16721609.18,168356425.57
2022,11,Aug,9089123.4,177445548.97
2022,12,Sep,31992327.26,209437876.23
2021,2,Oct/Nov,15821956.06,15821956.06
2021,3,Dec,29231667.09,45053623.15
2021,4,Jan,11254717.05,56308340.2
2021,5,Feb,48020554.5,104328894.7
2021,6,Mar,27285752.73,131614647.43
2021,7,Apr,16901393.07,148516040.5
2021,8,May,21845083.0,170361123.5
2021,9,Jun,-24667162.54,145693960.96
2021,10,Jul,24342533.96,170036494.92
2021,11,Aug,-9291013.46,160745481.46
2021,12,Sep,12363499.13,173108980.59
2020,7,Apr,20660298.41,20660298.41
2020,8,May,114689994.77,135350293.18
2020,9,Jun,11937296.69,147287589.87
2020,10,Jul,-1681986.23,145605603.64
2020,11,Aug,50099334.59,195704938.23
2020,12,Sep,23793998.86,219498937.09
