submission_period,fiscal_year,fiscal_period,month_date,cumulative_outlay
FY2020P08,2020,8,2020-05-01,104899.71
FY2020P09,2020,9,2020-06-01,104899.71
FY2020P10,2020,10,2020-07-01,104899.71
FY2020P11,2020,11,2020-08-01,104899.71
FY2020P12,2020,12,2020-09-01,104899.71
FY2024P02,2024,2,2023-11-01,9715.73
FY2024P03,2024,3,2023-12-01,9715.73
FY2024P04,2024,4,2024-01-01,9715.73
FY2024P05,2024,5,2024-02-01,9715.73
FY2024P06,2024,6,2024-03-01,9715.73
FY2024P07,2024,7,2024-04-01,9715.73
FY2024P08,2024,8,2024-05-01,9715.73
FY2024P09,2024,9,2024-06-01,9715.73
FY2024P10,2024,10,2024-07-01,9715.73
FY2024P11,2024,11,2024-08-01,9715.73
FY2024P12,2024,12,2024-09-01,9715.73
