award_id,reporting_fiscal_year,reporting_fiscal_month,gross_outlay_amount,transaction_obligated_amount,is_quarterly_submission,federal_account,account_title,recipient_name,recipient_id,award_description,award_usaspending_url
80MSFC20F0178,2026,8,221567.02,0.0,False,080-0120,"Science, National Aeronautics and Space Administration",The Johns Hopkins University Applied Physics Laboratory LLC,4eae43e5-e1f1-0e77-b2fe-09a12a9a552c-C,Thermosphere Ionosphere Mesosphere Energetics and Dynamics (TIMED) mission phase E (follow on from ardes i basic nnn06aa01c task order nnn13aa06c),https://www.usaspending.gov/award/CONT_AWD_80MSFC20F0178_8000_80MSFC20D0004_8000/
80MSFC20F0178,2026,8,687622.96,0.0,False,080-0120,"Science, National Aeronautics and Space Administration",The Johns Hopkins University Applied Physics Laboratory LLC,4eae43e5-e1f1-0e77-b2fe-09a12a9a552c-C,Thermosphere Ionosphere Mesosphere Energetics and Dynamics (TIMED) mission phase E (follow on from ardes i basic nnn06aa01c task order nnn13aa06c),https://www.usaspending.gov/award/CONT_AWD_80MSFC20F0178_8000_80MSFC20D0004_8000/
80MSFC20F0178,2026,7,0.0,1077000.00,False,080-0120,"Science, National Aeronautics and Space Administration",The Johns Hopkins University Applied Physics Laboratory LLC,4eae43e5-e1f1-0e77-b2fe-09a12a9a552c-C,Thermosphere Ionosphere Mesosphere Energetics and Dynamics (TIMED) mission phase E (follow on from ardes i basic nnn06aa01c task order nnn13aa06c),https://www.usaspending.gov/award/CONT_AWD_80MSFC20F0178_8000_80MSFC20D0004_8000/
80MSFC20F0178,2026,7,64961.77,0.0,False,080-0120,"Science, National Aeronautics and Space Administration",The Johns Hopkins University Applied Physics Laboratory LLC,4eae43e5-e1f1-0e77-b2fe-09a12a9a552c-C,Thermosphere Ionosphere Mesosphere Energetics and Dynamics (TIMED) mission phase E (follow on from ardes i basic nnn06aa01c task order nnn13aa06c),https://www.usaspending.gov/award/CONT_AWD_80MSFC20F0178_8000_80MSFC20D0004_8000/
80MSFC20F0178,2026,7,687622.96,0.0,False,080-0120,"Science, National Aeronautics and Space Administration",The Johns Hopkins University Applied Physics Laboratory LLC,4eae43e5-e1f1-0e77-b2fe-09a12a9a552c-C,Thermosphere Ionosphere Mesosphere Energetics and Dynamics (TIMED) mission phase E (follow on from ardes i basic nnn06aa01c task order nnn13aa06c),https://www.usaspending.gov/award/CONT_AWD_80MSFC20F0178_8000_80MSFC20D0004_8000/
80MSFC20F0178,2026,6,640234.01,0.0,False,080-0120,"Science, National Aeronautics and Space Administration",The Johns Hopkins University Applied Physics Laboratory LLC,4eae43e5-e1f1-0e77-b2fe-09a12a9a552c-C,Thermosphere Ionosphere Mesosphere Energetics and Dynamics (TIMED) mission phase E (follow on from ardes i basic nnn06aa01c task order nnn13aa06c),https://www.usaspending.gov/award/CONT_AWD_80MSFC20F0178_8000_80MSFC20D0004_8000/
80MSFC20F0178,2026,5,538245.92,0.0,False,080-0120,"Science, National Aeronautics and Space Administration",The Johns Hopkins University Applied Physics Laboratory LLC,4eae43e5-e1f1-0e77-b2fe-09a12a9a552c-C,Thermosphere Ionosphere Mesosphere Energetics and Dynamics (TIMED) mission phase E (follow on from ardes i basic nnn06aa01c task order nnn13aa06c),https://www.usaspending.gov/award/CONT_AWD_80MSFC20F0178_8000_80MSFC20D0004_8000/
80MSFC20F0178,2026,4,407377.33,0.0,False,080-0120,"Science, National Aeronautics and Space Administration",The Johns Hopkins University Applied Physics Laboratory LLC,4eae43e5-e1f1-0e77-b2fe-09a12a9a552c-C,Thermosphere Ionosphere Mesosphere Energetics and Dynamics (TIMED) mission phase E (follow on from ardes i basic nnn06aa01c task order nnn13aa06c),https://www.usaspending.gov/award/CONT_AWD_80MSFC20F0178_8000_80MSFC20D0004_8000/
80MSFC20F0178,2026,3,0.0,300000.00,False,080-0120,"Science, National Aeronautics and Space Administration",The Johns Hopkins University Applied Physics Laboratory LLC,4eae43e5-e1f1-0e77-b2fe-09a12a9a552c-C,Thermosphere Ionosphere Mesosphere Energetics and Dynamics (TIMED) mission phase E (follow on from ardes i basic nnn06aa01c task order nnn13aa06c),https://www.usaspending.gov/award/CONT_AWD_80MSFC20F0178_8000_80MSFC20D0004_8000/
80MSFC20F0178,2026,3,322126.32,0.0,False,080-0120,"Science, National Aeronautics and Space Administration",The Johns Hopkins University Applied Physics Laboratory LLC,4eae43e5-e1f1-0e77-b2fe-09a12a9a552c-C,Thermosphere Ionosphere Mesosphere Energetics and Dynamics (TIMED) mission phase E (follow on from ardes i basic nnn06aa01c task order nnn13aa06c),https://www.usaspending.gov/award/CONT_AWD_80MSFC20F0178_8000_80MSFC20D0004_8000/
80MSFC20F0178,2026,2,220013.16,0.0,False,080-0120,"Science, National Aeronautics and Space Administration",The Johns Hopkins University Applied Physics Laboratory LLC,4eae43e5-e1f1-0e77-b2fe-09a12a9a552c-C,Thermosphere Ionosphere Mesosphere Energetics and Dynamics (TIMED) mission phase E (follow on from ardes i basic nnn06aa01c task order nnn13aa06c),https://www.usaspending.gov/award/CONT_AWD_80MSFC20F0178_8000_80MSFC20D0004_8000/
80MSFC20F0178,2025,12,0.0,390000.00,False,080-0120,"Science, National Aeronautics and Space Administration",The Johns Hopkins University Applied Physics Laboratory LLC,4eae43e5-e1f1-0e77-b2fe-09a12a9a552c-C,Thermosphere Ionosphere Mesosphere Energetics and Dynamics (TIMED) mission phase E (follow on from ardes i basic nnn06aa01c task order nnn13aa06c),https://www.usaspending.gov/award/CONT_AWD_80MSFC20F0178_8000_80MSFC20D0004_8000/
80MSFC20F0178,2025,12,422347.85,0.0,False,080-0120,"Science, National Aeronautics and Space Administration",The Johns Hopkins University Applied Physics Laboratory LLC,4eae43e5-e1f1-0e77-b2fe-09a12a9a552c-C,Thermosphere Ionosphere Mesosphere Energetics and Dynamics (TIMED) mission phase E (follow on from ardes i basic nnn06aa01c task order nnn13aa06c),https://www.usaspending.gov/award/CONT_AWD_80MSFC20F0178_8000_80MSFC20D0004_8000/
80MSFC20F0178,2025,12,1006377.04,0.0,False,080-0120,"Science, National Aeronautics and Space Administration",The Johns Hopkins University Applied Physics Laboratory LLC,4eae43e5-e1f1-0e77-b2fe-09a12a9a552c-C,Thermosphere Ionosphere Mesosphere Energetics and Dynamics (TIMED) mission phase E (follow on from ardes i basic nnn06aa01c task order nnn13aa06c),https://www.usaspending.gov/award/CONT_AWD_80MSFC20F0178_8000_80MSFC20D0004_8000/
80MSFC20F0178,2025,11,422347.85,0.0,False,080-0120,"Science, National Aeronautics and Space Administration",The Johns Hopkins University Applied Physics Laboratory LLC,4eae43e5-e1f1-0e77-b2fe-09a12a9a552c-C,Thermosphere Ionosphere Mesosphere Energetics and Dynamics (TIMED) mission phase E (follow on from ardes i basic nnn06aa01c task order nnn13aa06c),https://www.usaspending.gov/award/CONT_AWD_80MSFC20F0178_8000_80MSFC20D0004_8000/
80MSFC20F0178,2025,11,876127.04,0.0,False,080-0120,"Science, National Aeronautics and Space Administration",The Johns Hopkins University Applied Physics Laboratory LLC,4eae43e5-e1f1-0e77-b2fe-09a12a9a552c-C,Thermosphere Ionosphere Mesosphere Energetics and Dynamics (TIMED) mission phase E (follow on from ardes i basic nnn06aa01c task order nnn13aa06c),https://www.usaspending.gov/award/CONT_AWD_80MSFC20F0178_8000_80MSFC20D0004_8000/
80MSFC20F0178,2025,10,768789.59,0.0,False,080-0120,"Science, National Aeronautics and Space Administration",The Johns Hopkins University Applied Physics Laboratory LLC,4eae43e5-e1f1-0e77-b2fe-09a12a9a552c-C,Thermosphere Ionosphere Mesosphere Energetics and Dynamics (TIMED) mission phase E (follow on from ardes i basic nnn06aa01c task order nnn13aa06c),https://www.usaspending.gov/award/CONT_AWD_80MSFC20F0178_8000_80MSFC20D0004_8000/
80MSFC20F0178,2025,10,0.0,277000.00,False,080-0120,"Science, National Aeronautics and Space Administration",The Johns Hopkins University Applied Physics Laboratory LLC,4eae43e5-e1f1-0e77-b2fe-09a12a9a552c-C,Thermosphere Ionosphere Mesosphere Energetics and Dynamics (TIMED) mission phase E (follow on from ardes i basic nnn06aa01c task order nnn13aa06c),https://www.usaspending.gov/award/CONT_AWD_80MSFC20F0178_8000_80MSFC20D0004_8000/
80MSFC20F0178,2025,10,422347.85,0.0,False,080-0120,"Science, National Aeronautics and Space Administration",The Johns Hopkins University Applied Physics Laboratory LLC,4eae43e5-e1f1-0e77-b2fe-09a12a9a552c-C,Thermosphere Ionosphere Mesosphere Energetics and Dynamics (TIMED) mission phase E (follow on from ardes i basic nnn06aa01c task order nnn13aa06c),https://www.usaspending.gov/award/CONT_AWD_80MSFC20F0178_8000_80MSFC20D0004_8000/
80MSFC20F0178,2025,9,422347.85,0.0,False,080-0120,"Science, National Aeronautics and Space Administration",The Johns Hopkins University Applied Physics Laboratory LLC,4eae43e5-e1f1-0e77-b2fe-09a12a9a552c-C,Thermosphere Ionosphere Mesosphere Energetics and Dynamics (TIMED) mission phase E (follow on from ardes i basic nnn06aa01c task order nnn13aa06c),https://www.usaspending.gov/award/CONT_AWD_80MSFC20F0178_8000_80MSFC20D0004_8000/
80MSFC20F0178,2025,9,768789.59,0.0,False,080-0120,"Science, National Aeronautics and Space Administration",The Johns Hopkins University Applied Physics Laboratory LLC,4eae43e5-e1f1-0e77-b2fe-09a12a9a552c-C,Thermosphere Ionosphere Mesosphere Energetics and Dynamics (TIMED) mission phase E (follow on from ardes i basic nnn06aa01c task order nnn13aa06c),https://www.usaspending.gov/award/CONT_AWD_80MSFC20F0178_8000_80MSFC20D0004_8000/
80MSFC20F0178,2025,8,422347.85,0.0,False,080-0120,"Science, National Aeronautics and Space Administration",The Johns Hopkins University Applied Physics Laboratory LLC,4eae43e5-e1f1-0e77-b2fe-09a12a9a552c-C,Thermosphere Ionosphere Mesosphere Energetics and Dynamics (TIMED) mission phase E (follow on from ardes i basic nnn06aa01c task order nnn13aa06c),https://www.usaspending.gov/award/CONT_AWD_80MSFC20F0178_8000_80MSFC20D0004_8000/
80MSFC20F0178,2025,8,492388.55,0.0,False,080-0120,"Science, National Aeronautics and Space Administration",The Johns Hopkins University Applied Physics Laboratory LLC,4eae43e5-e1f1-0e77-b2fe-09a12a9a552c-C,Thermosphere Ionosphere Mesosphere Energetics and Dynamics (TIMED) mission phase E (follow on from ardes i basic nnn06aa01c task order nnn13aa06c),https://www.usaspending.gov/award/CONT_AWD_80MSFC20F0178_8000_80MSFC20D0004_8000/
80MSFC20F0178,2025,7,0.0,394943.00,False,080-0120,"Science, National Aeronautics and Space Administration",The Johns Hopkins University Applied Physics Laboratory LLC,4eae43e5-e1f1-0e77-b2fe-09a12a9a552c-C,Thermosphere Ionosphere Mesosphere Energetics and Dynamics (TIMED) mission phase E (follow on from ardes i basic nnn06aa01c task order nnn13aa06c),https://www.usaspending.gov/award/CONT_AWD_80MSFC20F0178_8000_80MSFC20D0004_8000/
80MSFC20F0178,2025,7,422347.85,0.0,False,080-0120,"Science, National Aeronautics and Space Administration",The Johns Hopkins University Applied Physics Laboratory LLC,4eae43e5-e1f1-0e77-b2fe-09a12a9a552c-C,Thermosphere Ionosphere Mesosphere Energetics and Dynamics (TIMED) mission phase E (follow on from ardes i basic nnn06aa01c task order nnn13aa06c),https://www.usaspending.gov/award/CONT_AWD_80MSFC20F0178_8000_80MSFC20D0004_8000/
80MSFC20F0178,2025,7,339560.09,0.0,False,080-0120,"Science, National Aeronautics and Space Administration",The Johns Hopkins University Applied Physics Laboratory LLC,4eae43e5-e1f1-0e77-b2fe-09a12a9a552c-C,Thermosphere Ionosphere Mesosphere Energetics and Dynamics (TIMED) mission phase E (follow on from ardes i basic nnn06aa01c task order nnn13aa06c),https://www.usaspending.gov/award/CONT_AWD_80MSFC20F0178_8000_80MSFC20D0004_8000/
80MSFC20F0178,2025,6,422347.85,0.0,False,080-0120,"Science, National Aeronautics and Space Administration",The Johns Hopkins University Applied Physics Laboratory LLC,4eae43e5-e1f1-0e77-b2fe-09a12a9a552c-C,Thermosphere Ionosphere Mesosphere Energetics and Dynamics (TIMED) mission phase E (follow on from ardes i basic nnn06aa01c task order nnn13aa06c),https://www.usaspending.gov/award/CONT_AWD_80MSFC20F0178_8000_80MSFC20D0004_8000/
80MSFC20F0178,2025,6,232255.93,0.0,False,080-0120,"Science, National Aeronautics and Space Administration",The Johns Hopkins University Applied Physics Laboratory LLC,4eae43e5-e1f1-0e77-b2fe-09a12a9a552c-C,Thermosphere Ionosphere Mesosphere Energetics and Dynamics (TIMED) mission phase E (follow on from ardes i basic nnn06aa01c task order nnn13aa06c),https://www.usaspending.gov/award/CONT_AWD_80MSFC20F0178_8000_80MSFC20D0004_8000/
80MSFC20F0178,2025,5,122540.90,0.0,False,080-0120,"Science, National Aeronautics and Space Administration",The Johns Hopkins University Applied Physics Laboratory LLC,4eae43e5-e1f1-0e77-b2fe-09a12a9a552c-C,Thermosphere Ionosphere Mesosphere Energetics and Dynamics (TIMED) mission phase E (follow on from ardes i basic nnn06aa01c task order nnn13aa06c),https://www.usaspending.gov/award/CONT_AWD_80MSFC20F0178_8000_80MSFC20D0004_8000/
80MSFC20F0178,2025,5,422347.85,0.0,False,080-0120,"Science, National Aeronautics and Space Administration",The Johns Hopkins University Applied Physics Laboratory LLC,4eae43e5-e1f1-0e77-b2fe-09a12a9a552c-C,Thermosphere Ionosphere Mesosphere Energetics and Dynamics (TIMED) mission phase E (follow on from ardes i basic nnn06aa01c task order nnn13aa06c),https://www.usaspending.gov/award/CONT_AWD_80MSFC20F0178_8000_80MSFC20D0004_8000/
80MSFC20F0178,2025,4,36132.37,0.0,False,080-0120,"Science, National Aeronautics and Space Administration",The Johns Hopkins University Applied Physics Laboratory LLC,4eae43e5-e1f1-0e77-b2fe-09a12a9a552c-C,Thermosphere Ionosphere Mesosphere Energetics and Dynamics (TIMED) mission phase E (follow on from ardes i basic nnn06aa01c task order nnn13aa06c),https://www.usaspending.gov/award/CONT_AWD_80MSFC20F0178_8000_80MSFC20D0004_8000/
80MSFC20F0178,2025,4,422347.85,0.0,False,080-0120,"Science, National Aeronautics and Space Administration",The Johns Hopkins University Applied Physics Laboratory LLC,4eae43e5-e1f1-0e77-b2fe-09a12a9a552c-C,Thermosphere Ionosphere Mesosphere Energetics and Dynamics (TIMED) mission phase E (follow on from ardes i basic nnn06aa01c task order nnn13aa06c),https://www.usaspending.gov/award/CONT_AWD_80MSFC20F0178_8000_80MSFC20D0004_8000/
