reporting_fiscal_year,reporting_fiscal_month,fiscal_month_abbr,transaction_obligated_amount,cumulative_obligations
2026,2,Oct/Nov,90000.0,90000.0
2026,3,Dec,300000.0,390000.0
2026,4,Jan,0.0,390000.0
2026,5,Feb,100000.0,490000.0
2026,6,Mar,0.0,490000.0
2026,7,Apr,1233393.89,1723393.89
2026,8,May,0.0,1723393.89
2026,9,Jun,0.0,1723393.89
2025,2,Oct/Nov,427959.0,427959.0
2025,3,Dec,314123.0,742082.0
2025,4,Jan,60000.0,802082.0
2025,5,Feb,0.0,802082.0
2025,6,Mar,30000.0,832082.0
2025,7,Apr,394943.0,1227025.0
2025,8,May,0.0,1227025.0
2025,9,Jun,150000.0,1377025.0
2025,10,Jul,277000.0,1654025.0
2025,11,Aug,43898.16,1697923.16
2025,12,Sep,390000.0,2087923.16
2024,2,Oct/Nov,303000.0,303000.0
2024,3,Dec,330000.0,633000.0
2024,4,Jan,50000.0,683000.0
2024,5,Feb,0.0,683000.0
2024,6,Mar,30000.0,713000.0
2024,7,Apr,430000.0,1143000.0
2024,8,May,0.0,1143000.0
2024,9,Jun,0.0,1143000.0
2024,10,Jul,356210.0,1499210.0
2024,11,Aug,189000.0,1688210.0
2024,12,Sep,0.0,1688210.0
2023,2,Oct/Nov,427000.0,427000.0
2023,3,Dec,0.0,427000.0
2023,4,Jan,931000.0,1358000.0
2023,5,Feb,0.0,1358000.0
2023,6,Mar,150000.0,1508000.0
2023,7,Apr,0.0,1508000.0
2023,8,May,0.0,1508000.0
2023,9,Jun,0.0,1508000.0
2023,10,Jul,0.0,1508000.0
2023,11,Aug,19000.0,1527000.0
2023,12,Sep,82219.09,1609219.09
2022,2,Oct/Nov,300000.0,300000.0
2022,3,Dec,164924.91,464924.91
2022,4,Jan,0.0,464924.91
2022,5,Feb,0.0,464924.91
2022,6,Mar,275290.0,740214.91
2022,7,Apr,0.0,740214.91
2022,8,May,0.0,740214.91
2022,9,Jun,109000.0,849214.91
2022,10,Jul,0.0,849214.91
2022,11,Aug,621705.0,1470919.91
2022,12,Sep,0.0,1470919.91
2021,2,Oct/Nov,300000.0,300000.0
2021,3,Dec,0.0,300000.0
2021,4,Jan,0.0,300000.0
2021,5,Feb,52520.0,352520.0
2021,6,Mar,0.0,352520.0
2021,7,Apr,1353497.0,1706017.0
2021,8,May,0.0,1706017.0
2021,9,Jun,0.0,1706017.0
2021,10,Jul,120000.0,1826017.0
2021,11,Aug,0.0,1826017.0
2021,12,Sep,0.0,1826017.0
2020,10,Jul,518329.0,518329.0
2020,12,Sep,580.0,518909.0
2019,6,Mar,169411.0,169411.0
2019,9,Jun,213153.0,382564.0
2019,12,Sep,19000.0,401564.0
2018,6,Mar,200000.0,200000.0
2017,6,Mar,198895.0,198895.0
2017,12,Sep,14950.95,213845.95
