submission_period,fiscal_year,fiscal_period,month_date,cumulative_outlay
FY2021P02,2021,2,2020-11-01,307016.32999999996
FY2021P03,2021,3,2020-12-01,304271.95
FY2021P04,2021,4,2021-01-01,403417.31
FY2021P05,2021,5,2021-02-01,502745.11
FY2021P06,2021,6,2021-03-01,594711.01
FY2021P07,2021,7,2021-04-01,736820.25
FY2021P08,2021,8,2021-05-01,851383.8800000001
FY2021P09,2021,9,2021-06-01,996841.56
FY2021P10,2021,10,2021-07-01,1091622.67
FY2021P11,2021,11,2021-08-01,1215260.97
FY2021P12,2021,12,2021-09-01,1380659.99
FY2022P02,2022,2,2021-11-01,159721.05
FY2022P03,2022,3,2021-12-01,327276.77
FY2022P04,2022,4,2022-01-01,413197.87
FY2022P05,2022,5,2022-02-01,531191.52
FY2022P06,2022,6,2022-03-01,650384.24
FY2022P07,2022,7,2022-04-01,761614.77
FY2022P08,2022,8,2022-05-01,893643.84
FY2022P09,2022,9,2022-06-01,1062841.03
FY2022P10,2022,10,2022-07-01,1204147.89
FY2022P11,2022,11,2022-08-01,1354111.41
FY2022P12,2022,12,2022-09-01,1493174.21
FY2023P02,2023,2,2022-11-01,305655.33999999997
FY2023P03,2023,3,2022-12-01,461310.86000000004
FY2023P04,2023,4,2023-01-01,601450.71
FY2023P05,2023,5,2023-02-01,768290.3599999999
FY2023P06,2023,6,2023-03-01,916720.75
FY2023P07,2023,7,2023-04-01,1171811.38
FY2023P08,2023,8,2023-05-01,1373621.19
FY2023P09,2023,9,2023-06-01,1533528.1500000001
FY2023P10,2023,10,2023-07-01,1664723.95
FY2023P11,2023,11,2023-08-01,1816452.7
FY2023P12,2023,12,2023-09-01,1961398.4
FY2024P02,2024,2,2023-11-01,290297.03
FY2024P03,2024,3,2023-12-01,424021.95
FY2024P04,2024,4,2024-01-01,571333.53
FY2024P05,2024,5,2024-02-01,744085.74
FY2024P06,2024,6,2024-03-01,883209.7000000001
FY2024P07,2024,7,2024-04-01,1065366.8599999999
FY2024P08,2024,8,2024-05-01,1224829.9200000002
FY2024P09,2024,9,2024-06-01,1401493.6400000001
FY2024P10,2024,10,2024-07-01,1512453.6900000002
FY2024P11,2024,11,2024-08-01,1704657.19
FY2024P12,2024,12,2024-09-01,1838758.66
FY2025P02,2025,2,2024-11-01,349516.77
FY2025P03,2025,3,2024-12-01,522497.04000000004
FY2025P04,2025,4,2025-01-01,635691.07
FY2025P05,2025,5,2025-02-01,756428.25
FY2025P06,2025,6,2025-03-01,922631.1900000001
FY2025P07,2025,7,2025-04-01,1061091.18
FY2025P08,2025,8,2025-05-01,1244119.97
FY2025P09,2025,9,2025-06-01,1573925.04
FY2025P10,2025,10,2025-07-01,1605788.41
FY2025P11,2025,11,2025-08-01,1745792.33
FY2025P12,2025,12,2025-09-01,1909193.54
FY2026P02,2026,2,2025-11-01,286343.68
FY2026P03,2026,3,2025-12-01,416680.05000000005
FY2026P04,2026,4,2026-01-01,526936.0900000001
