fiscal_year,fiscal_period,fiscal_period_abbr,cumulative_outlay
2025,2,Oct/Nov,349516.77
2025,3,Dec,522497.04
2025,4,Jan,635691.07
2025,5,Feb,756428.25
2025,6,Mar,922631.19
2025,7,Apr,1061091.18
2025,8,May,1244119.97
2025,9,Jun,1573925.04
2025,10,Jul,1605788.41
2025,11,Aug,1745792.33
2025,12,Sep,1909193.54
2024,2,Oct/Nov,290297.03
2024,3,Dec,424021.95
2024,4,Jan,571333.53
2024,5,Feb,744085.74
2024,6,Mar,883209.7
2024,7,Apr,1065366.86
2024,8,May,1224829.92
2024,9,Jun,1401493.64
2024,10,Jul,1512453.69
2024,11,Aug,1704657.19
2024,12,Sep,1838758.66
2023,2,Oct/Nov,305655.34
2023,3,Dec,461310.86
2023,4,Jan,601450.71
2023,5,Feb,768290.36
2023,6,Mar,916720.75
2023,7,Apr,1171811.38
2023,8,May,1373621.19
2023,9,Jun,1533528.15
2023,10,Jul,1664723.95
2023,11,Aug,1816452.7
2023,12,Sep,1961398.4
2022,2,Oct/Nov,159721.05
2022,3,Dec,327276.77
2022,4,Jan,413197.87
2022,5,Feb,531191.52
2022,6,Mar,650384.24
2022,7,Apr,761614.77
2022,8,May,893643.84
2022,9,Jun,1062841.03
2022,10,Jul,1204147.89
2022,11,Aug,1354111.41
2022,12,Sep,1493174.21
2021,2,Oct/Nov,307016.33
2021,3,Dec,304271.95
2021,4,Jan,403417.31
2021,5,Feb,502745.11
2021,6,Mar,594711.01
2021,7,Apr,736820.25
2021,8,May,851383.88
2021,9,Jun,996841.56
2021,10,Jul,1091622.67
2021,11,Aug,1215260.97
2021,12,Sep,1380659.99
