submission_period,fiscal_year,fiscal_period,month_date,cumulative_outlay
FY2023P06,2023,6,2023-03-01,13973.69
FY2023P07,2023,7,2023-04-01,40394.51
FY2023P08,2023,8,2023-05-01,543320.44
FY2023P09,2023,9,2023-06-01,576804.36
FY2023P10,2023,10,2023-07-01,841749.48
FY2023P11,2023,11,2023-08-01,908722.13
FY2023P12,2023,12,2023-09-01,1324716.78
FY2024P02,2024,2,2023-11-01,638513.73
FY2024P03,2024,3,2023-12-01,640981.05
FY2024P04,2024,4,2024-01-01,737941.6100000001
FY2024P05,2024,5,2024-02-01,813658.5599999999
FY2024P06,2024,6,2024-03-01,1038765.0599999999
FY2024P07,2024,7,2024-04-01,1105904.89
FY2024P08,2024,8,2024-05-01,1105843.83
FY2024P09,2024,9,2024-06-01,1201486.9999999998
FY2024P10,2024,10,2024-07-01,1239651.53
FY2024P11,2024,11,2024-08-01,1698068.55
FY2024P12,2024,12,2024-09-01,1697939.3
FY2025P02,2025,2,2024-11-01,630421.3500000001
FY2025P03,2025,3,2024-12-01,860769.18
FY2025P04,2025,4,2025-01-01,1577023.5
FY2025P05,2025,5,2025-02-01,1577023.5
FY2025P06,2025,6,2025-03-01,3219881.8000000003
FY2025P07,2025,7,2025-04-01,4155738.89
FY2025P08,2025,8,2025-05-01,6135522.61
FY2025P09,2025,9,2025-06-01,7217019.27
FY2025P10,2025,10,2025-07-01,7789415.1
FY2025P11,2025,11,2025-08-01,9386121.43
FY2025P12,2025,12,2025-09-01,10276864.41
FY2026P02,2026,2,2025-11-01,3005718.27
FY2026P03,2026,3,2025-12-01,4533345.34
FY2026P04,2026,4,2026-01-01,5154076.94
FY2026P05,2026,5,2026-02-01,5644955.49
FY2026P06,2026,6,2026-03-01,10187188.95
FY2026P07,2026,7,2026-04-01,11777203.94
