reporting_fiscal_year,reporting_fiscal_month,fiscal_month_abbr,transaction_obligated_amount,cumulative_obligations
2026,2,Oct/Nov,3767000.0,3767000.0
2026,3,Dec,0.0,3767000.0
2026,4,Jan,0.0,3767000.0
2026,5,Feb,1200000.0,4967000.0
2026,6,Mar,17100000.0,22067000.0
2026,7,Apr,0.0,22067000.0
2025,2,Oct/Nov,2060750.0,2060750.0
2025,3,Dec,0.0,2060750.0
2025,4,Jan,5042829.0,7103579.0
2025,5,Feb,230501.0,7334080.0
2025,6,Mar,0.0,7334080.0
2025,7,Apr,4500000.0,11834080.0
2025,8,May,3500000.0,15334080.0
2025,9,Jun,4463226.0,19797306.0
2025,10,Jul,5082199.0,24879505.0
2025,11,Aug,3626002.0,28505507.0
2025,12,Sep,0.0,28505507.0
2024,2,Oct/Nov,0.0,0.0
2024,3,Dec,0.0,0.0
2024,4,Jan,0.0,0.0
2024,5,Feb,0.0,0.0
2024,6,Mar,0.0,0.0
2024,7,Apr,0.0,0.0
2024,8,May,1195502.0,1195502.0
2024,9,Jun,0.0,1195502.0
2024,10,Jul,0.0,1195502.0
2024,11,Aug,3500000.0,4695502.0
2024,12,Sep,0.0,4695502.0
2023,2,Oct/Nov,2010074.0,2010074.0
2023,3,Dec,0.0,2010074.0
2023,4,Jan,1200000.0,3210074.0
2023,5,Feb,1000000.0,4210074.0
2023,6,Mar,5213000.0,9423074.0
2023,7,Apr,0.0,9423074.0
2023,8,May,0.0,9423074.0
2023,9,Jun,0.0,9423074.0
2023,10,Jul,200000.0,9623074.0
2023,11,Aug,408000.0,10031074.0
2023,12,Sep,0.0,10031074.0
2022,2,Oct/Nov,5688446.0,5688446.0
2022,3,Dec,37554.0,5726000.0
2022,4,Jan,0.0,5726000.0
2022,5,Feb,0.0,5726000.0
2022,6,Mar,0.0,5726000.0
2022,7,Apr,8484715.0,14210715.0
2022,8,May,0.0,14210715.0
2022,9,Jun,0.0,14210715.0
2022,10,Jul,0.0,14210715.0
2022,11,Aug,0.0,14210715.0
2022,12,Sep,0.0,14210715.0
2021,2,Oct/Nov,1151312.0,1151312.0
2021,3,Dec,0.0,1151312.0
2021,4,Jan,0.0,1151312.0
2021,5,Feb,0.0,1151312.0
2021,6,Mar,0.0,1151312.0
2021,7,Apr,0.0,1151312.0
2021,8,May,0.0,1151312.0
2021,9,Jun,0.0,1151312.0
2021,10,Jul,6275000.0,7426312.0
2021,11,Aug,0.0,7426312.0
2021,12,Sep,0.0,7426312.0
2020,6,Mar,1728000.0,1728000.0
2020,11,Aug,75479.0,1803479.0
2020,12,Sep,0.0,1803479.0
