submission_period,fiscal_year,fiscal_period,month_date,cumulative_outlay
FY2020P11,2020,11,2020-08-01,501544.68
FY2020P12,2020,12,2020-09-01,1051664.6099999999
FY2021P02,2021,2,2020-11-01,1299076.6
FY2021P03,2021,3,2020-12-01,1186216.47
FY2021P04,2021,4,2021-01-01,1236776.26
FY2021P05,2021,5,2021-02-01,1298308.8599999999
FY2021P06,2021,6,2021-03-01,1378010.33
FY2021P07,2021,7,2021-04-01,1459849.13
FY2021P08,2021,8,2021-05-01,1534234.65
FY2021P09,2021,9,2021-06-01,1597173.9100000001
FY2021P10,2021,10,2021-07-01,1606773.4
FY2021P11,2021,11,2021-08-01,1905397.7799999998
FY2021P12,2021,12,2021-09-01,2298223.03
FY2022P02,2022,2,2021-11-01,717407.78
FY2022P03,2022,3,2021-12-01,1260167.77
FY2022P04,2022,4,2022-01-01,1703099.23
FY2022P05,2022,5,2022-02-01,2569876.15
FY2022P06,2022,6,2022-03-01,3727296.46
FY2022P07,2022,7,2022-04-01,4883946.45
FY2022P08,2022,8,2022-05-01,5975360.8
FY2022P09,2022,9,2022-06-01,7362652.11
FY2022P10,2022,10,2022-07-01,8528579.36
FY2022P11,2022,11,2022-08-01,10381574.71
FY2022P12,2022,12,2022-09-01,11987185.81
FY2023P02,2023,2,2022-11-01,3454564.69
FY2023P03,2023,3,2022-12-01,6008075.4
FY2023P04,2023,4,2023-01-01,7252893.89
FY2023P05,2023,5,2023-02-01,8863013.67
FY2023P06,2023,6,2023-03-01,10228748.9
FY2023P07,2023,7,2023-04-01,11215845.59
FY2023P08,2023,8,2023-05-01,11795054.879999999
FY2023P09,2023,9,2023-06-01,12521836.26
FY2023P10,2023,10,2023-07-01,13147280.18
FY2023P11,2023,11,2023-08-01,13730816.81
FY2023P12,2023,12,2023-09-01,14034825.240000002
FY2024P02,2024,2,2023-11-01,449396.16
FY2024P03,2024,3,2023-12-01,568319.34
FY2024P04,2024,4,2024-01-01,840600.49
FY2024P05,2024,5,2024-02-01,1108056.24
FY2024P06,2024,6,2024-03-01,1332141.95
FY2024P07,2024,7,2024-04-01,1565730.09
FY2024P08,2024,8,2024-05-01,1790357.17
FY2024P09,2024,9,2024-06-01,2206099.39
FY2024P10,2024,10,2024-07-01,2524649.84
FY2024P11,2024,11,2024-08-01,3095937.97
FY2024P12,2024,12,2024-09-01,3761970.22
FY2025P02,2025,2,2024-11-01,1909602.8800000001
FY2025P03,2025,3,2024-12-01,3606647.4899999998
FY2025P04,2025,4,2025-01-01,4710051.93
FY2025P05,2025,5,2025-02-01,6395366.36
FY2025P06,2025,6,2025-03-01,8648071.15
FY2025P07,2025,7,2025-04-01,10968588.05
FY2025P08,2025,8,2025-05-01,13557658.04
FY2025P09,2025,9,2025-06-01,15735134.24
FY2025P10,2025,10,2025-07-01,17800837.990000002
FY2025P11,2025,11,2025-08-01,20758404.25
FY2025P12,2025,12,2025-09-01,23428374.59
