reporting_fiscal_year,reporting_fiscal_month,fiscal_month_abbr,transaction_obligated_amount,cumulative_obligations
2025,2,Oct/Nov,0.0,0.0
2025,3,Dec,0.0,0.0
2025,4,Jan,60000.0,60000.0
2025,5,Feb,0.0,60000.0
2025,6,Mar,0.0,60000.0
2025,7,Apr,0.0,60000.0
2025,8,May,100000.0,160000.0
2025,9,Jun,0.0,160000.0
2025,10,Jul,0.0,160000.0
2024,2,Oct/Nov,60000.0,60000.0
2024,3,Dec,0.0,60000.0
2024,4,Jan,0.0,60000.0
2024,5,Feb,0.0,60000.0
2024,6,Mar,0.0,60000.0
2024,7,Apr,0.0,60000.0
2024,8,May,60000.0,120000.0
2024,9,Jun,0.0,120000.0
2024,10,Jul,0.0,120000.0
2024,11,Aug,60000.0,180000.0
2024,12,Sep,0.0,180000.0
2023,2,Oct/Nov,119840.0,119840.0
2023,3,Dec,0.0,119840.0
2023,4,Jan,-29217.86,90622.14
2023,5,Feb,0.0,90622.14
2023,6,Mar,0.0,90622.14
2023,7,Apr,62200.0,152822.14
2023,8,May,0.0,152822.14
2023,9,Jun,0.0,152822.14
2023,10,Jul,0.0,152822.14
2023,11,Aug,0.0,152822.14
2023,12,Sep,0.0,152822.14
2022,2,Oct/Nov,30000.0,30000.0
2022,3,Dec,60000.0,90000.0
2022,4,Jan,0.0,90000.0
2022,5,Feb,0.0,90000.0
2022,6,Mar,0.0,90000.0
2022,7,Apr,60000.0,150000.0
2022,8,May,0.0,150000.0
2022,9,Jun,0.0,150000.0
2022,10,Jul,0.0,150000.0
2022,11,Aug,0.0,150000.0
2022,12,Sep,0.0,150000.0
2021,2,Oct/Nov,30000.0,30000.0
2021,3,Dec,15000.0,45000.0
2021,4,Jan,15000.0,60000.0
2021,5,Feb,150000.0,210000.0
2021,6,Mar,0.0,210000.0
2021,7,Apr,0.0,210000.0
2021,8,May,0.0,210000.0
2021,9,Jun,0.0,210000.0
2021,10,Jul,0.0,210000.0
2021,11,Aug,0.0,210000.0
2021,12,Sep,30000.0,240000.0
2020,3,Dec,15000.0,15000.0
2020,6,Mar,120000.0,135000.0
2020,9,Jun,5000.0,140000.0
2020,10,Jul,0.0,140000.0
2020,11,Aug,0.0,140000.0
2020,12,Sep,0.0,140000.0
2019,3,Dec,41860.07,41860.07
2019,6,Mar,35000.0,76860.07
2019,9,Jun,105000.0,181860.07
2018,3,Dec,15000.0,15000.0
2018,6,Mar,23000.0,38000.0
2018,9,Jun,71725.0,109725.0
2018,12,Sep,15000.0,124725.0
2017,9,Jun,91000.0,91000.0
