fiscal_year,fiscal_period,fiscal_period_abbr,cumulative_outlay
2026,2,Oct/Nov,26630.52
2026,3,Dec,43246.11
2026,4,Jan,17859149.96
2025,2,Oct/Nov,10331046.35
2025,3,Dec,14855034.11
2025,4,Jan,18612500.03
2025,5,Feb,24009059.01
2025,6,Mar,27845475.66
2025,7,Apr,34828560.23
2025,8,May,34846480.66
2025,9,Jun,45416376.02
2025,10,Jul,49102942.1
2025,11,Aug,55235773.59
2025,12,Sep,58969999.44
2024,2,Oct/Nov,10085326.59
2024,3,Dec,15314783.47
2024,4,Jan,20006452.67
2024,5,Feb,23082914.31
2024,6,Mar,29404499.45
2024,7,Apr,33786968.39
2024,8,May,38052714.99
2024,9,Jun,45034918.47
2024,10,Jul,50406620.67
2024,11,Aug,55088197.41
2024,12,Sep,59592931.45
2023,2,Oct/Nov,10468178.15
2023,3,Dec,14109074.21
2023,4,Jan,19693968.6
2023,5,Feb,22799723.57
2023,6,Mar,27372479.69
2023,7,Apr,33262307.96
2023,8,May,38338416.19
2023,9,Jun,44193711.96
2023,10,Jul,49282749.87
2023,11,Aug,54129057.49
2023,12,Sep,59117155.96
2022,2,Oct/Nov,9730572.46
2022,3,Dec,14186513.48
2022,4,Jan,19234622.98
2022,5,Feb,22744086.3
2022,6,Mar,28080537.18
2022,7,Apr,32640621.34
2022,8,May,36543555.1
2022,9,Jun,41826338.35
2022,10,Jul,46750008.63
2022,11,Aug,50042779.09
2022,12,Sep,57376268.65
2021,2,Oct/Nov,10388320.17
2021,3,Dec,14840265.79
2021,4,Jan,19792790.38
2021,5,Feb,24108449.35
2021,6,Mar,28105412.52
2021,7,Apr,33280297.45
2021,8,May,39388939.86
2021,9,Jun,44388843.78
2021,10,Jul,49757977.3
2021,11,Aug,53976085.17
2021,12,Sep,59856920.63
2020,9,Jun,44495904.19
2020,10,Jul,48287215.9
2020,11,Aug,55516235.88
2020,12,Sep,59920793.73
