fiscal_year,fiscal_period,fiscal_period_abbr,monthly_outlay,cumulative_outlay
2025,2,Oct/Nov,4290992.54,4290992.54
2025,3,Dec,68293.94,4359286.48
2025,4,Jan,10008690.4,14367976.88
2025,5,Feb,64054.08,14432030.96
2025,6,Mar,4673531.73,19105562.69
2025,7,Apr,4475943.16,23581505.85
2025,8,May,6801790.68,30383296.53
2025,9,Jun,-4407118.1,25976178.43
2025,10,Jul,7139482.01,33115660.44
2025,11,Aug,20200.66,33135861.1
2025,12,Sep,-7064383.24,26071477.86
2024,2,Oct/Nov,1279703.41,1279703.41
2024,3,Dec,1142406.43,2422109.84
2024,4,Jan,2151601.08,4573710.92
2024,5,Feb,1366052.18,5939763.1
2024,6,Mar,1887724.81,7827487.91
2024,7,Apr,1748439.17,9575927.08
2024,8,May,2335860.38,11911787.46
2024,9,Jun,3623232.87,15535020.33
2024,10,Jul,1877613.04,17412633.37
2024,11,Aug,59310.72,17471944.09
2024,12,Sep,4513083.83,21985027.92
2023,2,Oct/Nov,9979.64,9979.64
2023,3,Dec,502096.66,512076.3
2023,4,Jan,438441.5,950517.8
2023,5,Feb,-701744.12,248773.68
2023,6,Mar,1529859.68,1778633.36
2023,7,Apr,495719.12,2274352.48
2023,8,May,754303.91,3028656.39
2023,9,Jun,1910867.33,4939523.72
2023,10,Jul,73498.53,5013022.25
2023,11,Aug,1367992.24,6381014.49
2023,12,Sep,30340.75,6411355.24
2022,2,Oct/Nov,0.0,0.0
2022,3,Dec,5313.46,5313.46
2022,4,Jan,11663.0,16976.46
2022,5,Feb,10517.77,27494.23
2022,6,Mar,27217.17,54711.4
2022,7,Apr,10636.07,65347.47
2022,8,May,856150.61,921498.08
2022,9,Jun,276277.29,1197775.37
2022,10,Jul,763578.44,1961353.81
2022,11,Aug,39468.7,2000822.51
2022,12,Sep,-733436.15,1267386.36
2021,6,Mar,0.0,0.0
2021,11,Aug,0.0,0.0
2021,12,Sep,195087.34,195087.34
