reporting_fiscal_year,reporting_fiscal_month,fiscal_month_abbr,transaction_obligated_amount,cumulative_obligations
2026,2,Oct/Nov,0.0,0.0
2026,3,Dec,2363833.0,2363833.0
2025,2,Oct/Nov,8269601.0,8269601.0
2025,3,Dec,215001.0,8484602.0
2025,4,Jan,4915511.0,13400113.0
2025,5,Feb,560000.0,13960113.0
2025,6,Mar,339117.0,14299230.0
2025,7,Apr,0.0,14299230.0
2025,8,May,0.0,14299230.0
2025,9,Jun,1453164.0,15752394.0
2025,10,Jul,0.0,15752394.0
2025,11,Aug,222324.0,15974718.0
2025,12,Sep,3204188.0,19178906.0
2024,2,Oct/Nov,5998266.09,5998266.09
2024,3,Dec,0.0,5998266.09
2024,4,Jan,205000.0,6203266.09
2024,5,Feb,2107072.0,8310338.09
2024,6,Mar,0.0,8310338.09
2024,7,Apr,-213279.94,8097058.15
2024,8,May,-93732.0,8003326.15
2024,9,Jun,881000.0,8884326.15
2024,10,Jul,0.0,8884326.15
2024,11,Aug,0.0,8884326.15
2024,12,Sep,267882.0,9152208.15
2023,2,Oct/Nov,6395833.0,6395833.0
2023,3,Dec,40000.0,6435833.0
2023,4,Jan,905659.0,7341492.0
2023,5,Feb,425467.0,7766959.0
2023,6,Mar,168350.0,7935309.0
2023,7,Apr,85000.0,8020309.0
2023,8,May,174759.75,8195068.75
2023,9,Jun,0.0,8195068.75
2023,10,Jul,0.0,8195068.75
2023,11,Aug,497218.2,8692286.95
2023,12,Sep,315000.0,9007286.95
2022,2,Oct/Nov,3781000.0,3781000.0
2022,3,Dec,874576.0,4655576.0
2022,4,Jan,375000.0,5030576.0
2022,5,Feb,925180.0,5955756.0
2022,6,Mar,515673.0,6471429.0
2022,7,Apr,26026.0,6497455.0
2022,8,May,817280.0,7314735.0
2022,9,Jun,0.0,7314735.0
2022,10,Jul,65000.0,7379735.0
2022,11,Aug,682531.0,8062266.0
2022,12,Sep,717022.0,8779288.0
2021,2,Oct/Nov,374615.0,374615.0
2021,3,Dec,15428.5,390043.5
2021,4,Jan,50000.0,440043.5
2021,5,Feb,0.0,440043.5
2021,6,Mar,0.0,440043.5
2021,7,Apr,42500.0,482543.5
2021,8,May,36435.0,518978.5
2021,9,Jun,15000.0,533978.5
2021,10,Jul,273946.0,807924.5
2021,11,Aug,33456.0,841380.5
2021,12,Sep,0.0,841380.5
2020,8,May,1101253.0,1101253.0
2020,9,Jun,153220.0,1254473.0
2020,10,Jul,60175.0,1314648.0
2020,11,Aug,36281.9,1350929.9
2020,12,Sep,50732.0,1401661.9
2019,3,Dec,-319.3,-319.3
2019,6,Mar,6120.0,5800.7
