fiscal_year,fiscal_period,fiscal_period_abbr,cumulative_outlay
2026,2,Oct/Nov,1144551.01
2026,3,Dec,1733967.37
2026,4,Jan,2156111.22
2026,5,Feb,2809476.44
2025,2,Oct/Nov,1317339.21
2025,3,Dec,1764477.68
2025,4,Jan,2952820.27
2025,5,Feb,3422206.51
2025,6,Mar,4115733.58
2025,7,Apr,4900270.97
2025,8,May,5465040.15
2025,9,Jun,6170094.73
2025,10,Jul,6510477.52
2025,11,Aug,7516589.53
2025,12,Sep,8405655.04
2024,2,Oct/Nov,1479476.12
2024,3,Dec,1781751.58
2024,4,Jan,2185000.61
2024,5,Feb,2568164.51
2024,6,Mar,2938239.37
2024,7,Apr,3195417.94
2024,8,May,3390905.35
2024,9,Jun,3633598.34
2024,10,Jul,3883937.86
2024,11,Aug,4271140.71
2024,12,Sep,4729572.47
2023,2,Oct/Nov,395674.31
2023,3,Dec,624198.24
2023,4,Jan,797177.81
2023,5,Feb,990672.58
2023,6,Mar,1577784.89
2023,7,Apr,1860035.58
2023,8,May,2414561.9
2023,9,Jun,3536392.08
2023,10,Jul,3796850.61
2023,11,Aug,4156544.93
2023,12,Sep,4437410.03
2022,2,Oct/Nov,91286.44
2022,3,Dec,159902.62
2022,4,Jan,333561.23
2022,5,Feb,404233.98
2022,6,Mar,495490.94
2022,7,Apr,636274.71
2022,8,May,844654.24
2022,9,Jun,1096935.94
2022,10,Jul,1252986.14
2022,11,Aug,1505086.6
2022,12,Sep,1683621.34
2021,5,Feb,75603.5
2021,6,Mar,210349.3
2021,7,Apr,282155.33
2021,8,May,674084.89
2021,9,Jun,674084.89
2021,10,Jul,748115.74
2021,11,Aug,773848.71
2021,12,Sep,799487.19
2020,12,Sep,13591.69
