reporting_fiscal_year,reporting_fiscal_month,fiscal_month_abbr,transaction_obligated_amount,cumulative_obligations
2025,3,Dec,0.0,0.0
2025,4,Jan,0.0,0.0
2025,5,Feb,0.0,0.0
2025,6,Mar,1100000.0,1100000.0
2025,7,Apr,0.0,1100000.0
2025,8,May,0.0,1100000.0
2025,9,Jun,400000.0,1500000.0
2025,10,Jul,342385.0,1842385.0
2025,11,Aug,0.0,1842385.0
2025,12,Sep,1400000.0,3242385.0
2024,2,Oct/Nov,0.0,0.0
2024,3,Dec,0.0,0.0
2024,4,Jan,0.0,0.0
2024,5,Feb,0.0,0.0
2024,6,Mar,0.0,0.0
2024,7,Apr,0.0,0.0
2024,8,May,3546115.0,3546115.0
2024,9,Jun,0.0,3546115.0
2024,10,Jul,0.0,3546115.0
2024,11,Aug,0.0,3546115.0
2024,12,Sep,0.0,3546115.0
2023,8,May,3747158.14,3747158.14
2023,9,Jun,0.0,3747158.14
2023,10,Jul,0.0,3747158.14
2023,11,Aug,0.0,3747158.14
2023,12,Sep,0.0,3747158.14
2022,2,Oct/Nov,0.0,0.0
2022,3,Dec,377559.01,377559.01
2022,4,Jan,0.0,377559.01
2022,5,Feb,0.0,377559.01
2022,6,Mar,0.0,377559.01
2022,7,Apr,1633308.61,2010867.62
2022,8,May,0.0,2010867.62
2022,9,Jun,0.0,2010867.62
2022,10,Jul,0.0,2010867.62
2022,11,Aug,4042942.0,6053809.62
2022,12,Sep,0.0,6053809.62
2021,2,Oct/Nov,0.0,0.0
2021,3,Dec,0.0,0.0
2021,4,Jan,0.0,0.0
2021,5,Feb,851629.13,851629.13
2021,6,Mar,0.0,851629.13
2021,7,Apr,1695422.99,2547052.12
2021,8,May,0.0,2547052.12
2021,9,Jun,0.0,2547052.12
2021,10,Jul,0.0,2547052.12
2021,11,Aug,2926925.0,5473977.12
2021,12,Sep,0.0,5473977.12
2020,6,Mar,2501956.87,2501956.87
2020,10,Jul,2775085.0,5277041.87
2020,11,Aug,0.0,5277041.87
2020,12,Sep,0.0,5277041.87
2019,3,Dec,3898910.0,3898910.0
2019,9,Jun,3445090.0,7344000.0
2018,12,Sep,1329685.0,1329685.0
