fiscal_year,fiscal_period,fiscal_period_abbr,monthly_outlay,cumulative_outlay
2025,3,Dec,1444256.18,1444256.18
2025,4,Jan,261118.7,1705374.88
2025,5,Feb,354424.36,2059799.24
2025,6,Mar,488237.72,2548036.96
2025,7,Apr,0.0,2548036.96
2025,8,May,412972.31,2961009.27
2025,9,Jun,-99519.34,2861489.93
2025,10,Jul,0.0,2861489.93
2025,11,Aug,820077.05,3681566.98
2024,2,Oct/Nov,1331087.79,1331087.79
2024,3,Dec,381620.29,1712708.08
2024,4,Jan,404468.18,2117176.26
2024,5,Feb,408119.13,2525295.39
2024,6,Mar,449733.94,2975029.33
2024,7,Apr,0.0,2975029.33
2024,8,May,850179.99,3825209.32
2024,9,Jun,0.0,3825209.32
2024,10,Jul,338070.33,4163279.65
2024,11,Aug,0.0,4163279.65
2024,12,Sep,772330.32,4935609.97
2023,8,May,2120707.84,2120707.84
2023,9,Jun,2522430.76,4643138.6
2023,10,Jul,373743.58,5016882.18
2023,11,Aug,642940.9,5659823.08
2023,12,Sep,0.0,5659823.08
2022,2,Oct/Nov,550244.28,550244.28
2022,3,Dec,74453.94,624698.22
2022,4,Jan,826388.36,1451086.58
2022,5,Feb,577782.52,2028869.1
2022,6,Mar,368106.29,2396975.39
2022,7,Apr,-1772277.17,624698.22
2022,8,May,2134884.1,2759582.32
2022,9,Jun,682200.68,3441783.0
2022,10,Jul,0.0,3441783.0
2022,11,Aug,0.0,3441783.0
2022,12,Sep,0.0,3441783.0
2021,2,Oct/Nov,838524.93,838524.93
2021,3,Dec,489099.8,1327624.73
2021,4,Jan,442776.91,1770401.64
2021,5,Feb,-1770401.64,0.0
2021,6,Mar,3125082.91,3125082.91
2021,7,Apr,-3125082.91,0.0
2021,8,May,3525497.29,3525497.29
2021,9,Jun,384544.59,3910041.88
2021,10,Jul,258720.91,4168762.79
2021,11,Aug,575305.56,4744068.35
2021,12,Sep,126347.43,4870415.78
2020,10,Jul,3632193.33,3632193.33
2020,11,Aug,913082.5,4545275.83
2020,12,Sep,184791.97,4730067.8
