reporting_fiscal_year,reporting_fiscal_month,fiscal_month_abbr,transaction_obligated_amount,cumulative_obligations
2026,2,Oct/Nov,0.0,0.0
2026,3,Dec,0.0,0.0
2026,4,Jan,0.0,0.0
2026,5,Feb,0.0,0.0
2025,2,Oct/Nov,0.0,0.0
2025,3,Dec,648209.96,648209.96
2025,4,Jan,0.0,648209.96
2025,5,Feb,0.0,648209.96
2025,6,Mar,0.0,648209.96
2025,7,Apr,0.0,648209.96
2025,8,May,0.0,648209.96
2025,9,Jun,210000.0,858209.96
2025,10,Jul,0.0,858209.96
2025,11,Aug,0.0,858209.96
2025,12,Sep,546212.39,1404422.35
2024,2,Oct/Nov,0.0,0.0
2024,3,Dec,0.0,0.0
2024,4,Jan,0.0,0.0
2024,5,Feb,0.0,0.0
2024,6,Mar,0.0,0.0
2024,7,Apr,0.0,0.0
2024,8,May,0.0,0.0
2024,9,Jun,0.0,0.0
2024,10,Jul,643294.68,643294.68
2024,11,Aug,0.0,643294.68
2024,12,Sep,0.0,643294.68
2023,8,May,873996.0,873996.0
2023,9,Jun,0.0,873996.0
2023,10,Jul,0.0,873996.0
2023,11,Aug,0.0,873996.0
2023,12,Sep,0.0,873996.0
2022,2,Oct/Nov,0.0,0.0
2022,3,Dec,0.0,0.0
2022,4,Jan,0.0,0.0
2022,5,Feb,1849554.97,1849554.97
2022,6,Mar,0.0,1849554.97
2022,7,Apr,0.0,1849554.97
2022,8,May,0.0,1849554.97
2022,9,Jun,0.0,1849554.97
2022,10,Jul,0.0,1849554.97
2022,11,Aug,0.0,1849554.97
2022,12,Sep,289000.0,2138554.97
2021,6,Mar,0.0,0.0
2021,7,Apr,0.0,0.0
2021,8,May,0.0,0.0
2021,9,Jun,0.0,0.0
2021,10,Jul,209038.39,209038.39
2021,11,Aug,0.0,209038.39
2021,12,Sep,0.0,209038.39
2020,10,Jul,424320.0,424320.0
2020,11,Aug,0.0,424320.0
2020,12,Sep,193774.94,618094.94
2019,6,Mar,500000.0,500000.0
2019,12,Sep,1584669.67,2084669.67
2018,3,Dec,217100.0,217100.0
2018,6,Mar,300000.0,517100.0
2018,12,Sep,952200.0,1469300.0
2017,6,Mar,1078084.0,1078084.0
2017,9,Jun,892290.0,1970374.0
2017,12,Sep,-19320.0,1951054.0
