fiscal_year,fiscal_period,fiscal_period_abbr,cumulative_outlay
2026,2,Oct/Nov,40120.39
2026,3,Dec,233829.65
2026,4,Jan,433512.84
2026,5,Feb,536634.59
2026,6,Mar,536634.59
2026,7,Apr,590211.76
2026,8,May,679591.25
2025,2,Oct/Nov,177341.2
2025,3,Dec,370506.34
2025,4,Jan,375970.1
2025,5,Feb,480277.57
2025,6,Mar,643142.65
2025,7,Apr,643614.79
2025,8,May,643614.79
2025,9,Jun,991629.87
2025,10,Jul,1273303.75
2025,11,Aug,1400670.75
2025,12,Sep,1400670.75
2024,2,Oct/Nov,376297.11
2024,3,Dec,466610.47
2024,4,Jan,491460.67
2024,5,Feb,659698.44
2024,6,Mar,843929.91
2024,7,Apr,865211.89
2024,8,May,948720.76
2024,9,Jun,1255337.69
2024,10,Jul,1309204.16
2024,11,Aug,1409547.01
2024,12,Sep,1507014.12
2023,8,May,1044312.06
2023,9,Jun,1128201.59
2023,10,Jul,1156958.75
2023,11,Aug,1374615.08
2023,12,Sep,1376404.87
2022,2,Oct/Nov,222628.7
2022,3,Dec,310178.97
2022,4,Jan,310178.97
2022,5,Feb,408036.16
2022,6,Mar,546040.9
2022,7,Apr,546040.9
2022,8,May,616172.89
2022,9,Jun,616201.19
2022,10,Jul,707645.94
2022,11,Aug,932545.5
2022,12,Sep,1050876.58
2021,6,Mar,659473.42
2021,7,Apr,853531.4
2021,8,May,868469.46
2021,9,Jun,874452.34
2021,10,Jul,1076940.11
2021,11,Aug,1189845.16
2021,12,Sep,1329271.05
2020,10,Jul,800938.08
2020,11,Aug,939858.45
2020,12,Sep,972279.11
