fiscal_year,fiscal_period,fiscal_period_abbr,cumulative_outlay
2026,2,Oct/Nov,3079901.14
2026,3,Dec,5139854.22
2026,4,Jan,7265831.52
2026,5,Feb,9037993.16
2026,6,Mar,10703412.36
2026,7,Apr,13391855.74
2025,2,Oct/Nov,5809470.5
2025,3,Dec,8713638.11
2025,4,Jan,11188373.69
2025,5,Feb,13648239.91
2025,6,Mar,16570008.55
2025,7,Apr,18187911.44
2025,8,May,21623086.21
2025,9,Jun,23277744.14
2025,10,Jul,24604685.65
2025,11,Aug,28079602.25
2025,12,Sep,31445119.93
2024,2,Oct/Nov,5801573.9
2024,3,Dec,8539002.65
2024,4,Jan,10633196.16
2024,5,Feb,12975239.6
2024,6,Mar,14939768.27
2024,7,Apr,18364108.28
2024,8,May,20636909.7
2024,9,Jun,22163137.07
2024,10,Jul,24792765.58
2024,11,Aug,27954182.26
2024,12,Sep,28715123.04
2023,2,Oct/Nov,1650255.62
2023,3,Dec,4912335.11
2023,4,Jan,4912335.11
2023,5,Feb,13033946.78
2023,6,Mar,15119847.19
2023,7,Apr,17008074.48
2023,8,May,19416013.62
2023,9,Jun,22960069.11
2023,10,Jul,24765556.49
2023,11,Aug,27122851.58
2023,12,Sep,29287429.29
2022,2,Oct/Nov,4533387.11
2022,3,Dec,5917169.76
2022,4,Jan,8719372.85
2022,5,Feb,9915640.48
2022,6,Mar,12911389.46
2022,7,Apr,14388544.15
2022,8,May,16767897.63
2022,9,Jun,18432215.23
2022,10,Jul,21013248.68
2022,11,Aug,23823478.38
2022,12,Sep,25433591.22
2021,2,Oct/Nov,7078787.26
2021,3,Dec,8222059.46
2021,4,Jan,10620694.62
2021,5,Feb,12509828.61
2021,6,Mar,15024122.53
2021,7,Apr,17159615.37
2021,8,May,19312349.56
2021,9,Jun,21592730.82
2021,10,Jul,23825747.81
2021,11,Aug,26728408.13
2021,12,Sep,28771939.22
