reporting_fiscal_year,reporting_fiscal_month,fiscal_month_abbr,transaction_obligated_amount,cumulative_obligations
2026,2,Oct/Nov,40000.0,40000.0
2026,3,Dec,21300000.0,21340000.0
2026,4,Jan,14260000.0,35600000.0
2026,5,Feb,15020483.0,50620483.0
2026,6,Mar,16000000.0,66620483.0
2026,7,Apr,50000.0,66670483.0
2026,8,May,32000000.0,98670483.0
2025,2,Oct/Nov,634443.0,634443.0
2025,3,Dec,12020964.68,12655407.68
2025,4,Jan,26711841.0,39367248.68
2025,5,Feb,539522.0,39906770.68
2025,6,Mar,12596191.0,52502961.68
2025,7,Apr,22115591.0,74618552.68
2025,8,May,8596831.0,83215383.68
2025,9,Jun,45645388.07,128860771.75
2025,10,Jul,16341134.0,145201905.75
2025,11,Aug,64964.0,145266869.75
2025,12,Sep,20756329.11,166023198.86
2024,2,Oct/Nov,894735.42,894735.42
2024,3,Dec,0.0,894735.42
2024,4,Jan,25810000.0,26704735.42
2024,5,Feb,13000000.0,39704735.42
2024,6,Mar,709623.0,40414358.42
2024,7,Apr,7321301.42,47735659.84
2024,8,May,25459512.0,73195171.84
2024,9,Jun,0.0,73195171.84
2024,10,Jul,5075000.0,78270171.84
2024,11,Aug,72822541.98,151092713.82
2024,12,Sep,7000000.0,158092713.82
2023,2,Oct/Nov,661554.0,661554.0
2023,3,Dec,2956541.31,3618095.31
2023,4,Jan,2990796.0,6608891.31
2023,5,Feb,-3332612.47,3276278.84
2023,6,Mar,28329372.16,31605651.0
2023,7,Apr,6000000.0,37605651.0
2023,8,May,23374844.0,60980495.0
2023,9,Jun,441619.0,61422114.0
2023,10,Jul,270281.96,61692395.96
2023,11,Aug,58137112.0,119829507.96
2023,12,Sep,5134750.0,124964257.96
2022,2,Oct/Nov,20671839.0,20671839.0
2022,3,Dec,311809.0,20983648.0
2022,4,Jan,0.0,20983648.0
2022,5,Feb,23055269.0,44038917.0
2022,6,Mar,12054134.0,56093051.0
2022,7,Apr,2500000.0,58593051.0
2022,8,May,25605981.0,84199032.0
2022,9,Jun,-219189.0,83979843.0
2022,10,Jul,11111.0,83990954.0
2022,11,Aug,37200000.0,121190954.0
2022,12,Sep,64682678.0,185873632.0
2021,2,Oct/Nov,40000.0,40000.0
2021,3,Dec,27000000.0,27040000.0
2021,4,Jan,2551000.0,29591000.0
2021,5,Feb,10000000.0,39591000.0
2021,6,Mar,60300000.0,99891000.0
2021,7,Apr,4207333.0,104098333.0
2021,8,May,100000.0,104198333.0
2021,9,Jun,20350000.0,124548333.0
2021,10,Jul,67387906.0,191936239.0
2021,11,Aug,2500000.0,194436239.0
2021,12,Sep,37422832.44,231859071.44
2020,3,Dec,42240000.0,42240000.0
2020,6,Mar,93566751.0,135806751.0
2020,7,Apr,40383249.0,176190000.0
2020,8,May,107792.0,176297792.0
2020,9,Jun,26656000.0,202953792.0
2020,10,Jul,4560201.0,207513993.0
2020,11,Aug,47093352.0,254607345.0
2020,12,Sep,77575000.0,332182345.0
2019,3,Dec,50102873.76,50102873.76
2019,6,Mar,19000000.0,69102873.76
2019,9,Jun,36780167.0,105883040.76
2019,12,Sep,119674648.56,225557689.32
2018,3,Dec,111700000.0,111700000.0
2018,6,Mar,75096240.0,186796240.0
2018,9,Jun,37017534.0,223813774.0
2018,12,Sep,191206380.0,415020154.0
2017,6,Mar,30525450.0,30525450.0
2017,9,Jun,62933279.0,93458729.0
2017,12,Sep,89053927.37,182512656.37
