fiscal_year,fiscal_period,fiscal_period_abbr,cumulative_outlay
2026,2,Oct/Nov,28359333.53
2026,3,Dec,39843056.77
2026,4,Jan,54510637.52
2026,5,Feb,67125955.7
2026,6,Mar,79538492.08
2026,7,Apr,91719022.93
2025,2,Oct/Nov,31264706.19
2025,3,Dec,57199164.46
2025,4,Jan,53962989.67
2025,5,Feb,64487186.39
2025,6,Mar,82369948.97
2025,7,Apr,100043538.7
2025,8,May,105321981.42
2025,9,Jun,125100118.02
2025,10,Jul,139130684.15
2025,11,Aug,153588611.75
2025,12,Sep,168444078.75
2024,2,Oct/Nov,14419465.74
2024,3,Dec,28045041.46
2024,4,Jan,38523868.54
2024,5,Feb,43839297.95
2024,6,Mar,69824985.27
2024,7,Apr,68995240.66
2024,8,May,81777624.39
2024,9,Jun,92179890.85
2024,10,Jul,106788995.93
2024,11,Aug,117154331.06
2024,12,Sep,133103042.63
2023,2,Oct/Nov,26305378.01
2023,3,Dec,40062645.88
2023,4,Jan,41269081.25
2023,5,Feb,52348034.49
2023,6,Mar,66588326.99
2023,7,Apr,76021133.96
2023,8,May,106594164.99
2023,9,Jun,108169684.1
2023,10,Jul,117265890.24
2023,11,Aug,128898609.04
2023,12,Sep,164209137.4
2022,2,Oct/Nov,44574841.9
2022,3,Dec,65784348.51
2022,4,Jan,81000674.2
2022,5,Feb,97099006.59
2022,6,Mar,120654550.91
2022,7,Apr,134084545.45
2022,8,May,155891188.05
2022,9,Jun,166127224.28
2022,10,Jul,177642944.99
2022,11,Aug,189957303.58
2022,12,Sep,211673772.28
2021,2,Oct/Nov,5242414.58
2021,3,Dec,75147551.44
2021,4,Jan,81902616.53
2021,5,Feb,104821343.17
2021,6,Mar,130161441.04
2021,7,Apr,161683932.33
2021,8,May,180953377.0
2021,9,Jun,199904942.64
2021,10,Jul,224216848.91
2021,11,Aug,259729244.06
2021,12,Sep,287394995.14
2020,7,Apr,175514929.98
2020,8,May,197983584.04
2020,9,Jun,222406447.2
2020,10,Jul,262318065.4
2020,11,Aug,287722288.93
2020,12,Sep,322656704.34
