reporting_fiscal_year,reporting_fiscal_month,fiscal_month_abbr,transaction_obligated_amount,cumulative_obligations
2025,2,Oct/Nov,15059333.0,15059333.0
2025,3,Dec,0.0,15059333.0
2025,4,Jan,16730000.0,31789333.0
2025,5,Feb,3021667.0,34811000.0
2025,6,Mar,0.0,34811000.0
2025,7,Apr,17366265.0,52177265.0
2025,8,May,17000000.0,69177265.0
2025,9,Jun,7943539.0,77120804.0
2025,10,Jul,3858800.0,80979604.0
2025,11,Aug,5270996.0,86250600.0
2024,2,Oct/Nov,8964847.0,8964847.0
2024,3,Dec,23630000.0,32594847.0
2024,4,Jan,-126426.73,32468420.27
2024,5,Feb,17500000.0,49968420.27
2024,6,Mar,0.0,49968420.27
2024,7,Apr,21500000.0,71468420.27
2024,8,May,0.0,71468420.27
2024,9,Jun,0.0,71468420.27
2024,10,Jul,13258356.0,84726776.27
2024,11,Aug,0.0,84726776.27
2024,12,Sep,0.0,84726776.27
2023,2,Oct/Nov,15273174.0,15273174.0
2023,3,Dec,0.0,15273174.0
2023,4,Jan,15319516.0,30592690.0
2023,5,Feb,0.0,30592690.0
2023,6,Mar,40806369.0,71399059.0
2023,7,Apr,1497229.0,72896288.0
2023,8,May,1500000.0,74396288.0
2023,9,Jun,13554764.0,87951052.0
2023,10,Jul,443273.0,88394325.0
2023,11,Aug,188602.0,88582927.0
2023,12,Sep,51080.0,88634007.0
2022,2,Oct/Nov,17526085.0,17526085.0
2022,3,Dec,17468192.0,34994277.0
2022,4,Jan,9410700.0,44404977.0
2022,5,Feb,247636.42,44652613.42
2022,6,Mar,879871.0,45532484.42
2022,7,Apr,30665674.0,76198158.42
2022,8,May,1413255.0,77611413.42
2022,9,Jun,28463270.0,106074683.42
2022,10,Jul,0.0,106074683.42
2022,11,Aug,4465922.0,110540605.42
2022,12,Sep,0.0,110540605.42
2021,2,Oct/Nov,47732709.0,47732709.0
2021,3,Dec,13339977.0,61072686.0
2021,4,Jan,20645000.0,81717686.0
2021,5,Feb,45566218.0,127283904.0
2021,6,Mar,4274887.0,131558791.0
2021,7,Apr,1762260.0,133321051.0
2021,8,May,30115483.0,163436534.0
2021,9,Jun,5069282.0,168505816.0
2021,10,Jul,61918.0,168567734.0
2021,11,Aug,26785.0,168594519.0
2021,12,Sep,7060475.0,175654994.0
2020,3,Dec,100010748.0,100010748.0
2020,6,Mar,62334376.0,162345124.0
2020,7,Apr,25000000.0,187345124.0
2020,8,May,38390915.0,225736039.0
2020,9,Jun,0.0,225736039.0
2020,10,Jul,13761299.0,239497338.0
2020,11,Aug,24957733.0,264455071.0
2020,12,Sep,322000.0,264777071.0
2019,3,Dec,177079050.72,177079050.72
2019,6,Mar,144355478.0,321434528.72
2019,9,Jun,66829513.5,388264042.22
2019,12,Sep,56022771.0,444286813.22
2018,12,Sep,20580.15,20580.15
