fiscal_year,fiscal_period,fiscal_period_abbr,cumulative_outlay
2025,2,Oct/Nov,16331047.47
2025,3,Dec,26779277.12
2025,4,Jan,34716321.43
2025,5,Feb,42944192.18
2025,6,Mar,49096942.76
2025,7,Apr,53202727.44
2025,8,May,63980133.86
2025,9,Jun,71444656.37
2025,10,Jul,71488140.95
2025,11,Aug,86554114.03
2025,12,Sep,95561052.12
2024,2,Oct/Nov,17513525.65
2024,3,Dec,17672110.7
2024,4,Jan,17956162.16
2024,5,Feb,18183909.43
2024,6,Mar,45344296.79
2024,7,Apr,54826212.69
2024,8,May,60776429.17
2024,9,Jun,66259355.03
2024,10,Jul,77614612.42
2024,11,Aug,83037824.93
2024,12,Sep,89719124.25
2023,2,Oct/Nov,19009295.58
2023,3,Dec,24266087.63
2023,4,Jan,38536121.42
2023,5,Feb,45712128.65
2023,6,Mar,52894103.11
2023,7,Apr,59231591.78
2023,8,May,68979851.81
2023,9,Jun,82116631.64
2023,10,Jul,81688179.56
2023,11,Aug,89422114.73
2023,12,Sep,97739601.06
2022,2,Oct/Nov,20962110.1
2022,3,Dec,31288261.07
2022,4,Jan,37915916.86
2022,5,Feb,43614365.42
2022,6,Mar,55160507.54
2022,7,Apr,64148074.76
2022,8,May,73647740.39
2022,9,Jun,79423963.84
2022,10,Jul,89813206.58
2022,11,Aug,102615182.17
2022,12,Sep,110603617.27
2021,2,Oct/Nov,57252605.37
2021,3,Dec,49037496.23
2021,4,Jan,64170663.48
2021,5,Feb,77489483.1
2021,6,Mar,99244590.33
2021,7,Apr,110188731.84
2021,8,May,120360991.29
2021,9,Jun,131352888.56
2021,10,Jul,139593262.62
2021,11,Aug,160014277.4
2021,12,Sep,168639387.1
2020,7,Apr,194525111.77
2020,8,May,214292645.09
2020,9,Jun,232801403.28
2020,10,Jul,250792971.96
2020,11,Aug,279238798.29
2020,12,Sep,297240148.2
