reporting_fiscal_year,reporting_fiscal_month,fiscal_month_abbr,transaction_obligated_amount,cumulative_obligations
2025,2,Oct/Nov,2220243.0,2220243.0
2025,3,Dec,2834752.18,5054995.18
2025,4,Jan,2981242.0,8036237.18
2025,5,Feb,2489243.0,10525480.18
2025,6,Mar,0.0,10525480.18
2025,7,Apr,0.0,10525480.18
2025,8,May,2000000.0,12525480.18
2025,9,Jun,2446363.5,14971843.68
2025,10,Jul,3278806.0,18250649.68
2025,11,Aug,427958.0,18678607.68
2024,2,Oct/Nov,2509349.0,2509349.0
2024,3,Dec,0.0,2509349.0
2024,4,Jan,4150000.0,6659349.0
2024,5,Feb,838426.0,7497775.0
2024,6,Mar,0.0,7497775.0
2024,7,Apr,451586.0,7949361.0
2024,8,May,10227191.0,18176552.0
2024,9,Jun,0.0,18176552.0
2024,10,Jul,0.0,18176552.0
2024,11,Aug,3956.72,18180508.72
2024,12,Sep,0.0,18180508.72
2023,2,Oct/Nov,2553000.0,2553000.0
2023,3,Dec,2950000.0,5503000.0
2023,4,Jan,294000.0,5797000.0
2023,5,Feb,4035011.33,9832011.33
2023,6,Mar,807977.0,10639988.33
2023,7,Apr,0.0,10639988.33
2023,8,May,7000000.0,17639988.33
2023,9,Jun,0.0,17639988.33
2023,10,Jul,0.0,17639988.33
2023,11,Aug,90000.0,17729988.33
2023,12,Sep,1183677.43,18913665.76
2022,2,Oct/Nov,3360000.0,3360000.0
2022,3,Dec,1800000.0,5160000.0
2022,4,Jan,5305000.0,10465000.0
2022,5,Feb,0.0,10465000.0
2022,6,Mar,0.0,10465000.0
2022,7,Apr,2290000.0,12755000.0
2022,8,May,4556189.0,17311189.0
2022,9,Jun,85000.0,17396189.0
2022,10,Jul,-500000.0,16896189.0
2022,11,Aug,0.0,16896189.0
2022,12,Sep,980076.85,17876265.85
2021,2,Oct/Nov,2017742.0,2017742.0
2021,3,Dec,2311500.0,4329242.0
2021,4,Jan,0.0,4329242.0
2021,5,Feb,1192992.0,5522234.0
2021,6,Mar,4212300.0,9734534.0
2021,7,Apr,1500000.0,11234534.0
2021,8,May,500000.0,11734534.0
2021,9,Jun,3357052.0,15091586.0
2021,10,Jul,432465.0,15524051.0
2021,11,Aug,0.0,15524051.0
2021,12,Sep,347050.44,15871101.44
2020,3,Dec,4536433.0,4536433.0
2020,6,Mar,6745336.02,11281769.02
2020,7,Apr,400000.0,11681769.02
2020,8,May,1177700.0,12859469.02
2020,9,Jun,0.0,12859469.02
2020,10,Jul,1592013.0,14451482.02
2020,11,Aug,35000.0,14486482.02
2020,12,Sep,1170229.03,15656711.05
2019,3,Dec,1311899.45,1311899.45
2019,6,Mar,4485500.0,5797399.45
2019,9,Jun,5920873.0,11718272.45
2019,12,Sep,1226095.71,12944368.16
2018,3,Dec,1888538.0,1888538.0
2018,6,Mar,5310000.0,7198538.0
2018,9,Jun,4555000.0,11753538.0
2018,12,Sep,4080303.55,15833841.55
2017,6,Mar,3277045.0,3277045.0
2017,9,Jun,6855000.0,10132045.0
2017,12,Sep,2718923.0,12850968.0
