reporting_fiscal_year,reporting_fiscal_month,fiscal_month_abbr,transaction_obligated_amount,cumulative_obligations
2025,2,Oct/Nov,3000000.0,3000000.0
2025,3,Dec,0.0,3000000.0
2025,4,Jan,3600000.0,6600000.0
2025,5,Feb,0.0,6600000.0
2025,6,Mar,0.0,6600000.0
2025,7,Apr,3000000.0,9600000.0
2025,8,May,0.0,9600000.0
2025,9,Jun,0.0,9600000.0
2025,10,Jul,0.0,9600000.0
2025,11,Aug,0.0,9600000.0
2025,12,Sep,0.0,9600000.0
2024,2,Oct/Nov,0.0,0.0
2024,3,Dec,1453001.0,1453001.0
2024,4,Jan,0.0,1453001.0
2024,5,Feb,0.0,1453001.0
2024,6,Mar,1046999.0,2500000.0
2024,7,Apr,5053001.0,7553001.0
2024,8,May,0.0,7553001.0
2024,9,Jun,0.0,7553001.0
2024,10,Jul,3600000.0,11153001.0
2024,11,Aug,0.0,11153001.0
2024,12,Sep,0.0,11153001.0
2023,3,Dec,3099465.0,3099465.0
2023,4,Jan,0.0,3099465.0
2023,5,Feb,0.0,3099465.0
2023,6,Mar,0.0,3099465.0
2023,7,Apr,0.0,3099465.0
2023,8,May,0.0,3099465.0
2023,9,Jun,0.0,3099465.0
2023,10,Jul,9685895.0,12785360.0
2023,11,Aug,0.0,12785360.0
2023,12,Sep,0.0,12785360.0
2022,2,Oct/Nov,4727716.0,4727716.0
2022,3,Dec,0.0,4727716.0
2022,4,Jan,0.0,4727716.0
2022,5,Feb,0.0,4727716.0
2022,6,Mar,2500000.0,7227716.0
2022,7,Apr,0.0,7227716.0
2022,8,May,0.0,7227716.0
2022,9,Jun,3000000.0,10227716.0
2022,10,Jul,3762492.0,13990208.0
2022,11,Aug,0.0,13990208.0
2022,12,Sep,0.0,13990208.0
2021,4,Jan,2400000.0,2400000.0
2021,5,Feb,0.0,2400000.0
2021,6,Mar,6200000.0,8600000.0
2021,7,Apr,0.0,8600000.0
2021,8,May,0.0,8600000.0
2021,9,Jun,0.0,8600000.0
2021,10,Jul,0.0,8600000.0
2021,11,Aug,0.0,8600000.0
2021,12,Sep,0.0,8600000.0
2020,6,Mar,3881271.0,3881271.0
2020,9,Jun,1800000.0,5681271.0
2020,10,Jul,0.0,5681271.0
2020,11,Aug,0.0,5681271.0
2020,12,Sep,8500000.0,14181271.0
2019,3,Dec,5500000.0,5500000.0
2019,6,Mar,4500000.0,10000000.0
2019,9,Jun,3534875.0,13534875.0
2019,12,Sep,4000000.0,17534875.0
2018,6,Mar,5700000.0,5700000.0
2018,12,Sep,4838702.0,10538702.0
2017,9,Jun,1689650.0,1689650.0
2017,12,Sep,6927609.0,8617259.0
