fiscal_year,fiscal_period,fiscal_period_abbr,cumulative_outlay
2026,2,Oct/Nov,2458375.66
2026,3,Dec,3094858.45
2025,2,Oct/Nov,3253556.24
2025,3,Dec,4059594.84
2025,4,Jan,5052640.59
2025,5,Feb,6672280.15
2025,6,Mar,7917728.86
2025,7,Apr,8564276.86
2025,8,May,9966909.41
2025,9,Jun,11235375.92
2025,10,Jul,11978132.12
2025,11,Aug,14113743.52
2025,12,Sep,15069414.14
2024,2,Oct/Nov,2421281.7
2024,3,Dec,3481404.0
2024,4,Jan,4285769.75
2024,5,Feb,5179464.1
2024,6,Mar,6892831.95
2024,7,Apr,7506808.75
2024,8,May,8826019.34
2024,9,Jun,10005620.23
2024,10,Jul,11215576.13
2024,11,Aug,12734926.99
2024,12,Sep,13475439.1
2023,3,Dec,2152035.62
2023,4,Jan,2632451.09
2023,5,Feb,3685729.43
2023,6,Mar,4361452.1
2023,7,Apr,6050914.8
2023,8,May,7235108.84
2023,9,Jun,8523075.41
2023,10,Jul,10133141.49
2023,11,Aug,11136248.48
2023,12,Sep,12579595.8
2022,2,Oct/Nov,3171800.43
2022,3,Dec,3171800.43
2022,4,Jan,3662966.15
2022,5,Feb,5315767.78
2022,6,Mar,5785964.49
2022,7,Apr,6477542.61
2022,8,May,8236842.74
2022,9,Jun,8651341.63
2022,10,Jul,9905864.72
2022,11,Aug,10220416.73
2022,12,Sep,12208064.07
2021,4,Jan,3044071.53
2021,5,Feb,4367883.22
2021,6,Mar,5570573.01
2021,7,Apr,6296579.01
2021,8,May,7225680.68
2021,9,Jun,8721875.76
2021,10,Jul,9285705.73
2021,11,Aug,11290439.66
2021,12,Sep,11290439.66
2020,9,Jun,8577972.29
2020,10,Jul,11106657.05
2020,11,Aug,11106657.05
2020,12,Sep,11949192.29
