fiscal_year,fiscal_period,fiscal_period_abbr,cumulative_outlay
2026,2,Oct/Nov,3287591.08
2026,3,Dec,5984733.38
2026,4,Jan,7305917.92
2025,2,Oct/Nov,3587070.13
2025,3,Dec,6154442.73
2025,4,Jan,8651325.54
2025,5,Feb,10602312.29
2025,6,Mar,12567876.82
2025,7,Apr,14454764.75
2025,8,May,16981368.27
2025,9,Jun,19282580.92
2025,10,Jul,20328233.75
2025,11,Aug,24116694.96
2025,12,Sep,27197525.21
2024,2,Oct/Nov,3358718.28
2024,3,Dec,4422907.42
2024,4,Jan,7351124.15
2024,5,Feb,10258716.3
2024,6,Mar,11448985.42
2024,7,Apr,13457636.79
2024,8,May,15427852.93
2024,9,Jun,17244926.84
2024,10,Jul,19665272.98
2024,11,Aug,22883874.16
2024,12,Sep,25021779.14
2023,2,Oct/Nov,3279429.8
2023,3,Dec,5416689.84
2023,4,Jan,8252158.6
2023,5,Feb,10278550.89
2023,6,Mar,12086374.8
2023,7,Apr,13956404.53
2023,8,May,16905475.88
2023,9,Jun,19633156.91
2023,10,Jul,20132829.97
2023,11,Aug,22904099.58
2023,12,Sep,24715435.75
2022,2,Oct/Nov,4652503.22
2022,3,Dec,6556259.41
2022,4,Jan,8427356.38
2022,5,Feb,9520751.83
2022,6,Mar,12239438.52
2022,7,Apr,13601872.61
2022,8,May,15669424.83
2022,9,Jun,17368299.28
2022,10,Jul,19808850.53
2022,11,Aug,22397437.59
2022,12,Sep,25319257.31
2021,2,Oct/Nov,6498876.02
2021,3,Dec,6397775.62
2021,4,Jan,8432043.49
2021,5,Feb,9583131.95
2021,6,Mar,12570490.39
2021,7,Apr,14014108.93
2021,8,May,16244720.61
2021,9,Jun,18629362.74
2021,10,Jul,20315764.19
2021,11,Aug,23200513.93
2021,12,Sep,25333853.26
2020,10,Jul,20527643.87
2020,11,Aug,23556055.11
2020,12,Sep,25965045.72
