fiscal_year,fiscal_period,fiscal_period_abbr,monthly_outlay,cumulative_outlay
2025,2,Oct/Nov,413826.75,413826.75
2025,3,Dec,294853.33,708680.08
2025,4,Jan,284130.23,992810.31
2025,5,Feb,366168.32,1358978.63
2025,6,Mar,501281.75,1860260.38
2025,7,Apr,329393.24,2189653.62
2025,8,May,605842.16,2795495.78
2025,9,Jun,482284.94,3277780.72
2025,10,Jul,3101123.01,6378903.73
2025,11,Aug,1192249.6,7571153.33
2025,12,Sep,861011.77,8432165.1
2024,2,Oct/Nov,1497875.51,1497875.51
2024,3,Dec,207483.72,1705359.23
2024,4,Jan,36368.09,1741727.32
2024,5,Feb,306364.05,2048091.37
2024,6,Mar,296822.03,2344913.4
2024,7,Apr,462311.6,2807225.0
2024,8,May,651322.7,3458547.7
2024,9,Jun,383472.47,3842020.17
2024,10,Jul,27870.75,3869890.92
2024,11,Aug,-2504979.52,1364911.4
2024,12,Sep,4124755.37,5489666.77
2023,2,Oct/Nov,34314.04,34314.04
2023,3,Dec,1441330.55,1475644.59
2023,4,Jan,29931.7,1505576.29
2023,5,Feb,339679.18,1845255.47
2023,6,Mar,753960.9,2599216.37
2023,7,Apr,391571.65,2990788.02
2023,8,May,371670.45,3362458.47
2023,9,Jun,419688.71,3782147.18
2023,10,Jul,384893.83,4167041.01
2023,11,Aug,359269.32,4526310.33
2023,12,Sep,50235.51,4576545.84
2022,2,Oct/Nov,44742.6,44742.6
2022,3,Dec,30877.69,75620.29
2022,4,Jan,1691381.11,1767001.4
2022,5,Feb,300580.12,2067581.52
2022,6,Mar,719016.34,2786597.86
2022,7,Apr,360980.22,3147578.08
2022,8,May,17459.64,3165037.72
2022,9,Jun,650658.15,3815695.87
2022,10,Jul,353574.2,4169270.07
2022,11,Aug,282119.25,4451389.32
2022,12,Sep,426838.15,4878227.47
2021,2,Oct/Nov,1655558.88,1655558.88
2021,3,Dec,313251.02,1968809.9
2021,4,Jan,358024.63,2326834.53
2021,5,Feb,691399.95,3018234.48
2021,6,Mar,486842.15,3505076.63
2021,7,Apr,352080.75,3857157.38
2021,8,May,434429.22,4291586.6
2021,9,Jun,410389.41,4701976.01
2021,10,Jul,30014.32,4731990.33
2021,11,Aug,891462.19,5623452.52
2021,12,Sep,463535.83,6086988.35
