reporting_fiscal_year,reporting_fiscal_month,fiscal_month_abbr,transaction_obligated_amount,cumulative_obligations
2025,2,Oct/Nov,2966000.0,2966000.0
2025,3,Dec,0.0,2966000.0
2025,4,Jan,1837061.0,4803061.0
2025,5,Feb,0.0,4803061.0
2025,6,Mar,0.0,4803061.0
2025,7,Apr,0.0,4803061.0
2025,8,May,0.0,4803061.0
2025,9,Jun,2526000.0,7329061.0
2025,10,Jul,1747000.0,9076061.0
2025,11,Aug,0.0,9076061.0
2024,2,Oct/Nov,2267000.0,2267000.0
2024,3,Dec,851063.0,3118063.0
2024,4,Jan,0.0,3118063.0
2024,5,Feb,843000.0,3961063.0
2024,6,Mar,0.0,3961063.0
2024,7,Apr,4605000.0,8566063.0
2024,8,May,0.0,8566063.0
2024,9,Jun,0.0,8566063.0
2024,10,Jul,4004.0,8570067.0
2024,11,Aug,-37847.64,8532219.36
2024,12,Sep,0.0,8532219.36
2023,2,Oct/Nov,3096500.0,3096500.0
2023,3,Dec,0.0,3096500.0
2023,4,Jan,0.0,3096500.0
2023,5,Feb,5397931.0,8494431.0
2023,6,Mar,0.0,8494431.0
2023,7,Apr,0.0,8494431.0
2023,8,May,0.0,8494431.0
2023,9,Jun,-11545.0,8482886.0
2023,10,Jul,0.0,8482886.0
2023,11,Aug,0.0,8482886.0
2023,12,Sep,1000000.0,9482886.0
2022,2,Oct/Nov,3232000.0,3232000.0
2022,3,Dec,7815404.0,11047404.0
2022,4,Jan,0.0,11047404.0
2022,5,Feb,0.0,11047404.0
2022,6,Mar,0.0,11047404.0
2022,7,Apr,0.0,11047404.0
2022,8,May,0.0,11047404.0
2022,9,Jun,175629.0,11223033.0
2022,10,Jul,0.0,11223033.0
2022,11,Aug,-81000.0,11142033.0
2022,12,Sep,0.0,11142033.0
2021,2,Oct/Nov,2491816.0,2491816.0
2021,3,Dec,7204.0,2499020.0
2021,4,Jan,810000.0,3309020.0
2021,5,Feb,6300788.0,9609808.0
2021,6,Mar,0.0,9609808.0
2021,7,Apr,0.0,9609808.0
2021,8,May,0.0,9609808.0
2021,9,Jun,0.0,9609808.0
2021,10,Jul,-31000.0,9578808.0
2021,11,Aug,0.0,9578808.0
2021,12,Sep,0.0,9578808.0
2020,3,Dec,3267772.0,3267772.0
2020,6,Mar,7115978.0,10383750.0
2019,3,Dec,1702751.68,1702751.68
2019,6,Mar,5979074.0,7681825.68
2019,12,Sep,8645.0,7690470.68
2018,3,Dec,2916000.0,2916000.0
2018,6,Mar,2270000.0,5186000.0
2018,9,Jun,5245074.0,10431074.0
2018,12,Sep,5000000.0,15431074.0
2017,9,Jun,3840000.0,3840000.0
2017,12,Sep,220000.0,4060000.0
