fiscal_year,fiscal_period,fiscal_period_abbr,monthly_outlay,cumulative_outlay
2025,2,Oct/Nov,1328568.44,1328568.44
2025,3,Dec,1074515.8,2403084.24
2025,4,Jan,851180.76,3254265.0
2025,5,Feb,757608.52,4011873.52
2025,6,Mar,728170.21,4740043.73
2025,7,Apr,761671.8,5501715.53
2025,8,May,1016864.18,6518579.71
2025,9,Jun,-3044195.7,3474384.01
2025,10,Jul,0.0,3474384.01
2025,11,Aug,5351607.79,8825991.8
2025,12,Sep,709967.18,9535958.98
2024,2,Oct/Nov,1805292.9,1805292.9
2024,3,Dec,542523.84,2347816.74
2024,4,Jan,806439.49,3154256.23
2024,5,Feb,651185.72,3805441.95
2024,6,Mar,784129.11,4589571.06
2024,7,Apr,-488226.65,4101344.41
2024,8,May,2133963.28,6235307.69
2024,9,Jun,676423.52,6911731.21
2024,10,Jul,-3129080.43,3782650.78
2024,11,Aug,4683971.21,8466621.99
2024,12,Sep,804396.58,9271018.57
2023,2,Oct/Nov,1541549.31,1541549.31
2023,3,Dec,593463.19,2135012.5
2023,4,Jan,1398116.21,3533128.71
2023,5,Feb,608831.15,4141959.86
2023,6,Mar,926447.97,5068407.83
2023,7,Apr,596379.03,5664786.86
2023,8,May,660254.18,6325041.04
2023,9,Jun,-1415624.4,4909416.64
2023,10,Jul,3256789.92,8166206.56
2023,11,Aug,667587.21,8833793.77
2023,12,Sep,1462738.51,10296532.28
2022,2,Oct/Nov,1612464.52,1612464.52
2022,3,Dec,928177.77,2540642.29
2022,4,Jan,801489.06,3342131.35
2022,5,Feb,807490.46,4149621.81
2022,6,Mar,1202554.78,5352176.59
2022,7,Apr,1003024.42,6355201.01
2022,8,May,666177.54,7021378.55
2022,9,Jun,-2249436.63,4771941.92
2022,10,Jul,4006734.47,8778676.39
2022,11,Aug,-4006734.47,4771941.92
2022,12,Sep,6232616.36,11004558.28
2021,2,Oct/Nov,1158335.31,1158335.31
2021,3,Dec,-1158335.31,0.0
2021,4,Jan,2494025.78,2494025.78
2021,5,Feb,529726.04,3023751.82
2021,6,Mar,700265.52,3724017.34
2021,7,Apr,591748.7,4315766.04
2021,8,May,648717.56,4964483.6
2021,9,Jun,766632.06,5731115.66
2021,10,Jul,-1346164.31,4384951.35
2021,11,Aug,3702669.23,8087620.58
2021,12,Sep,1096992.85,9184613.43
