reporting_fiscal_year,reporting_fiscal_month,fiscal_month_abbr,transaction_obligated_amount,cumulative_obligations
2026,2,Oct/Nov,4350000.0,4350000.0
2026,3,Dec,0.0,4350000.0
2026,4,Jan,0.0,4350000.0
2026,5,Feb,800000.0,5150000.0
2025,2,Oct/Nov,3201044.0,3201044.0
2025,3,Dec,0.0,3201044.0
2025,4,Jan,2009304.0,5210348.0
2025,5,Feb,500000.0,5710348.0
2025,6,Mar,0.0,5710348.0
2025,7,Apr,2392483.0,8102831.0
2025,8,May,1632656.0,9735487.0
2025,9,Jun,58685.0,9794172.0
2025,10,Jul,1115492.0,10909664.0
2025,11,Aug,0.0,10909664.0
2025,12,Sep,1014616.0,11924280.0
2024,2,Oct/Nov,3905000.0,3905000.0
2024,3,Dec,0.0,3905000.0
2024,4,Jan,0.0,3905000.0
2024,5,Feb,2324616.0,6229616.0
2024,6,Mar,0.0,6229616.0
2024,7,Apr,3000000.0,9229616.0
2024,8,May,0.0,9229616.0
2024,9,Jun,0.0,9229616.0
2024,10,Jul,1069614.0,10299230.0
2024,11,Aug,0.0,10299230.0
2024,12,Sep,0.0,10299230.0
2023,2,Oct/Nov,2750000.0,2750000.0
2023,3,Dec,750000.0,3500000.0
2023,4,Jan,1000000.0,4500000.0
2023,5,Feb,0.0,4500000.0
2023,6,Mar,4510000.0,9010000.0
2023,7,Apr,0.0,9010000.0
2023,8,May,0.0,9010000.0
2023,9,Jun,1851233.0,10861233.0
2023,10,Jul,0.0,10861233.0
2023,11,Aug,0.0,10861233.0
2023,12,Sep,0.0,10861233.0
2022,2,Oct/Nov,2219065.0,2219065.0
2022,3,Dec,0.0,2219065.0
2022,4,Jan,3037031.0,5256096.0
2022,5,Feb,0.0,5256096.0
2022,6,Mar,0.0,5256096.0
2022,7,Apr,2520000.0,7776096.0
2022,8,May,0.0,7776096.0
2022,9,Jun,2513915.0,10290011.0
2022,10,Jul,0.0,10290011.0
2022,11,Aug,0.0,10290011.0
2022,12,Sep,0.0,10290011.0
2021,2,Oct/Nov,2374127.0,2374127.0
2021,3,Dec,0.0,2374127.0
2021,4,Jan,900000.0,3274127.0
2021,5,Feb,3680000.0,6954127.0
2021,6,Mar,0.0,6954127.0
2021,7,Apr,0.0,6954127.0
2021,8,May,0.0,6954127.0
2021,9,Jun,3681826.0,10635953.0
2021,10,Jul,0.0,10635953.0
2021,11,Aug,0.0,10635953.0
2021,12,Sep,500000.0,11135953.0
2020,3,Dec,3236129.0,3236129.0
2020,6,Mar,6000000.0,9236129.0
2020,11,Aug,2278040.0,11514169.0
2020,12,Sep,0.0,11514169.0
2019,3,Dec,6520085.01,6520085.01
2019,6,Mar,2200000.0,8720085.01
2019,9,Jun,5536491.0,14256576.01
2019,12,Sep,55000.0,14311576.01
2018,12,Sep,467667.17,467667.17
