fiscal_year,fiscal_period,fiscal_period_abbr,cumulative_outlay
2026,2,Oct/Nov,1471887.59
2026,3,Dec,2351255.17
2026,4,Jan,3169289.55
2025,2,Oct/Nov,1634050.68
2025,3,Dec,2683828.46
2025,4,Jan,3783739.69
2025,5,Feb,4674126.79
2025,6,Mar,5580718.54
2025,7,Apr,6410440.22
2025,8,May,7643020.61
2025,9,Jun,8367040.2
2025,10,Jul,8846827.8
2025,11,Aug,10139988.23
2025,12,Sep,11657552.99
2024,2,Oct/Nov,1415882.59
2024,3,Dec,2157261.01
2024,4,Jan,3368313.86
2024,5,Feb,4509941.52
2024,6,Mar,5036043.27
2024,7,Apr,5820162.36
2024,8,May,6692298.6
2024,9,Jun,7522311.74
2024,10,Jul,8512448.66
2024,11,Aug,9940404.01
2024,12,Sep,10692731.65
2023,2,Oct/Nov,1301787.28
2023,3,Dec,2174963.99
2023,4,Jan,3439951.68
2023,5,Feb,4437933.31
2023,6,Mar,5172210.08
2023,7,Apr,5975626.74
2023,8,May,7135189.05
2023,9,Jun,8720145.43
2023,10,Jul,8735624.43
2023,11,Aug,10219381.68
2023,12,Sep,11025163.2
2022,2,Oct/Nov,1860469.83
2022,3,Dec,2601534.98
2022,4,Jan,4056304.29
2022,5,Feb,4514994.11
2022,6,Mar,5559284.88
2022,7,Apr,6072567.18
2022,8,May,7237002.75
2022,9,Jun,7672606.3
2022,10,Jul,8899118.58
2022,11,Aug,9873643.82
2022,12,Sep,11034420.09
2021,2,Oct/Nov,3129348.81
2021,3,Dec,2944142.4
2021,4,Jan,3927538.48
2021,5,Feb,4606386.69
2021,6,Mar,5690302.85
2021,7,Apr,6484019.49
2021,8,May,7370732.29
2021,9,Jun,8172562.17
2021,10,Jul,8998478.82
2021,11,Aug,10344147.87
2021,12,Sep,11121026.45
2020,11,Aug,10169077.59
2020,12,Sep,11053019.24
