reporting_fiscal_year,reporting_fiscal_month,fiscal_month_abbr,transaction_obligated_amount,cumulative_obligations
2026,2,Oct/Nov,0.0,0.0
2026,3,Dec,800000.0,800000.0
2026,4,Jan,400000.0,1200000.0
2026,5,Feb,2100000.0,3300000.0
2025,2,Oct/Nov,50000.0,50000.0
2025,3,Dec,1000000.0,1050000.0
2025,4,Jan,480327.24,1530327.24
2025,5,Feb,0.0,1530327.24
2025,6,Mar,1915300.0,3445627.24
2025,7,Apr,0.0,3445627.24
2025,8,May,0.0,3445627.24
2025,9,Jun,0.0,3445627.24
2025,10,Jul,2300000.0,5745627.24
2025,11,Aug,2000000.0,7745627.24
2025,12,Sep,1258000.0,9003627.24
2024,2,Oct/Nov,0.0,0.0
2024,3,Dec,0.0,0.0
2024,4,Jan,2050000.0,2050000.0
2024,5,Feb,500000.0,2550000.0
2024,6,Mar,0.0,2550000.0
2024,7,Apr,776961.2,3326961.2
2024,8,May,0.0,3326961.2
2024,9,Jun,3353900.07,6680861.27
2024,10,Jul,0.0,6680861.27
2024,11,Aug,1000000.0,7680861.27
2024,12,Sep,1141391.0,8822252.27
2023,2,Oct/Nov,2000000.0,2000000.0
2023,3,Dec,0.0,2000000.0
2023,4,Jan,0.0,2000000.0
2023,5,Feb,400000.0,2400000.0
2023,6,Mar,11358000.84,13758000.84
2023,7,Apr,0.0,13758000.84
2023,8,May,-400000.0,13358000.84
2023,9,Jun,2000000.0,15358000.84
2023,10,Jul,0.0,15358000.84
2023,11,Aug,0.0,15358000.84
2023,12,Sep,2730000.0,18088000.84
2022,2,Oct/Nov,0.0,0.0
2022,3,Dec,0.0,0.0
2022,4,Jan,130000.0,130000.0
2022,5,Feb,0.0,130000.0
2022,6,Mar,0.0,130000.0
2022,7,Apr,700000.0,830000.0
2022,8,May,0.0,830000.0
2022,9,Jun,0.0,830000.0
2022,10,Jul,0.0,830000.0
2022,11,Aug,2550000.0,3380000.0
2022,12,Sep,0.0,3380000.0
2021,2,Oct/Nov,0.0,0.0
2021,3,Dec,0.0,0.0
2021,4,Jan,0.0,0.0
2021,5,Feb,1000000.0,1000000.0
2021,6,Mar,0.0,1000000.0
2021,7,Apr,5000000.0,6000000.0
2021,8,May,0.0,6000000.0
2021,9,Jun,0.0,6000000.0
2021,10,Jul,0.0,6000000.0
2021,11,Aug,0.0,6000000.0
2021,12,Sep,250000.0,6250000.0
2020,6,Mar,160462.09,160462.09
2020,9,Jun,1000000.0,1160462.09
2020,10,Jul,10000000.0,11160462.09
2020,11,Aug,0.0,11160462.09
2020,12,Sep,1500000.0,12660462.09
2019,3,Dec,1000000.0,1000000.0
2019,6,Mar,4100000.0,5100000.0
2019,9,Jun,8000000.0,13100000.0
2019,12,Sep,10000000.0,23100000.0
2018,3,Dec,1500000.0,1500000.0
2018,6,Mar,4000000.0,5500000.0
2018,9,Jun,5000000.0,10500000.0
2018,12,Sep,5500000.0,16000000.0
2017,6,Mar,1203938.0,1203938.0
2017,9,Jun,4512898.0,5716836.0
2017,12,Sep,8208101.0,13924937.0
