fiscal_year,fiscal_period,fiscal_period_abbr,cumulative_outlay
2025,2,Oct/Nov,838315.4
2025,3,Dec,1640177.04
2025,4,Jan,2072199.92
2025,5,Feb,3054598.92
2025,6,Mar,3542486.04
2025,7,Apr,4300066.34
2025,8,May,5072222.27
2025,9,Jun,5602494.73
2025,10,Jul,6331103.84
2025,11,Aug,7340758.09
2025,12,Sep,8297144.49
2024,2,Oct/Nov,3076142.03
2024,3,Dec,3793218.14
2024,4,Jan,4308831.86
2024,5,Feb,4928417.15
2024,6,Mar,7447686.39
2024,7,Apr,8898158.22
2024,8,May,9495402.63
2024,9,Jun,10449902.04
2024,10,Jul,11099805.3
2024,11,Aug,12022628.1
2024,12,Sep,12689354.31
2023,2,Oct/Nov,1823673.37
2023,3,Dec,2596983.07
2023,4,Jan,3086354.02
2023,5,Feb,4153095.04
2023,6,Mar,5530695.5
2023,7,Apr,6234771.91
2023,8,May,8227293.22
2023,9,Jun,9690101.15
2023,10,Jul,11081396.08
2023,11,Aug,12299296.57
2023,12,Sep,14278467.89
2022,2,Oct/Nov,1244333.77
2022,3,Dec,1801887.33
2022,4,Jan,2411468.31
2022,5,Feb,2835283.92
2022,6,Mar,3799862.1
2022,7,Apr,4317227.64
2022,8,May,4696365.26
2022,9,Jun,5859213.32
2022,10,Jul,6471519.03
2022,11,Aug,7180353.02
2022,12,Sep,8188228.51
2021,2,Oct/Nov,4587063.4
2021,3,Dec,4783291.74
2021,4,Jan,5280766.13
2021,5,Feb,5558967.29
2021,6,Mar,7219791.55
2021,7,Apr,8090314.75
2021,8,May,8942739.31
2021,9,Jun,9608517.57
2021,10,Jul,10270849.41
2021,11,Aug,10986046.19
2021,12,Sep,11507191.31
2020,9,Jun,2447259.0
2020,10,Jul,14352887.94
2020,11,Aug,15984864.3
2020,12,Sep,17946991.38
