reporting_fiscal_year,reporting_fiscal_month,fiscal_month_abbr,transaction_obligated_amount,cumulative_obligations
2025,2,Oct/Nov,16007769.0,16007769.0
2025,3,Dec,2719140.0,18726909.0
2025,4,Jan,11835047.0,30561956.0
2025,5,Feb,5943577.0,36505533.0
2025,6,Mar,0.0,36505533.0
2025,7,Apr,74242.0,36579775.0
2025,8,May,3885459.0,40465234.0
2025,9,Jun,8943048.0,49408282.0
2025,10,Jul,8339343.0,57747625.0
2025,11,Aug,13489199.83,71236824.83
2024,2,Oct/Nov,14592759.0,14592759.0
2024,3,Dec,8520736.0,23113495.0
2024,4,Jan,8706208.0,31819703.0
2024,5,Feb,24135700.23,55955403.23
2024,6,Mar,12179056.65,68134459.88
2024,7,Apr,12056591.0,80191050.88
2024,8,May,13171216.08,93362266.96
2024,9,Jun,8003922.0,101366188.96
2024,10,Jul,10151839.62,111518028.58
2024,11,Aug,8041124.0,119559152.58
2024,12,Sep,1917241.0,121476393.58
2023,2,Oct/Nov,6198670.21,6198670.21
2023,3,Dec,8495819.24,14694489.45
2023,4,Jan,31296995.0,45991484.45
2023,5,Feb,9521653.0,55513137.45
2023,6,Mar,9641762.0,65154899.45
2023,7,Apr,15562208.0,80717107.45
2023,8,May,25251913.0,105969020.45
2023,9,Jun,9208665.0,115177685.45
2023,10,Jul,10541718.18,125719403.63
2023,11,Aug,12346703.0,138066106.63
2023,12,Sep,22912820.0,160978926.63
2022,2,Oct/Nov,21348158.0,21348158.0
2022,3,Dec,2200685.0,23548843.0
2022,4,Jan,10083135.49,33631978.49
2022,5,Feb,20500000.0,54131978.49
2022,6,Mar,12166426.0,66298404.49
2022,7,Apr,52924365.0,119222769.49
2022,8,May,106716.0,119329485.49
2022,9,Jun,19897402.1,139226887.59
2022,10,Jul,11499014.0,150725901.59
2022,11,Aug,19811959.9,170537861.49
2022,12,Sep,56750303.0,227288164.49
2021,2,Oct/Nov,18558940.0,18558940.0
2021,3,Dec,22384000.0,40942940.0
2021,4,Jan,7000000.0,47942940.0
2021,5,Feb,39713000.0,87655940.0
2021,6,Mar,35102556.0,122758496.0
2021,7,Apr,13000000.0,135758496.0
2021,8,May,58344675.0,194103171.0
2021,9,Jun,12488747.0,206591918.0
2021,10,Jul,1000000.0,207591918.0
2021,11,Aug,20721648.0,228313566.0
2021,12,Sep,45250786.0,273564352.0
2020,3,Dec,32160000.0,32160000.0
2020,6,Mar,88797361.0,120957361.0
2020,7,Apr,41446306.0,162403667.0
2020,8,May,11833853.0,174237520.0
2020,9,Jun,21305401.0,195542921.0
2020,10,Jul,39412950.0,234955871.0
2020,11,Aug,0.0,234955871.0
2020,12,Sep,22313352.0,257269223.0
2019,3,Dec,30518050.75,30518050.75
2019,6,Mar,58975000.0,89493050.75
2019,9,Jun,48055843.0,137548893.75
2019,12,Sep,58125988.0,195674881.75
2018,6,Mar,1427437.0,1427437.0
2018,9,Jun,5100000.0,6527437.0
2018,12,Sep,10066912.05,16594349.05
2017,6,Mar,586000.0,586000.0
2017,9,Jun,1900.0,587900.0
